TRANSLATION_NAME,"中文"
NO_SD_CARD_WARNING,"无SD卡警告"
ADD_CURVE_ERROR,"添加曲线失败!"
STEP,"步骤"
AILERON,"副翼"
EDITABLE_AILERON,"Aileron"
EDITABLE_FLAPS,"Flaps"
SPACE_WITH_CHANNEL,"通道 "
QUESTION_SWAP_SSS_AND_SSS_CHANNELS_SETTINGS,"你确定要替换至目标通道吗?"
INPUT,"输入"
ELE_TO_AIL,"升降舵->副翼"
EDITABLE_ELE_TO_AIL,"Ele->Ail"
EDITABLE_ELEVATORS,"Elevators"
EDITABLE_RUDDERS,"Rudders"
THR_CURVE,"油门曲线"
PITCH_CURVE,"俯仰曲线"
THROTTLE_CUT,"油门熄火"
AIL_TO_RUD,"副翼->方向舵"
EDITABLE_AIL_TO_RUD,"Ail->Rud"
ELE_TO_CAMBER,"升降舵->\n翼型襟翼"
EDITABLE_ELE_TO_CAMBER,"Ele->Camber"
RUD_TO_AIL,"方向舵->副翼"
EDITABLE_RUD_TO_AIL,"Rud->Ail"
RUD_TO_ELE,"方向舵->升降舵"
EDITABLE_RUD_TO_ELE,"Rud->Ele"
AIL_TO_FLAPS,"副翼->\n翼型襟翼"
EDITABLE_AIL_TO_FLAPS,"Ail->Flaps"
FLAPS_TO_ELE,"翼型襟翼\n->升降舵"
EDITABLE_FLAPS_TO_ELE,"Flaps->Ele"
FREE_MIX,"自定义混控"
EDITABLE_FREE_MIX,"Free Mix"
EDITABLE_OFFSET,"Offset"
SNAP_ROLL,"快速横滚"
EDITABLE_SNAP_ROLL,"Snap Roll"
TEST_MIX,"测试混控"
EDITABLE_TEST_MIX,"Test Mix"
DELAY_UP,"上限延迟"
DELAY_MID,"中值延迟"
DELAY_DOWN,"下线延迟"
NO_DELAY,"无延迟"
V_TAIL,"V尾"
DATA_REFUSED,"数据被拒绝"
DEVICE_NOT_RESPONDING,"设备没有响应"
NO_OUTPUT,"无输出"
WEIGHT_RATES,"权重/比例"
OTHERWISE,"Otherwise"
AUTO,"自动"
TRIM_STEP_FINE,"精确"
TRIM_STEP_COARSE,"粗糙"
TRIM_STEP_EXPONENTIAL,"指数"
TRIM_STEP_EXTRA_FINE,"特别精确"
TRIM_STEP_MEDIUM,"中等"
TRIM_STEP_CUSTOM,"自定义"
SCREENSHOT,"屏幕截图"
SILENT,"静音"
ALARMS_ONLY,"仅报警"
OFTEN,"时常"
ALWAYS,"总是"
NEVER,"从不"
WHEN_TELEMETRY_STREAMING,"当有遥测数据时"
VOICE1,"声音 1 (主)"
VOICE2,"声音 2"
VOICE3,"声音 3"
NEGATIVE,"负"
POSITIVE,"正"
THROTTLE_HOLD,"油门保持"
TRIGGER_VALUE,"触发值"
IDLE_OUTPUT_VALUE,"归零输出值"
LOW_POSITION_TRIM,"低位置微调"
AND,"且"
OR,"或"
XOR,"异或"
SENSORS,"传感器"
VARIOMETER,"气压计"
ALARMS,"报警"
SENSOR,"传感器"
RX_BATT,"Rx电压"
RX_CURRENT,"Rx电流"
ALTITUDE,"海拔"
VSPEED,"速度"
SELECT_LANGUAGE,"选择语言"
ONCE,"一次"
FLIGHT_DATA,"飞行数据"
ALL_TIMERS,"所有定时器"
WHOLE_TELEMETRY,"所有遥测数据"
REPEAT,"重复间隔"
WAV_FILE,"Wav文件"
BUTTERFLY,"蝴蝶襟翼"
EDITABLE_BUTTERFLY,"Butterfly"
CAMBER,"翼型襟翼"
EDITABLE_CAMBER,"Camber"
PITCH_TO_RUD,"俯仰->方向舵"
EDITABLE_PITCH_TO_RUD,"Pitch->Rud"
MISSING_BASIC_MIX,"缺少基础混控!"
MISSING_ENOUGH_CHANNEL,"没有足够的可用通道!"
NOT_SUIT_FOR_THIS_MODEL,"这条混控不适用于你的模型"
THR_TO_ELE,"油门->升降舵"
EDITABLE_THR_TO_ELE,"Thr->Ele"
THR_TO_RUD,"油门->方向舵"
EDITABLE_THR_TO_RUD,"Thr->Rud"
TEMPERATURE,"温度"
DATA_RATE,"数据速率"
GPS,"GPS"
GAS_SUITE,"Gas Suite"
FLOW_RESET,"Flow reset"
CDI_OFF_SPEED_LIMIT,"CDI off speed limit"
FLOW_PULSE,"每脉冲油量"
AUTO_RESET,"自动重置"
RESET_RESIDUAL_VOLUME,"Reset residual volume"
RESET_MAX_FLOW,"Reset max flow"
RESET_AVERAGE_FLOW,"Reset average flow"
VOLUME_ALARM,"剩余油量报警"
MAX_FLOW_ALARM,"最高流速报警"
OVER_SPEED_ALARM,"Over speed alarm"
FLOW_TRIGGER,"流速触发"
FACTORY_SETTING,"恢复工厂设置"
OVER_TEMP1_ALARM,"Over temp1 alarm"
OVER_TEMP2_ALARM,"Over temp2 alarm"
TEMPERATURE_UNIT,"温度单位°C"
AUTO_SAVE,"Auto Save"
GPS_POSITION_DATA_RATE,"GPS位置更新速率"
GPS_ALTITUDE_DATA_RATE,"GPS高度更新速率"
GPS_SPEED_DATA_RATE,"GPS速度更新速率"
GPS_COURSE_DATA_RATE,"GPS方向角更新速率"
GPS_TIME_DATA_RATE,"GPS时间更新速率"
RB_30_40,"RB 30/40"
EW,"EW"
NS,"NS"
DEFAULT_FLIGHT_MODE,"默认飞行模式"
SKIP_ON_STARTUP,"在开机时跳过"
LOW_VALUE_WARNING,"低值报警"
CRITICAL_VALUE,"过值报警"
UPGRADE_MODULE,"升级模块"
AUTHENTICATION_FAILURE,"授权失败"
MODULE_NEEDS_UPGRADE,"模块需要升级"
CLEAR,"清除"
MIX_SWITCH_DESCRIPTION,"用于设置混控的生效开关"
MIX_WEIGHT_DESCRIPTION,"用于设置混控在生效时,输入叠加到通\n道上的百分比,这将会在套用曲线后计\n算","用于设置混控在生效时,输入\n叠加到通道上的百分比,这将\n会在套用曲线后计算"
MIX_CURVE_DESCRIPTION,"用于设置混控的输入在计算时所采用\n的曲线,这将会在权重计算之前被套用\n","用于设置混控的输入在计算时\n所采用的曲线,这将会在权重\n计算之前被套用"
MIX_DIFFERENTIAL_DESCRIPTION,"用于设置混控所影响通道的差动百分比","用于设置混控所影响通道的差\n动百分比"
MIX_OUTPUT_DESCRIPTION,"用于选择混控最终输出的通道"
MIX_INPUT_DESCRIPTION,"用于选择混控的输入源"
MIX_OPERATION_DESCRIPTION,"用于选择混控的叠加方式"
MIX_REVERSE_DESCRIPTION,"用于切换混控的输入是否需要反向","用于切换混控的输入是否需要\n反向"
MIX_OFFSET_DESCRIPTION,"用于设置混控的通道补偿"
MIX_WEIGHTUP_DESCRIPTION,"用于设置混控在生效时,输入叠加到通\n道上的正向百分比","用于设置混控在生效时,输入\n叠加到通道上的正向百分比"
MIX_WEIGHTDOWN_DESCRIPTION,"用于设置混控在生效时,输入叠加到通\n道上的负向百分比","用于设置混控在生效时,输入\n叠加到通道上的正向百分比"
MIX_SPEEDUP_DESCRIPTION,"用于设置混控在输入在正向变化时,达\n到目标值的延迟时间","用于设置混控在输入在正向变\n化时,达到目标值的延迟时间"
MIX_SPEEDDOWN_DESCRIPTION,"用于设置混控在输入在负向变化时,达\n到目标值的延迟时间","用于设置混控在输入在负向变\n化时,达到目标值的延迟时间"
MIX_LOWPOSTRIM_DESCRIPTION,"用于设置低位微调"
HELI_PITCH,"浆距"
EDITABLE_HELI_PITCH,"Pitch"
HELI_GYRO,"陀螺仪"
EDITABLE_HELI_GYRO,"Gyro"
MISSING_THROTTLE,"你的模型设置中不包含油门通道"
SIX_POSITIONS_SWITCH,"6段开关"
GYRO_X_AXIS,"X轴"
GYRO_Y_AXIS,"Y轴"
AILERON_LETTER,"A"
RUDDER_LETTER,"R"
ELEVATOR_LETTER,"E"
THROTTLE_LETTER,"T"
NOT,"非"
STICKY,"粘性开关"
EDGE,"沿触发"
MIDDLE,"中点"
NO_CHECK,"不检查"
CUSTOM,"自定义"
HOLD,"保持"
NO_PULSES,"没有脉冲"
NOT_SET,"未设置"
NO_ENGINE,"无发动机通道"
NO_FLAPS,"无襟翼通道"
NO_RUDDERS,"无方向舵通道"
NO_ELEVATORS,"无升降舵通道"
NO_AILERONS,"无副翼通道"
CHANNELS_1,"单通道"
CHANNELS_2,"双通道"
CHANNELS_3,"3通道"
CHANNELS_4,"4通道"
BEEP,"蜂鸣"
IN_RANGE,"在范围中"
REPLACE,"替换"
USE_A_SOURCE,"使用源"
CONVERT_TO_VALUE,"转换为值"
SPECIAL,"特殊值"
MAXIMUM,"最大值"
MINIMUM,"最小值"
MOMENTARY,"拨杆"
TWO_POS,"2段"
THREE_POS,"3段"
GYRO_CALIBRATION_PLACE_LEVEL,"将你的遥控器水平放置,准备好后点击下方按钮"
GYRO_CALIBRATION_LEFT,"将你的遥控器向左倾斜并保持该姿态,\n在准备好后点击下方按钮"
GYRO_CALIBRATION_RIGHT,"将你的遥控器向右倾斜并保持该姿态,\n在准备好后点击下方按钮"
GYRO_CALIBRATION_NOSE_UP,"将你的遥控器向前倾斜并保持该姿态,\n在准备好后点击下方按钮"
GYRO_CALIBRATION_NOSE_DOWN,"将你的遥控器向后倾斜并保持该姿态,\n在准备好后点击下方按钮"
DEFAULT,"默认"
STRENGTH,"强度"
AM,"AM"
PM,"PM"
SILENT,"静音"
PLAY_VARIO,"播放速率"
RF_ALWAYS_OFF,"特殊模式,RF将关闭"
STAB_FUNC,"自稳功能"
RX_PROTOCOL,"RX协议"
NO_MAP,"没有映射"
DIRECTION,"方向"
CLOCKWISE,"顺时针"
ANTICLOCKWISE,"逆时针"
PWM_PULSE_TYPE,"PWM信号类型"
BASIC_CONFIG,"基础设置"
RX1_MAP,"RX1配置"
RX2_MAP,"RX2配置"
RX3_MAP,"RX3配置"
ALL_FREQUENCY,"开放所有频点"
STICKS_NAME,"摇杆名称"
CHANNELS_COUNT,"通道数"
EXT,"外置"
INT,"内置"
PLACE_RECEIVE_LEVEL,"请将接收机水平放置"
PLACE_RECEIVE_LEVEL_REVERSE,"请将接收机垂直放置"
PLACE_RECEIVE_LEFT,"请将接收机朝左侧放置"
PLACE_RECEIVE_RIGHT,"请将接收机朝右侧放置"
PLACE_RECEIVE_FORWARD,"请将接收机朝前放置"
PLACE_RECEIVE_BACKWARD,"请将接收机朝后放置"
ADD_A_NEW_WEIGHT,"+ 添加一个新的权重"
ADD_A_NEW_CURVE,"+ 添加一个新的曲线"
AUDIO,"音频"
VOICE,"Voice"
VAR,"常量"
VOLUME,"总油量"
SAVE_TO_FLASH,"保存到闪存"
SAVE_TO_FLASH_MESSAGE,"所有的配置已经成功保存到闪存 !"
TIMER_GENERATOR,"定时发生器"
CONFIRM_CLEAR_CHANNEL_DDD_NAME,"通道%d不再被任何混控使用.\n你是否要清除该通道的名字?"
EDIT_SSS,"编辑%s"
RESET_SSS,"重置%s"
EDITABLE_ROLL,"Roll"
EDITABLE_PITCH,"Pitch"
EDITABLE_YAW,"Yaw"
OPTIONS_3DOTS,"选项..."
QUESTION_COPY_CHANNEL_NAME,"该通道目前没有命名.\n你是否要用当前混控的名字来命名该通道?"
FLY_BAR_LESS,"无副翼"
WING_RUD_ELE_AIL,"Wing Rud Ele Ail"
WING_FLYING,"Wing Delta Ail/ Wing Flying"
WING_VTAIL_AIL,"Wing VTail Ail"
LEVEL,"Level"
LEVEL_REVERSED,"Level Reversed"
UPRIGHT,"Upright"
UPRIGHT_REVERSED,"Upright Reversed"
WING_TYPE,"Wing Type"
MOUNTING_TYPE,"Mounting Type"
SXR_ENABLE,"SXR Enable"
AIL_INVERTED,"Ail Inverted"
AIL2_INVERTED,"Ail2 Inverted"
ELE_INVERTED,"Ele Inverted"
ELE2_INVERTED,"Ele2 Inverted"
RUD_INVERTED,"Rud Inverted"
AUX1_ENABLE,"AUX1 Enable"
AUX2_ENABLE,"AUX2 Enable"
QUICK_MODE,"Quick Mode"
SELF_CHECK,"Self Check"
STAB_GAIN_OF_AIL,"Stabilize Gain of Ail"
STAB_GAIN_OF_ELE,"Stabilize Gain of Ele"
STAB_GAIN_OF_RUD,"Stabilize Gain of Rud"
AUTO_LEVEL_GAIN_OF_AIL,"Auto Level Gain of Ail"
AUTO_LEVEL_GAIN_OF_ELE,"Auto Level Gain of Ele"
HOVER_GAIN_OF_ELE,"Hover Gain of Ele"
HOVER_GAIN_OF_RUD,"Hover Gain of Rud"
KNIFE_EDGE_GAIN_OF_AIL,"Knife-edge Gain of Ail"
KNIFE_EDGE_GAIN_OF_RUD,"Knife-edge Gain of Rud"
AUTO_LEVEL_OFFSET_OF_AIL,"Auto Level Offset Angle of Ail"
AUTO_LEVEL_OFFSET_OF_ELE,"Auto Level Offset Angle of Ele"
HOVER_OFFSET_ANGLE_OF_ELE,"Hover Offset Angle of Ele"
HOVER_OFFSET_ANGLE_OF_RUD,"Hover Offset Angle of Rud"
KNIFE_EDGE_OFFSET_OF_AIL,"Knife-edge Offset Angle of Ail"
KNIFE_EDGE_OFFSET_OF_RUD,"Knife-edge Offset Angle of Rud"
OUTPUT_VOLTAGE,"输出电压"
LIPO_VOLTAGE,"电池电压"
RB_10_20,"RB 10/20"
ALTITUDE_DATA_RATE,"高度数据速率"
VARIO_DATA_RATE,"数据速率"
CURRENT_DATA_RATE,"电流数据速率"
VOLTAGE_DATA_RATE,"电压数据速率"
RPM,"转速"
POLES_COUNT,"极对数"
NEED_FIRMWARE_UPDATE,"需要升级固件"
SYSTEM_VALUE,"系统数值"
GPS_CLOCK,"GPS Clock"
POTS_SLIDERS,"旋钮/滑块"
STICKS_POTS_SLIDERS,"摇杆/旋钮/滑块"
WRITE_INTERVAL,"写入间隔"
TX_BATT,"TxBatt"
AVERAGE,"平均"
TOTALIZE,"总值"
CELL,"电池"
CONSUMPTION,"电量消耗"
EDITABLE_CONSUMPTION,"Consumption"
EDITABLE_PERCENT,"Percent"
DISTANCE,"距离"
EDITABLE_DISTANCE,"Distance"
FALLING_EDGE_OF_SSS_BETWEEN_SSS_AND_SSS,"↑↓%s在%s和%s之间的脉冲"
RISING_EDGE_OF_SSS_DURING_SSS,"↑%s在%s期间的上升沿"
FALLING_EDGE_OF_SSS_DURING_SSS,"↓%s在%s期间的下降沿"
FALLING_EDGE_OF_SSS,"↓%s的下降沿"
RISING_EDGE_OF_SSS,"↓%s的上升沿"
STALL,"失速"
EDITABLE_SRV_DDD_CURR,"SRV%d curr"
EDITABLE_SRV_DDD_VOLT,"SRV%d volt"
EDITABLE_SRV_DDD_TEMP,"SRV%d temp"
EDITABLE_SRV_DDD_STATUS,"SRV%d status"
CONDITION,"条件"
TIMER_LOGS,"定时器记录"
SAVE_TO_SD,"保存到SD"
CLEAR_LOGS,"清除记录"
TITLE,"标题"
LOWEST,"最低"
COUNT,"数目"
HIGHEST,"最高"
BLADES,"极对数"
MAINGEAR_TEETH,"主齿轮"
PINION_TEETH,"小齿轮"
GEAR,"齿轮"
PROPELLER,"螺旋桨"
FLIGHT_VALUE,"飞行数据"
CURRENT_FLIGHT_MODE,"当前飞行模式"
NO_DESTINATION,"没有目标位置"
ENT_LONG,"长按ENT按钮"
RX_STILL_ON_TURN_OFF_TRANSMITTER,"接收机仍然处于上电状态,确定要关闭遥控器吗?"
CONFIRM_RESET_SENSOR,"此传感器的值将被重置,你确定要继续吗?"
LATITUDE,"纬度"
LONGITUDE,"经度"
GPS_MAP,"GPS地图"
MAP,"地图"
INTERNAL_GPS,"内置GPS模块"
CLOCK,"Clock"
TRIP,"行程"
EDITABLE_TRIP,"Trip"
MULTIPLIER,"乘数"
VERTICAL,"垂直"
HORIZONTAL,"水平"
TOTAL,"总电压"
CELLS,"节"
MULTI_LIPO,"多电池"
LIPO,"电池"
SYSTEM_EVENT,"系统事件"
RSSI_LOW,"RSSI信号低"
TRAINER_ACTIVE,"教练开关"
RACING_MODE_ACTIVE,"竞速模式已生效."
RACING_MODE_IS_UNSUPPORTED,"不支持竞速模式."
LINE_CHART,"实时记录"
LOG_PERIOD,"记录周期"
RESUME,"恢复"
PAUSE,"暂停"
AUTO_RANGE,"自适应范围"
LOCK,"锁定"
Xx2POS,"{HARDWARE_FUNCTION_SWITCHES}段切换开关"
XPOS_WITH_OFF,"可关闭的"
XPOS,"{HARDWARE_FUNCTION_SWITCHES}段开关"
2xXPOS,"2个{HARDWARE_FUNCTION_SWITCHES_PER_SIDE}段开关"
GLOBAL,"全局"
_2DOTS,": "
SUMMARY,"概览"
CONFIRM_STOP_USING_CURVE,"你确定要移除这条曲线吗?"
CONFIRM_STOP_USING_RATE,"你确定要移除这个权重吗?"
PATTERN,"方式"
ROLL_ANGLE,"翻滚角"
PITCH_ANGLE,"俯仰角"
HYDRAULIC_PRESSURE,"液压传感器"
IGNORE_TRAINER_INPUT,"忽略教练输入"
FULL_RANGE,"全行程"
IGNORE_RANGE,"忽略行程限制"
HALF_RANGE,"一半行程"
LAST_POSITION,"最后位置"
SLEEP_BRIGHTNESS,"睡眠模式亮度"
TOP_LCD_SLEEP,"顶部LCD休眠"
VIEW_PER_CHANNEL,"通道视图"
VIEW_TABLE,"混控视图"
GENERAL,"通用设置"
RX_STILL_ON_TURN_OFF_RF,"接收机未断开.\n确定继续吗?"
LOAD_ALL_FUNCTION_SWITCH_POSITIONS,"加载所有功能按键的位置","加载所有FS的位置"
CONFIRM_LOAD_ALL_FUNCTION_SWITCH_POSITIONS,"此操作将使用当前位置覆盖所有FS的位置. 确定继续吗?"
STORAGE_LOCATION,"存储位置"
RADIO,"遥控器"
MODELS,"模型"
USER_BITMAPS,"用户图片"
SCRIPTS,"脚本"
LOGS,"日志"
SCREENSHOTS,"截图"
PRESSURE,"压力计"
COLOR,"颜色"
CONFIRM_CLEAR_CHANNELS_SSS_NAME,"通道%s不被任何混控使用.需要清除该通道的名字?"
CHANNEL_SBUS_VALUE_LIMIT_WARNING,"新的通道行程可能在SBUS/冗余上不适用. 请确认你的设备!"
EDITABLE_POWER,"Power"
FLASH_VIDEO_COMPONENT,"更新X20HD 组件"
VOLTAGE,"电压"
SAVE_TO_FILE,"保存到文件"
RX_BAT_VOLTAGE,"接收机电池电压"
RX_BAT_2_VOLTAGE,"接收机2电池电压"
EXT_ADC_VOLTAGE,"外部 ADC 电压"
BOARD_CURRENT,"主板电流"
POWER_ON_RESET,"上电复位"
PIN_RESET,"复位脚复位"
WAKE_UP_RESET,"低功耗唤醒复位"
WATCHDOG_RESET,"看门狗复位"
LOCKUP_RESET,"死机复位"
BROWN_DOWN_DET_RESET,"掉电复位"
RX_RESET_CASE,"接收机复位状态"
EDITABLE_CUSTOM,"Custom"
OPERATION_ASSIGN,"赋值(=)"
OPERATION_ADD,"加(+)"
OPERATION_SUBTRACT,"减(-)"
OPERATION_MULTIPLY,"乘(*)"
OPERATION_DIVIDE,"除(/)"
OPERATION_MIN,"设为最小"
OPERATION_MAX,"设为最大"
REPURPOSE,"借用微调按钮"
SENSOR_CONFLICT_WARNING,"传感器冲突警报"
NIGHTLY_BUILD_NOT_FOR_FLYING,"夜编译, 请不要用于飞行!"
READING_FILE,"正在读取文件 ..."
NOT_ENOUGH_MEMORY,"没有足够的内存"
CLEAN_LOGS,"清理Log文件"
CONFIRM_CLEAN_LOGS,"该操作会移除当前目录下的所有.csv文件, 你确定要继续吗?"
CLEANING_LOGS,"正在清理Log文件 ..."
PAUSE_CONDITION,"暂停条件"
RESET_SETTINGS,"重置设置"
SWAP_CHANNELS,"Swap channels"
CONFIRM_RESET_SETTINGS,"所有设置将会被重置.\n你确定要继续吗?"
CONFIRM_SWITCH_EXTERNAL_MODULE,"当前外置模块正在被使用, 这将会使其停止.\n你确定要继续吗?"
CONFIRM_SWITCH_TRAINER,"教练功能正在使用外置模块, 这将会使其停止.\n你确定要继续吗?"
COMPETITION_OPTION,"竞赛模式 (只回传RSSI和电池数据)"
CONFIRM_BLUETOOTH_USED_BY_SSS,"蓝牙正在被%s使用, 这将会使其停止.\n你确定要继续吗?"
BOTH_MODULES,"内外置模块"
SPORT_CONNECTOR,"S.Port口"
CONFIRM_SPORT_USED_BY_SSS,"S.Port口正在被%s使用. 你确定要继续吗?"
TRAINER_CABLE,"有线教练"
BLUETOOTH,"蓝牙"
SBUS_EXTERNAL_MODULE,"S.Bus外置模块"
CPPM_EXTERNAL_MODULE,"CPPM外置模块"
LUA_TASKS,"Lua任务"
LUA_SOURCES,"Lua源"
MISSING_SCRIPT_FILE,"缺少脚本文件"
BITMAP,"图片"
BITMAP_TYPE,"图片类型"
BITMAP_FILE,"图片文件"
FILE_PATH,"文件路径"
TEXT,"文本"
DOCUMENTS,"文档"
USB_MODE_PRESELECTION,"预选USB模式"
USB_MODE,"USB模式"
JOYSTICK,"摇杆"
SERIAL,"串口"
SELECT_MODEL_AT_POWER_ON,"在开机时选择模型"
LOAD_MODEL,"载入模型"
COUNTING_SOURCE,"计时依据"
TELEMETRY_ACTIVE,"有回传数据"
FLIGHT_RESET,"重置飞行数据"
THROTTLE_ACTIVE,"油门未归零"
SEND_FILE,"发送文件"
FILE_TRANSFER,"文件传输"
RECEIVE_FILE_HERE,"接受文件到本目录"
WAITING_FOR_CONNECTION,"等待连接"
WAITING_FOR_RECEIVER_CONFIRMATION,"正在等待接收机确认..."
FILE_TRANSFER_FAILED,"文件传输失败"
CONFIRM_RECEIVE_FILE_SSS_IN_FOLDER_SSS_SIZE_IS_SSS,"即将把文件%s保存到%s\n文件大小为%s"
CONFIRM_OVERWRITE_FILE_SSS_IN_FOLDER_SSS_SIZE_IS_SSS,"即将用文件%s覆盖目录%s下的同名文件\n文件大小为%s"
SENDING_SSS,"正在发送%s..."
RECEIVING_SSS,"正在接收%s..."
SEND_MODEL,"发送模型"
RECEIVE_MODEL,"接收模型"
ARE_YOU_USING_A_FRSKY_SELF_STAB_RECEIVER,"你正在使用一个Frsky的自稳接收机吗?"
EMERGENCY,"紧急模式"
GAIN_ADJUST,"增益调整"
UNIT_KNOT,"knots"
UNIT_MILLILITER_PER_PULSE,"ml/p"
UNIT_RPM,"r/m"
ASSIGN_INPUT_HINT,"请为以下功能分配输入源"
CONFIRMATION,"请确认"
ENABLE_XXX,"启用 %s?"
DISABLE_XXX,"禁用 %s?"
CONFIRMATION_BEFORE_ACTIVE,"在起效前确认"
CONFIRMATION_BEFORE_INACTIVE,"在失效前确认"
REMOTE_NFC,"NFC"
SWITCH_CHANNEL,"开关通道"
WIRELESS,"无线"
TIMEOUT,"超时"
NO_ENABLED_MODULE,"请打开你需要与NFC绑定的模块"
GET_MODULE_UUID_FAILED,"获取模块UUID失败.\n请确认你的模块状态!"
BIND_NFC_FAILED,"绑定NFC失败!"
PROTOCOL_NOT_SUPPORTED,"当前的模块协议不支持!"
CONFIRM_DELETE_TRIM,"你确定要删除这个虚拟微调吗?"
LEFT_STICK,"左摇杆"
RIGHT_STICK,"右摇杆"
ALL_MOTORS,"所有的震动马达"
SELECT,"选择"
SINGLE_MOTOR,"单震动马达"
STICK_MOTORS,"摇杆震动马达"
CONFIRM_DELETE_ACTION,"你确定要删除这个行为吗?"
CONFIRM_DELETE_SCREEN,"你确定要删除这个屏幕吗?"
CONFIRM_DELETE_SENSOR,"你确定要删除这个传感器吗?"
FILE_ALREADY_EXISTS,"同名文件已经存在"
MODEL_RUNTIME,"模型运行时长"
RADIO_RUNTIME,"遥控器运行时长"
WAITING_FOR_SIGNAL,"等待初始化结束..."
CONFIRM_RESET_RUNTIME,"Runtime will be reset.\nAre you sure you want to continue?"
EDITABLE_BANK,"Bank"
BANK,"Bank"
POWER_SWITCH,"Power switch"
CURRENT_AND_VOLTAGE_RATE,"Current & voltage rate"
BEC_VOLTAGE_RATE,"BEC voltage rate"
SBEC_VOLTAGE,"SBEC voltage"
BATTERY_MODE,"Battery mode"
SWITCH_VOLTAGE,"Switch voltage"
BALANCE,"Balance"
BACKUP,"Backup"
BALANCE_CHANNELS,"Balance channels"
CHOOSE_CHANNELS,"Choose channels"
BALANCE_CURVE,"Balance curve"
CONFIRM_TO_SHARE_RECEIVER,"Are you sure you want to share this receiver?"
CONFIRM_TO_UNBIND_RECEIVER,"Are you sure you want to unbind this receiver?"
