TRANSLATION_NAME,"Español"
TRANSLATION_KEY,"es"
FORMULA,"Fórmula"
CALCULATED_SENSOR,"Sensor calculado"
NAME,"Nombre"
DECIMALS,"Decimales"
VALUE,"Valor"
SENSOR_LOST_WARNING_DELAY,"Alerta sensores perdidos"
WARNING_DISABLED,"Alerta Desactivada"
RANGE,"Intervalo"
SPACE_WITH_SAMPLES," ejemplos"
RESET,"Restablecer"
TELEMETRY_SENSOR,"Sensor telemetría"
UNIT,"Unidad"
WRITE_LOGS,"Guardar registros"
ID,"ID"
CENTER,"Centro"
SUBTRIM,"Subtrim"
PWM_CENTER,"Centro PWM"
NORMAL,"Normal"
EQUAL,"Igual"
UNPLUGGED,"Desenconectado"
BEHAVIOUR,"Comportamiento"
ADD_NEW_BEHAVIOUR,"Agreg. nuevo comportam."
ADD_EXTRA_TRIM,"Agreg. trim extra"
EXTRA_TRIM,"Extra trim"
SLOW_UP,"Ralent. subida"
MIN,"MIN."
CURVE,"Curva"
MAX,"MAX."
CHANNEL,"Canal"
INVERT,"Invertir"
SLOW_DOWN,"Ralent. bajada"
INVERTED,"Invertido"
FLIGHT_MODES,"Modos vuelo"
MIX_FLIGHT_MODES_DESCRIPTION,"Descripc. modo vuelo"
MIX_NAME_DESCRIPTION,"Nombre mezcla"
TRIGGER_ON_CONDITION,"Condic. para ON"
COMMENT,"Comentario"
FUNCTION,"Función"
VALUES,"Valores"
ADD_NEW_VALUE,"+ Agreg. nuevo valor"
ACTIONS,"Acciones"
ADD_NEW_ACTION,"+ Agreg. nueva acción"
DURATION_HIGH,"Durac. actividad"
RISING_EDGE,"Borde ascend."
DURING,"Durante"
VALUE1,"Valor 1"
VALUE_X,"Valor (X)"
CHECK_INTERVAL,"Frec. comprobación"
ACTIVE_CONDITION,"Condic. activa"
MIN_DURATION,"Durac. mínima"
MAX_DURATION,"Durac. Máxima"
DURATION_LOW,"Durac. inactividad"
VALUE2,"Valor 2"
DELAY_BEFORE_ACTIVE,"Retraso antes ON"
DURATION,"Duración"
SOURCE_A,"Fuente (A)"
TRIGGER_OFF_CONDITION,"Condic. para OFF"
DELAY_BEFORE_INACTIVE,"Retraso antes OFF"
DELAY_ON_OFF,"Retraso antes ON / OFF"
SOURCE,"Fuente"
APPLICATION_ID,"ID Aplicac."
PHYSICAL_ID,"ID Física"
ACTION,"Acción"
TRAINER,"Entrenador"
TRAINER_MODE,"Modo entrenador"
CHANNEL_RANGE,"Interv. Canales"
CH,"CH"
OUTPUTS,"Salidas"
LAST_MODIFICATION,"última modific."
CLONE,"Duplicar"
MODEL_MATCH,"ID Modelo"
MODEL_DATA_LOAD,"Cargar modelo"
FILE_SIZE,"Tamaño archivo"
MODEL_SELECT,"Selec. modelo"
NO_MODELS_DIRECTORY,"¡Direct. sin modelos!"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_MODEL,"Se borrará el modelo, ¿está seguro?"
SUCCESS,"¡Exito!"
CLONE_MODEL_SUCCESSFULLY,"¡Modelo clonado con éxito!"
FILENAME_TOO_LONG,"¡Nombre demasiado largo!"
RX_STILL_ON_SELECT_ANOTHER_MODEL,"Receptor encendido, ¿está seguro de cambiar de modelo?"
CONFIRM_SELECT_ANOTHER_MODEL,"¿Confirma quiere seleccionar otro modelo?"
FILE_NAME,"Nombre archivo"
MODEL_TYPE,"Tipo de modelo"
CONFIRM,"Confirmar"
SET_CURRENT_MODEL,"Selecc. modelo"
UNCATEGORIZED,"Sin categoría"
CHANGE_FOLDER,"Cambiar Carpeta"
OPERATION,"Operación"
OPERATION_FAILED,"¡Fallo operación!"
DELETE_FOLDER,"Borrar Carpeta"
RENAME_FOLDER,"Renombrar Carpeta"
CREATE_FOLDER,"Crear Carpeta"
CONFIRM_DELETE_FLIGHT_MODE,"¿Confirma borrar modo de vuelo?"
MOVE,"Mover"
EDIT,"Editar"
ADD,"Agregar"
TELEMETRY_PORT,"Puerto Telemetría"
WARNING,"Advertencia"
ERRORS,"Errores"
OPTIONS,"Opciones"
CONFIGURE,"Configurar"
WAITING_FOR_RECEIVER,"A la espera de receptor..."
PIN,"Pin"
TELEMETRY,"Telemetría"
RX_SETTINGS,"Parámetros del RX"
NO_RESPONSE_FROM_RECEIVER,"Sin respuesta del receptor"
SBUS_OUT,"SBUS Out"
SBUS_IN,"SBUS In"
TELEMETRY_25_MW,"Telemetría 25mW"
HIGH_PWM_SPEED,"Alta Velocidad PWM"
FLIGHT_DATA_RECORDER,"Grabac. Datos Vuelo"
RX_HAS_NO_FLIGHT_DATA_RECORD,"El receptor no ha grabado datos de vuelo."
SENSOR_CONFIG,"Config. sensor"
CONFIRM_DELETE_TIMER,"¿Confirma eliminar cronómetro?"
TIMER,"Crono"
MODE,"Modo"
PASTE,"Pegar"
TIMERS,"Cronómetros"
COPY,"Copiar"
NO_TIMER_HINT,"Ningún cronómetro. ¡Pulse '+' para crear uno!"
ANTENNA,"Antena"
POWER_HAS_BEEN_CHANGED_PLEASE_REBIND,"La potencia ha cambiado. Vuelva a vincular"
NO_RESPONSE_FROM_MODULE,"El módulo no responde"
POWER,"Potencia"
BAUDRATE,"Baudios"
WAITING_FOR_MODULE,"Esperando módulo..."
TX_SETTINGS,"Parámet. del TX"
MIXES,"Mezclas"
CHANNELS,"Canales"
FLIGHT_MODE,"Modo de vuelo"
D,"D"
CONFIRM_DELETE_MIX,"¿Confirma borrar mezcla?"
CONFIRM_DELETE_SSS,"¿Está seguro de borrar %s ?"
NONE,"Ninguno"
NO_MIX_HINT,"No hay mezclas. Pulse '+' para crear una"
TYPE,"Tipo"
SHARE,"Compartir"
RX,"RX"
RACING_MODE,"Modo carrera"
RANGE_CHECK,"Prueba alcance"
EXTERNAL_MODULE,"Módulo externo"
BIND_OK,"Enlace OK"
BINDING_3DOTS,"Enlazando..."
BIND,"Enlace"
FAILSAFE,"Failsafe"
INTERNAL_MODULE,"Módulo interno"
SET_FAILSAFE,"Definir failsafe"
RESET_BIND,"Reiniciar enlace"
FACTORY_RESET,"Ajustes de Fábrica"
RF_SYSTEM,"Sistema RF"
OWNER_REGISTRATION_ID,"Regist. ID propietario"
SELECT_DEVICE,"Elegir dispositivo"
REGISTER,"Registrar"
VALID_FRAME_RATE,"VFR"
STATE,"Estado"
PROTOCOL,"Protocolo"
RSSI,"RSSI"
ARE_YOU_SURE_TO_RESET_THIS_RECEIVER,"¿Confirma reinicio de receptor?"
SET,"Definir"
EXPO,"Expo"
UNIT_POINTS_COUNT,"Puntos por unidad"
WEIGHT,"Peso"
POINTS,"Puntos"
OFFSET,"Desplazamiento"
AUTO_OFFSET,"Auto offset"
OFFSET_WHEN_ACTIVE,"Desplazam. con línea activa"
OFFSET_WHEN_INACTIVE,"Desplazam. con línea inactiva"
SMOOTH,"Suavizar"
POINT,"Punto"
POINTS_COUNT,"Num. de puntos"
EASY_MODE,"Modo simple"
LOGIC_SWITCHES,"Interruptores lógicos"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_LOGIC_SWITCH,"¿Confirma borrado de Int. Lógico?"
NO_LOGIC_SWITCH_HINT,"No hay interruptores lógicos. Pulse '+' para crear uno"
START_CONDITION,"Condición de inicio"
STOP_CONDITION,"Condición de parada"
TIMER_EDIT,"Editar cronómetro"
PERSISTENT,"Persistente"
START_VALUE,"Valor de partida"
AUDIO_ACTIONS,"Acciones de Audio"
AUDIO_ACTION,"Acción de Audio"
ADD_A_NEW_AUDIO_ACTION,"Agreg. nueva acción audio"
ALARM_VALUE,"Valor de alarma"
HAPTIC,"Vibrar"
COUNTDOWN,"Cuenta-atrás"
BEEP_COUNTDOWN,"Pitido cuenta-atrás"
START,"Inicio"
PLAY_FILE,"Reproduce Fichero"
SPACE_WITH_OTHERS,"otros..."
CONFIRM_DELETE_CURVE,"Confirme borrado de curva?"
CURVE_USED_BY,"Curva utilizada por:"
AND_WITH_TWO_SPACES,"y  "
CURVES,"Curvas"
VARS,"Vars"
NO_VAR_HINT,""Ningún var. Presione el boton (+) para crear una"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_VAR,"Confirme borrado de este var"
NO_CURVE_HINT,"Ninguna curva. Pulse (+) para crear una"
CONFIRM_RESET_MIXES,"Se eliminarán todas las mezclas. ¿Continuar?"
ELEVATORS,"Profundidad"
YAW,"Guiñada"
SWASH_PLATE,"Plato"
EDIT_MODEL,"Editar modelo"
PICTURE,"Imagen"
TAIL,"Cola"
AILERONS,"Alerones"
PITCH,"Paso"
THROTTLE,"Motor"
FLAPS,"Flaps"
ENGINE,"Motor"
RUDDERS,"Dirección"
ROLL,"Alabeo"
FUNCTION_SWITCHES,"Interrupt. de función"
RESET_ALL_MIXES,"Elimina todas las mezclas"
CREATE_CALCULATED_SENSOR,"Crear sensor calculado"
CONFIRM_DELETE_SENSORS,"Todos los sensores serán eliminados. ¿Está seguro?"
ON,"Encendido"
OFF,"Apagado"
DISCOVER_NEW_SENSORS,"Descubrir sensores"
DELETE_ALL,"Borrar todo"
CREATE_DIY_SENSOR,"Crear sensor DIY"
CONFIRM_LOAD_ALL_SWITCH_POSITIONS,"Esta operación sobreescribirá todas las posiciones de interruptores a comprobar por otras nuevas. ¿Continuar?"
CHECK_FUNCTION,"Comprobar función"
LOAD_ALL_SWITCH_POSITIONS,"Cargar posiciones de interruptores"
CONFIRM_LOAD_ALL_POT_POSITIONS,"Esta operación sobreescribirá todas las posiciones de los pots a comprobar por otras nuevas. ¿Continuar?"
LOAD_ALL_POT_POSITIONS,"Cargar posiciones de potenciómetros"
CALIBRATION_FINISH,"Calibrac. completada"
SXR_CALIBRATION,"Calibrac. del SxR"
CLICK_WHEN_DONE,"Haga click cuando termine"
CALIBRATING,"Calibrando..."
SXR_CALIBRATION_DESCRIPTION,"Calibrac. del receptor SxR"
SLAVE_CH,"CH esclavo"
PERCENT,"Porcentaje"
DESTINATION,"Destino"
ENABLE,"Habilitar"
NO_FUNCTION_HINT,"Ninguna función. Pulse (+) para crear una"
SPECIAL_FUNCTIONS,"Funciones especiales"
SF,"SF"
DISABLE,"Deshabilitar"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_SPECIAL_FUNCTION,"¿Confirma borrar función especial?"
REGISTRATION_OK,"Registro OK"
UID,"UID"
REGISTRATION_ID,"ID de registro"
RX_NAME,"Nombre RX"
RECEIVER_CONNECTED,"Receptor conectado"
REGISTRATION,"Registro"
TRIMS,"Trims"
FADE_IN,"Ralentiz. de entrada"
FADE_OUT,"Ralentiz. de salida"
AUTO_DETECT,"Auto Detección"
DISPLAY_DECIMALS_AND_UNIT,"Precisión de Pantalla y Unidades"
SELECT_SENSOR,"Seleccionar Sensor"
DIY_SENSOR,"Sensor DIY"
WAITING,"Esperando"
BAND,"Banda"
RATIO,"Ratio"
MODULE,"Módulo"
PROTOCOL_DECIMALS_AND_UNIT,"Precisión Protocolo y Unidades"
CROSS_TRIM,"Trims cruzados"
MOVE_TRIM_TO_SUBTRIM,"Mover trim a subtrim"
INSTANT_TRIM,"Trim Instantáneo"
CONFIRM_MOVE_TRIM_TO_SUBTRIM,"¿Confirma mover trim a subtrim?"
MOVE_TRIMS_TO_SUBTRIMS,"Mover trims a subtrims"
CONFIRM_MOVE_TRIMS_TO_SUBTRIMS,"¿Confirma mover trims a subtrims?"
INDEPENDENT_PER_FLIGHT_MODE,"Trim por modo de vuelo"
STICK,"Palanca"
CONFIGURE_SCREENS,"Configurar Pantallas"
TOP_SCREEN,"Pantalla superior"
CHANGE_LAYOUT,"Cambiar plantilla"
FULL_SCREEN,"Pantalla completa"
WIDGET,"Widget"
SET_MAIN_SCREEN,"Ajustes pantalla principal"
CONFIGURE_WIDGET,"Configurar widget"
NEW_SCREEN,"Nueva pantalla"
SCREEN,"Pantalla"
CHANGE_WIDGET,"Cambiar widget"
MOVE_FORWARD, "Mover hacia delante"
MOVE_BACKWARD,"Mover hacia atrás"
RESET_FLIGHT,"Reiniciar Vuelo"
RESET_TIMERS,"Reiniciar Cronómetros"
RESET_TELEMETRY,"Reiniciar Telemetría"
HOME,"Principal"
ADD_AFTER,"Agregar después..."
ADD_MIX_FAILED,"!Error al añadir mezcla!"
MAX_MIXES_REACHED,"Alcanzado Número máximo de mezclas"
FIRST_POSITION,"Primera posición"
MIXES_LIBRARY,"Biblioteca de mezclas"
LOCAL_ADDRESS,"Dirección local"
WAITING_FOR_DEVICES,"Esperando dispositivos..."
LOCAL_NAME,"Nombre local"
SEARCH_DEVICES,"Buscar dispositivos"
BLUETOOTH_DEVICE_CONNECTED,"Dispositivo bluetooth conectado"
CONNECT_LAST_DEVICE,"Conectar último dispositivo"
DEVICE,"Device"
NO_BLUETOOTH_DEVICE_FOUND,"Ningún dispositivo bluetooth detectado"
SPEAKER_MUTE,"Silenciar altavoz"
DISCONNECT,"Desconectar"
WAITING_FOR_DEVICE,"Esperando dispositivo"
DIST_ADDRESS,"Dirección remota"
CONNECTING,"Conectando"
RESET_MODULE,"Reiniciar módulo"
HIGH_SPEED,"Alta velocidad"
NORMAL_SPEED,"Velocidad normal"
MODEL,"Modelo"
CHECKLIST,"Lista de comprobación"
FILE_MANAGER,"Administrador de archivos"
SOUND,"Sonido y vibración"
STICKS,"Palancas"
DATE_TIME,"Fecha y Hora"
HARDWARE,"Hardware"
INFO,"Info"
SERIAL_NUMBER,"Número de serie"
RESET_FACTORY_SETTINGS,"Restablecer ajustes de fábrica"
CONFIRM_RESET_FACTORY_SETTINGS,"¿Confirma restablecer ajustes de fábrica?"
SYSTEM,"Sistema"
DISPLAY,"Pantalla"
KEYBOARD,"Teclado"
ENABLE_SLIDER,"Activar slider"
DISABLE_SLIDER,"Desactivar slider"
ALERTS,"Alertas"
SPECTRUM_ANALYSER,"Analizador de espectro"
BATTERY,"Batería"
CHECKLIST_WARNING,"Advertencia prevuelo"
RADIO_IS_IN_SILENT_MODE,"Radio en modo silencio"
RADIO_BATTERY_IS_LOW,"Bajo voltaje batería TX"
THROTTLE_IS_NOT_IDLE,"Motor fuera de ralentí"
ARE_NOT_IN_SAFE_POSITION,"No están en posición segura"
IS_NOT_IN_SAFE_POSITION," No está en posición segura"
FUNCTION_SWITCHES_ARE_NOT_IN_SAFE_POSITION,"Las Teclas de Función no están en posición segura"
FAILSAFE_IS_NOT_SET,"Failsafe no configurado"
RTC_BATTERY_IS_LOW,"Voltaje bajo batería RTC"
ALWAYS_ON,"Siempre ON"
YES,"Si"
DIGITAL_RSSI,"RSSI digital"
GYRO,"Giróscopo"
LANGUAGE,"Idioma"
SWITCHES,"Interruptores"
TOP_TOOLBAR,"Barra superior herramientas"
NO,"No"
BRIGHTNESS,"Brillo"
KEYS,"Teclas"
WAKE_UP,"Activar"
DIGITAL_VOLTAGE,"Voltaje digital"
SLEEP,"Suspender"
SYSTEM_ALERTS,"Alertas del sistema"
INACTIVITY,"Inactividad"
AUTO_ADJUST_FROM_GPS,"Ajuste automático desde GPS"
DATE,"Fecha"
ADJUST_RTC_SPEED,"Adjustar velocidad RTC"
SHOW_SECONDS,"Mostrar segundos"
IS24HOUR,"Formato horario 24h"
TIME_ZONE,"Huso horario"
YEAR,"Año"
MONTH,"Mes"
TIME,"Hora"
NEXT,"Siguiente"
GYRO_CALIBRATION,"Calibrac. giróscopos"
PREV,"Previo"
MDL_LONG,"MDL Largo"
HARDWARE_CHECK,"Verif. de hardware"
SWITCHES_SETTINGS,"Configurac. interruptores"
ADC_INSPECTOR,"Comprobador de ADC"
SYS_LONG,"SYS Largo"
HOME_KEYMAP,"Mapeado teclas menú"
POTS_SLIDERS_SETTINGS,"Configurac. pots y deslizadores"
SWITCH_MIDDLE_DETECT_DELAY,"Retraso detec. interruptor en posición central"
DISP_SHORT,"{DISP_LABEL} Corto"
DISP_LONG,"{DISP_LABEL} Largo"
SWITCH,"Interruptor"
ANALOGS_FILTER,"Filtros analógicos"
ANALOGS_CALIBRATION,"Cal. entradas analóg."
CONFIRM_CONTINUE,"¿Continuar?"
THR_NOT_LOW_WARNING,"¡Aviso motor fuera ralentí!"
CHANNELS_ORDER,"Orden de canales"
STICKS_MODE,"Modo de vuelo"
STICKS_MODE_1,"Palancas modo 1"
STICKS_MODE_2,"Palancas modo 2"
STICKS_MODE_3,"Palancas modo 3"
STICKS_MODE_4,"Palancas modo 4"
FIRST_FOUR_CHANNELS_FIXED,"Primeros 4 canales fijos"
NO_SD_CARD,"No hay SD"
FLASH_BOOTLOADER,"Flashear Bootloader"
FLASH_INTERNAL_MODULE,"Flashear módulo interno"
PLAY,"Reproducir"
CURRENT_VERSION,"Versión actual"
FLASH_RECEIVER_BY_INTERNAL_MODULE_OTA,"Flashear RX con módulo int. OTA"
FLASH_RECEIVER_BY_EXTERNAL_MODULE_OTA,"Flashear RX con módulo externo OTA"
OTA_UPDATE,"Actualizac. OTA"
FLASH_EXTERNAL_DEVICE,"Flashear disposit. externo"
OPEN,"Abrir"
FLASH_EXTERNAL_MODULE,"Flashear módulo externo"
FLASH_EXTERNAL_MULTIMODULE,"Flashear multimódulo externo"
MOVE_HERE,"Mover aquí"
OTA_UPDATE_ERROR,"Error actualizac. OTA"
UNSUPPORTED_RX,"RX no soportado"
MAIN_VOLTAGE,"Voltaje radio"
DISPLAY_VOLTAGE_RANGE,"Rango visualizac. voltaje"
LOW_VOLTAGE,"Alerta batería baja"
RTC_VOLTAGE,"Voltaje pila RTC"
UNKNOWN,"Desconocido"
FIRMWARE,"Firmware"
FIRMWARE_VERSION,"Versión firmware"
VIDEO_HARDWARE_VERSION,"Versión Hardware Vídeo"
RECEIVER,"Receptor"
NON_STABILIZED_RECEIVER,"Receptor no estabilizado"
VARIO,"Vario"
MAIN_VOLUME,"Volumen principal"
AUDIO_VOLUME,"Volumen"
PITCH_AT_ZERO,"Tono en cero"
SEQUENCE,"Secuencia"
PITCH_AT_MAX,"Tono en máximo"
REPEAT_AT_ZERO,"Repetición en cero"
FIXED_WING,"Avión"
GLIDER,"Planeador"
HELI,"Helicóptero"
MULTI,"Multi"
OTHER,"Otro"
CALIBRATION,"Calibración"
INPUTS,"Entradas"
UPDATE,"Actualizar"
SDCARD,"Tarjeta SD"
SDCARD_ERROR,"Error de SD"
INVALID_DATA,"Datos inválidos"
FILE_BAD_FORMAT,"Archivo erróneo"
NO_FILES_ON_SD,"Tarjeta SD vacía"
READ_ERROR,"Error de lectura"
WRITE_ERROR,"Error de escritura"
WRONG_HEADER,"Encabezado incorrecto"
WRONG_FORMAT,"Formato incorrecto"
WRONG_CRC,"CRC incorrecto"
WRONG_FILE_SIZE,"Tamaño archivo incorrecto"
WRONG_FILE,"Archivo incorrecto"
ERROR,"Error"
RUDDER,"Timón"
ELEVATOR,"Profundidad"
DELETE,"Borrar"
MODEL_BITMAP,"Imagen de modelo"
TAIL_TYPE,"Tipo de cola"
TRADITIONAL,"Tradicional"
VTAIL,"Cola en V"
REVERSE,"Invertir"
RATE,"Tasa"
UP,"Arriba"
DOWN,"Abajo"
RIGHT,"Derecha"
LEFT,"Izquierda"
TOP,"Arriba"
BOTTOM,"Abajo"
TIMER_UP,"Cronómetro"
TIMER_DOWN,"Cuenta-atrás"
LIMIT,"Límite"
SPEED,"Velocidad"
SET_DATE,"Cambiar fecha"
SET_TIME,"Cambiar hora"
SILENT_MODE,"Modo silencio"
KEY,"Tecla"
ALARM,"Alarma"
TRIM,"Trim"
SETUP_CHANNEL,"Definir canales"
LOGIC_SWITCH,"Interruptor lógico"
CREATE_MODEL,"Crear modelo"
CANCEL,"Cancelar"
DELAY,"Retraso"
SAVE,"Guardar"
LS,"LS"
FS,"FS"
OP,"OP"
TRAINER_MASTER,"Maestro"
TRAINER_SLAVE,"Alumno"
LINK_MODE,"Modo de Enlace"
TRAINEE_CHANNEL,"Canal alumno"
SUNDAY,"Domingo"
MONDAY,"Lunes"
TUESDAY,"Martes"
WEDNESDAY,"Miércoles"
THURSDAY,"Jueves"
FRIDAY,"Viernes"
SATURDAY,"Sábado"
JANUARY,"Enero"
FEBRUARY,"Febrero"
MARCH,"Marzo"
APRIL,"Abril"
MAY,"Mayo"
JUNE,"Junio"
JULY,"Julio"
AUGUST,"Agosto"
SEPTEMBER,"Septiembre"
OCTOBER,"Octubre"
NOVEMBER,"Noviembre"
DECEMBER,"Diciembre"
RECEIVER_TYPE,"Tipo de receptor"
BACK,"Atrás"
INTERNAL,"Interno"
EXTERNAL,"Externo"
RF_PROTOCOL,"Protocolo RF"
EXTERNAL_RF,"RF Externo"
LOGIC_SWITCH_RANGE,"Intervalo Interr. Lógico"
PLAY_SEQUENCE,"Reproducir secuencia"
WAIT_DURATION,"Tiempo de espera"
WAIT_CONDITION,"Condición de espera"
CONFIRM_DELETE_LINE,"¿Confirma borrar esta línea?"
ADD_A_NEW_LINE_IN_SEQUENCE,"Anadir una nueva línea en secuencia"
PLAY_TEXT,"Reproducir texto"
GO_TO_SCREEN,"Vaya a pantalla"
LOCK_TOUCHSCREEN,"Bloqueo pantalla táctil"
BLANK,"Vacío"
CALIBRATE,"Calibrar"
CLICK_CALIBRATE_TO_START,"Pulse 'Calibrar' para comenzar"
CENTER_STICKS_POTS_SLIDERS_AND_CLICK_NEXT,"Centre palancas/pots/deslizadores, después pulse 'Siguiente'"
MOVE_STICKS_POTS_SLIDERS_AND_CLICK_NEXT,"Mueva palancas/pots/deslizadores en todas direcciones, después pulse 'Siguiente'"
CALIBRATION_COMPLETE_CLICK_CONFIRM_TO_STORE,"Calibración completa, pulse 'Confirmar' para guardar"
BACKLIGHT,"Retroiluminac."
DARK_MODE,"Modo Oscuro"
HIGHLIGHT_COLOR,"Color de resaltado"
MODEL_NAME,"Nombre"
NO_AIRBRAKES,"Sin aerofrenos"
SWR,"SWR"
CURRENT,"Intensidad"
VFAS,"VFAS"
TEMPERATURE_2,"Temperatura 2"
TEMPERATURE_1,"Temperatura 1"
FUEL,"Combustible"
ACCX,"AccX"
ACCY,"AccY"
ACCZ,"AccZ"
GPS_ALT,"Alt GPS"
GPS_SPEED,"Velocidad GPS"
GPS_COURSE,"Ruta GPS"
AIR_SPEED,"Velocidad Aire"
BATTERY_1_VOLTAGE,"Voltaje Bat1"
BATTERY_1_CURRENT,"Intens. Bat1"
BATTERY_2_VOLTAGE,"Voltaje Bat2"
BATTERY_2_CURRENT,"Intens. Bat2"
RBOX_STATE_1,"RBOX S1"
RBOX_STATE_2,"RBOX S2"
BATTERY_1_CONSUMPTION,"Consumo Bat1"
BATTERY_2_CONSUMPTION,"Consumo Bat2"
BATTERY_1_TEMPERATURE,"Bat1 temp."
BATTERY_2_TEMPERATURE,"Bat2 temp."
SD1_CHANNEL,"CH SD1"
ESC_VOLTAGE,"Voltaje ESC"
ESC_CURRENT,"Intens. ESC"
ESC_RPM,"RPM ESC"
ESC_CONSUMPTION,"Consumo ESC"
ESC_TEMPERATURE,"Temp. ESC"
RB_OUTPUT_STATE,"Estado salida RB"
RB_CH1_A,"Intens. RB CH1"
RB_CH2_A,"Intens. RB CH2"
RB_CH3_A,"Intens. RB CH3"
RB_CH4_A,"Intens. RB CH4"
RB_CH5_A,"Intens. RB CH5"
RB_CH6_A,"Intens. RB CH6"
RB_CH7_A,"Intens. RB CH7"
RB_CH8_A,"Intens. RB CH8"
RB_CH9_A,"Intens. RB CH9"
RB_OUTPUT_1_VOLTAGE,"Voltaje salida RB 1"
RB_OUTPUT_2_VOLTAGE,"Voltaje salida RB 2"
GASSUIT_TEMP1,"GASS Temp1"
GASSUIT_TEMP2,"GASS Temp2"
GASSUIT_SPEED,"GASS RPM"
GASSUIT_RES_VOL,"GASS Vol. Res."
GASSUIT_RES_PERC,"GASS Res. %"
GASSUIT_FLOW,"GASS flujo"
GASSUIT_MAX_FLOW,"GASS flujo max"
GASSUIT_AVG_FLOW,"GASS flujo medio"
BEC_VOLTAGE,"Voltaje BEC"
BEC_CURRENT,"Intensidad BEC"
R9M_POWER,"Potencia. R9M"
OK,"OK"
FLAP,"Flaps"
AIRBRAKE,"Aerofreno"
FILE,"Archivo"
FLASH_SPORT,"Flashear por S.Port"
PLAY_VALUE,"Mostrar valor"
CATEGORY,"Categoría"
MEMBER,"Fuente"
ANALOGS,"Analógicos"
SWITCHES_POSITIONS,"Posiciones interr."
TRIMS_POSITIONS,"Posiciones trims"
CONST_VALUE,"Valor constante"
SLIDER_LEFT,"Deslizador izquierdo"
SLIDER_RIGHT,"Deslizador derecho"
RIGHT_HORIZONTAL,"Horizontal derecho"
TRIM_RIGHT_HORIZONTAL_LEFT,"Trim DHI"
TRIM_RIGHT_HORIZONTAL_RIGHT,"Trim DHD"
RIGHT_VERTICAL,"Vertical derecho"
TRIM_RIGHT_VERTICAL_UP,"Trim DVA"
TRIM_RIGHT_VERTICAL_DOWN,"Trim DVB"
LEFT_VERTICAL,"Vertical izquierdo"
TRIM_LEFT_VERTICAL_UP,"Trim IVA"
TRIM_LEFT_VERTICAL_DOWN,"Trim IVB"
LEFT_HORIZONTAL,"Horizontal izquierdo"
TRIM_LEFT_HORIZONTAL_LEFT,"Trim IHI"
TRIM_LEFT_HORIZONTAL_RIGHT,"Trim IHD"
TRIM_T5_LEFT,"T5 I"
TRIM_T5_RIGHT,"T5 D"
