TRANSLATION_NAME,"Español"
TRIM_T6_LEFT,"T6 I"
TRIM_T6_RIGHT,"T6 D"
TRIM_T5_DOWN,"T5 B"
TRIM_T5_UP,"T5 A"
TRIM_T6_DOWN,"T6 B"
TRIM_T6_UP,"T6 A"
DIFFERENTIAL,"Diferencial"
SLOW,"Lento"
MULTIPLY,"Multiplicar"
WEIGHT_UP,"Aumentar Peso"
WEIGHT_DOWN,"Disminuir Peso"
OUTPUT,"Salida"
CLOSE,"Cerrar"
FLASHING,"Actualización en curso..."
RESET_DEVICE,"Reiniciar dispositivo..."
LOW_BATTERY,"¡Batería de radio baja!"
VOLTAGE_CALIBRATION,"Calibrar voltaje"
STARTING_MODEL_WIZARD,"Inicio del asistente..."
RADIO_DATA_LOAD,""Cargar parám. radio"
DEFAULT_SYSTEM_SETTINGS_RESTORED,"Restaurados parám. por defecto del sitema."
FLIGHT_MODE_SHORT,"MV"
PREFLIGHT_WARNING,"Advertencia pre vuelo"
NEW_MODEL,"Nuevo modelo"
STARTING_CALIBRATION,"Iniciando calibración..."
NO_SD_CARD_WARNING,"Advertencia ausencia SD"
ADD_CURVE_ERROR,"¡Ha fallado creación de curva!"
STEP,"Paso"
AILERON,"Alerón"
SPACE_WITH_CHANNEL," canal"
QUESTION_SWAP_SSS_AND_SSS_CHANNELS_SETTINGS,"Intercambiar los ajustes de %s y de los ,%s canales?"
INPUT,"Entrada"
ELE_TO_AIL,"Prf => Ale"
THR_CURVE,"Curva de motor"
PITCH_CURVE,"Curva de paso"
THROTTLE_CUT,"Corte de motor"
AIL_TO_RUD,"Ale => Dir"
ELE_TO_CAMBER,"Prf => Camber"
RUD_TO_AIL,"Dir => Ale"
RUD_TO_ELE,"Dir => Prf"
AIL_TO_FLAPS,"Ale => Flap"
FLAPS_TO_ELE,"Flap => Prf"
FREE_MIX,"Mezcla libre"
SNAP_ROLL,"Tonel rápido"
TEST_MIX,"Mezcla de pruebas"
DELAY_UP,"Retraso arriba"
DELAY_MID,"Retraso medio"
DELAY_DOWN,"Retraso abajo"
NO_DELAY,"Sin retraso"
V_TAIL,"Cola en V"
DATA_REFUSED,"Datos rechazados"
DEVICE_NOT_RESPONDING,"El dispositivo no responde"
NO_OUTPUT,"Sin salida"
WEIGHT_RATES,"Porcentaje de pesos"
OTHERWISE,"Si no es así"
AUTO,"Auto"
TRIM_STEP_FINE,"Trim Fino"
TRIM_STEP_COARSE,"Trim grueso"
TRIM_STEP_EXPONENTIAL,"Trim exponenc."
TRIM_STEP_EXTRA_FINE,"Trim extra-fino"
TRIM_STEP_MEDIUM,"Trim medio"
TRIM_STEP_CUSTOM,"Trim personaliz."
SCREENSHOT,"Captura pantalla"
SILENT,"Silencio"
ALARMS_ONLY,"Solo alarmas"
OFTEN,"Frecuente"
ALWAYS,"Siempre"
NEVER,"Nunca"
WHEN_TELEMETRY_STREAMING,"Cuando haya telemetría"
VOICE1,"Voz 1 (Principal)"
VOICE2,"Voz 2"
VOICE3,"Voz 3"
NEGATIVE,"Negativo"
POSITIVE,"Positivo"
THROTTLE_HOLD,"Retención motor"
TRIGGER_VALUE,"Valor de disparo"
IDLE_OUTPUT_VALUE,"Valor ralenti"
LOW_POSITION_TRIM,"Trim en ralenti"
AND,"Y"
OR,"O"
XOR,"XOR"
SENSORS,"Sensores"
VARIOMETER,"Vario"
ALARMS,"Alarmas"
SENSOR,"Sensor"
RX_BATT,"Bat RX"
RX_CURRENT,"Intensidad Rx"
ALTITUDE,"Altitud"
VSPEED,"Vel. vert."
SELECT_LANGUAGE,"Elegir idioma"
ONCE,"Una vez"
FLIGHT_DATA,"Datos de vuelo"
ALL_TIMERS,"Todos los cronómetros"
WHOLE_TELEMETRY,"Toda la telemetría"
REPEAT,"Repetición"
WAV_FILE,"Archivo Wav"
BUTTERFLY,"Mariposa"
CAMBER,"Camber"
PITCH_TO_RUD,"Pas => Dir"
MISSING_BASIC_MIX,"No se encuentra mezcla básica"
MISSING_ENOUGH_CHANNEL,"Número de canales disponibles insuficiente"
NOT_SUIT_FOR_THIS_MODEL,"Esta mezcla no le conviene a su modelo"
THR_TO_ELE,"Mot => Prf"
THR_TO_RUD,"Mot => Dir"
TEMPERATURE,"Temperatura"
DATA_RATE,"Frecuencia datos"
GPS,"GPS"
GAS_SUITE,"Gas Suite"
FLOW_RESET,"Restablecer flujo"
CDI_OFF_SPEED_LIMIT,"Límite veloc. CDI off"
FLOW_PULSE,"Impulso de flujo"
AUTO_RESET,"Reinic. auto"
RESET_RESIDUAL_VOLUME,"Restablecer volumen residual"
RESET_MAX_FLOW,"Restablecer flujo máximo"
RESET_AVERAGE_FLOW,"Restablecer flujo medio"
VOLUME_ALARM,"Alarma volumen"
MAX_FLOW_ALARM,"Alarma flujo máx."
OVER_SPEED_ALARM,"Alarma sobreveloc."
FLOW_TRIGGER,"Iniciar flujo"
FACTORY_SETTING,"Parámetros de fábrica"
OVER_TEMP1_ALARM,"Alarma sobre-temp1"
OVER_TEMP2_ALARM,"Alarma sobre-temp2"
TEMPERATURE_UNIT,"Temp Grados"
AUTO_SAVE,"Auto guardar"
GPS_POSITION_DATA_RATE,"Frec. posición GPS"
GPS_ALTITUDE_DATA_RATE,"Frec. altitud GPS"
GPS_SPEED_DATA_RATE,"Frec. velocidad GPS"
GPS_COURSE_DATA_RATE,"Frec. ruta GPS"
GPS_TIME_DATA_RATE,"Frec. hora GPS"
RB_30_40,"RB 30/40"
EW,"EW"
NS,"NS"
DEFAULT_FLIGHT_MODE,"Modo vuelo predeterm."
SKIP_ON_STARTUP,"Saltar al inicio"
LOW_VALUE_WARNING,"Alarma valor bajo"
CRITICAL_VALUE,"Valor crítico"
UPGRADE_MODULE,"Actualizar módulo"
AUTHENTICATION_FAILURE,"Error de autenticación"
MODULE_NEEDS_UPGRADE,"Es necesario actualizar el módulo"
CLEAR,"Vaciar"
MIX_SWITCH_DESCRIPTION,"seleccione Interruptor que activa/desactiva la mezcla"
MIX_WEIGHT_DESCRIPTION,"El multiplicador en % asignado a la fuente de entrada que determina el valor de la mezcla, que será calculado después de la curva"
MIX_CURVE_DESCRIPTION,"Elige el tipo de Curva. Se calculará antes que el parámetro de peso."
MIX_DIFFERENTIAL_DESCRIPTION,"Seleccione el diferencial aplicado a los canales de la mezcla"
MIX_OUTPUT_DESCRIPTION,"Canales afectados por la mezcla"
MIX_INPUT_DESCRIPTION,"Seleccione la fuente de Entrada que afecta a la mezcla"
MIX_OPERATION_DESCRIPTION,"Seleccione tipo de función para la mezcla: Suma, multiplicación o reemplazo"
MIX_REVERSE_DESCRIPTION,"Invierta la dirección del mando"
MIX_OFFSET_DESCRIPTION,"Cantidad de desplazamiento desde el centro"
MIX_WEIGHTUP_DESCRIPTION,"Seleccione la cantidad de movimiento hacia arriba"
MIX_WEIGHTDOWN_DESCRIPTION,"Seleccione la cantidad de movimiento hacia abajo"
MIX_SPEEDUP_DESCRIPTION,"Seleccione el incremento de velocidad"
MIX_SPEEDDOWN_DESCRIPTION,"Seleccione la disminución de la velocidad"
MIX_LOWPOSTRIM_DESCRIPTION,"Trim activo solo a ralenti"
HELI_PITCH,"Paso (Helo)"
HELI_GYRO,"Giro (Helo)"
MISSING_THROTTLE,"El modelo no tiene motor"
SIX_POSITIONS_SWITCH,"Interruptor 6-POS"
GYRO_X_AXIS,"Giro Eje X"
GYRO_Y_AXIS,"Giro Eje Y"
AILERON_LETTER,"A"
RUDDER_LETTER,"D"
ELEVATOR_LETTER,"P"
THROTTLE_LETTER,"M"
NOT,"No"
STICKY,"Sticky"
EDGE,"Borde"
MIDDLE,"Medio"
NO_CHECK,"Sin verificar"
CUSTOM,"Personal."
HOLD,"Mantener"
NO_PULSES,"Sin pulsos"
NOT_SET,"Sin definir"
NO_ENGINE,"Sin motor"
NO_FLAPS,"Sin flaps"
NO_RUDDERS,"Sin dirección"
NO_ELEVATORS,"Sin profundidad"
NO_AILERONS,"Sin alerones"
CHANNELS_1,"1 canal"
CHANNELS_2,"2 canales"
CHANNELS_3,"3 canales"
CHANNELS_4,"4 canales"
BEEP,"Pitido"
IN_RANGE,"En alcance"
REPLACE,"Reemplazar"
USE_A_SOURCE,"Utilizar una fuente"
CONVERT_TO_VALUE,"Convertir en valor"
SPECIAL,"Especial"
MAXIMUM,"Máximo"
MINIMUM,"Mínimo"
MOMENTARY,"Momentáneo"
TWO_POS,"2-POS"
THREE_POS,"3-POS"
GYRO_CALIBRATION_PLACE_LEVEL,"Poner radio horizontal y pulsar 'Validar'"
GYRO_CALIBRATION_LEFT,"Girar la radio a la izquierda y pulsar 'Validar'"
GYRO_CALIBRATION_RIGHT,"Girar la radio a la derecha y pulsar 'Validar'"
GYRO_CALIBRATION_NOSE_UP,"Poner la radio hacia arriba y pulsar 'Validar'"
GYRO_CALIBRATION_NOSE_DOWN,"Poner la radio hacia abajo y pulsar 'Validar'"
DEFAULT,"Por defecto"
STRENGTH,"Intensidad"
AM,"AM"
PM,"PM"
PLAY_VARIO,"Reproducir vario"
RF_ALWAYS_OFF,"El módulo RF permanecerá siempre OFF."
STAB_FUNC,"Función de estabilización"
RX_PROTOCOL,"Protocolo RX"
NO_MAP,"Sin mapa"
DIRECTION,"Dirección"
CLOCKWISE,"Sentido horario"
ANTICLOCKWISE,"Sentido anti-horario"
PWM_PULSE_TYPE,"Tipo de pulso PWM"
BASIC_CONFIG,"Config. básica"
RX1_MAP,"RX1 Map"
RX2_MAP,"RX2 Map"
RX3_MAP,"RX3 Map"
ALL_FREQUENCY,"Todas las frecuencias"
STICKS_NAME,"Nombre de las palancas"
CHANNELS_COUNT,"Número de canales"
EXT,"Ext"
INT,"Int"
PLACE_RECEIVE_LEVEL,"Poner el receptor nivelado"
PLACE_RECEIVE_LEVEL_REVERSE,"Poner el receptor nivelado invertido"
PLACE_RECEIVE_LEFT,"Poner el receptor inclinado a la izquierda"
PLACE_RECEIVE_RIGHT,"Poner el receptor inclinado a la derecha"
PLACE_RECEIVE_FORWARD,""Poner el receptor inclinado hacia adelante"
PLACE_RECEIVE_BACKWARD,"Poner el receptor inclinado hacia atrás"
ADD_A_NEW_WEIGHT,"+ Nuevo peso"
ADD_A_NEW_CURVE,"+ Nueva curva"
AUDIO,"Audio"
VOICE,"Voz"
VAR,"Var"
VOLUME,"Volumen"
SAVE_TO_FLASH,"Guardar en flash"
SAVE_TO_FLASH_MESSAGE,""Todos los parámetros correctamente guardados en memoria flash"
TIMER_GENERATOR,"Gen. de cronómetro"
CONFIRM_CLEAR_CHANNEL_DDD_NAME,"Canal %d no utilizado en ninguna mezcla. ¿Borrar su nombre ?"
EDIT_SSS,"Editar %s"
RESET_SSS,"Reiniciar %s"
OPTIONS_3DOTS,"Opciones..."
QUESTION_COPY_CHANNEL_NAME,"El canal no tiene nombre.\n ¿Poner nombre a la mezcla ?"
FLY_BAR_LESS,"Flybarless"
WING_RUD_ELE_AIL,"Ala Dir-Prf-Ale."
WING_FLYING,"Ala Delta / Ala volante"
WING_VTAIL_AIL,"Ala cola en V Ale"
LEVEL,"Horizontal"
LEVEL_REVERSED,"Invertido"
UPRIGHT,"De frente"
UPRIGHT_REVERSED,"De espaldas"
WING_TYPE,"Tipo de ala"
MOUNTING_TYPE,"Posición de montaje"
SXR_ENABLE,"SXR activo"
AIL_INVERTED,"Ale Invertido"
AIL2_INVERTED,"Ale2 Invertido"
ELE_INVERTED,"Prf Invertida"
ELE2_INVERTED,"Prf2 Invertida"
RUD_INVERTED,"Dir Invertida"
AUX1_ENABLE,"AUX1 activo"
AUX2_ENABLE,"AUX2 activo"
QUICK_MODE,"Modo rápido"
SELF_CHECK,"Auto-comprobación"
STAB_GAIN_OF_AIL,"Estab. Ganancia Ale"
STAB_GAIN_OF_ELE,"Estab. Ganancia Prf"
STAB_GAIN_OF_RUD,"Estab. Ganancia Dir"
AUTO_LEVEL_GAIN_OF_AIL,"Auto Nivel Ganancia Ale"
AUTO_LEVEL_GAIN_OF_ELE,"Auto Nivel Ganancia Prf"
HOVER_GAIN_OF_ELE,"Hover Ganancia Ele"
HOVER_GAIN_OF_RUD,"Hover Ganancia Dir"
KNIFE_EDGE_GAIN_OF_AIL,"Cuchillo Ganancia Ale"
KNIFE_EDGE_GAIN_OF_RUD,"Cuchillo Ganancia Dir"
AUTO_LEVEL_OFFSET_OF_AIL,"Auto Nivel Desplazamiento Ale"
AUTO_LEVEL_OFFSET_OF_ELE,"Auto Nivel Desplazamiento Ele"
HOVER_OFFSET_ANGLE_OF_ELE,"Hover ángulo Desplazamiento Ele"
HOVER_OFFSET_ANGLE_OF_RUD,"Hover ángulo Desplazamiento Dir"
KNIFE_EDGE_OFFSET_OF_AIL,"Cuchillo desplazamiento Ale"
KNIFE_EDGE_OFFSET_OF_RUD,"Cuchillo Desplazamiento Dir"
OUTPUT_VOLTAGE,"Voltaje salida"
LIPO_VOLTAGE,"Voltaje Lipo"
RB_10_20,"RB 10/20"
ALTITUDE_DATA_RATE,"Frec. datos Alti."
VARIO_DATA_RATE,"Frec. datos Vario"
CURRENT_DATA_RATE,"Frec. datos Intensidad"
VOLTAGE_DATA_RATE,"Frec. datos Voltaje"
RPM,"RPM"
POLES_COUNT,"Num. de polos"
NEED_FIRMWARE_UPDATE,"Se necesita actualización de firmware"
SYSTEM_VALUE,"Valor Sistema"
GPS_CLOCK,"Hora GPS"
RACING_MODE_ACTIVE,"Modo carrera activo."
RACING_MODE_IS_UNSUPPORTED,"Modo carrera no soportado."
POTS_SLIDERS,"Potenc. / Deslizadores"
STICKS_POTS_SLIDERS,"Palancas / Potenc. / Deslizadores"
WRITE_INTERVAL,"Frec. de escritura"
TX_BATT,"Bat. TX"
AVERAGE,"Promedio"
TOTALIZE,"Totalizar"
CELL,"Celda"
CONSUMPTION,"Consumo"
DISTANCE,"Distancia"
FALLING_EDGE_OF_SSS_BETWEEN_SSS_AND_SSS,"↑↓Pulso de %s entre %s y %s"
RISING_EDGE_OF_SSS_DURING_SSS,"Borde↑ de %s durante %s"
FALLING_EDGE_OF_SSS_DURING_SSS,"Borde↓ de %s durante %s"
FALLING_EDGE_OF_SSS,"Borde↓ de %s"
RISING_EDGE_OF_SSS,"Borde↑ de %s"
STALL,"Pérdida"
EDITABLE_SRV_DDD_CURR,"Intensidad SRV%d"
EDITABLE_SRV_DDD_VOLT,"Voltaje SRV%d"
EDITABLE_SRV_DDD_TEMP,"Temp.SRV%d"
EDITABLE_SRV_DDD_STATUS,"Estado SRV%d"
CONDITION,"Condición"
TIMER_LOGS,"Registros cronómetro"
SAVE_TO_SD,"Guardar en SD"
CLEAR_LOGS,"Limpiar registros"
TITLE,"Título"
LOWEST,"Mínimo"
COUNT,"Contar"
HIGHEST,"Máximo"
BLADES,"Palas"
MAINGEAR_TEETH,"Dientes engranaje principal"
PINION_TEETH,"Dientes piñón"
GEAR,"Tren"
PROPELLER,"Hélice"
FLIGHT_VALUE,"Valor de vuelo"
CURRENT_FLIGHT_MODE,"M.V. actual"
NO_DESTINATION,"Sin destino"
ENT_LONG,"ENT Largo"
RX_STILL_ON_TURN_OFF_TRANSMITTER,"Rx todavía ENCENDIDO, ¿apagar la emisora?"
CONFIRM_RESET_SENSOR,"El valor del sensor se reiniciará. ¿Continuar?"
LATITUDE,"Latitud"
LONGITUDE,"Longitud"
GPS_MAP,"Mapa GPS"
MAP,"Mapa"
INTERNAL_GPS,"GPS interno"
CLOCK,"Reloj"
TRIP,"Viaje"
SYSTEM_EVENT,"Evento de Sistema"
RSSI_LOW,"RSSI Bajo"
TRAINER_ACTIVE,"Entrenador activo"
MULTIPLIER,"Multiplicador"
VERTICAL,"Vertical"
HORIZONTAL,"Horizontal"
TOTAL,"Total"
CELLS,"Celdas"
MULTI_LIPO,"Multi LiPo"
LIPO,"LiPo"
LINE_CHART,"Gráfica de línea"
LOG_PERIOD,"Periodo de Registro"
RESUME,"Reanudar"
PAUSE,"Pausa"
AUTO_RANGE,"Rango automático"
LOCK,"Bloquear"
Xx2POS,"{HARDWARE_FUNCTION_SWITCHES} x 2-Pos"
XPOS_WITH_OFF,"6-Pos con OFF"
XPOS,"6-Pos"
2xXPOS,"2 x {HARDWARE_FUNCTION_SWITCHES_PER_SIDE}-Pos"
GLOBAL,"Global"
_2DOTS," : "
SUMMARY,"Resumen"
CONFIRM_STOP_USING_CURVE,"¿Está seguro de no usar esta curva?"
CONFIRM_STOP_USING_RATE,"¿Está seguro de no usar este peso?"
PATTERN,"Patrón"
ROLL_ANGLE,"Ángulo alabeo"
PITCH_ANGLE,"Ángulo Profundidad"
HYDRAULIC_PRESSURE,"Presión hidráulica"
IGNORE_TRAINER_INPUT,"Ignorar entrada entrenador"
FULL_RANGE,"Todo el rango"
IGNORE_RANGE,"Ignore range"
HALF_RANGE,"Mitad de rango"
LAST_POSITION,"Última posición"
SLEEP_BRIGHTNESS,"Brillo en modo suspensión"
TOP_LCD_SLEEP,"Top LCD Sleep"
VIEW_PER_CHANNEL,"Ver por canal"
VIEW_TABLE,"Ver tabla"
GENERAL,"General"
RX_STILL_ON_TURN_OFF_RF,"Receptor aún encendido. ¿Continuar?"
LOAD_ALL_FUNCTION_SWITCH_POSITIONS,"Cargar posición en todas Teclas de Función"
CONFIRM_LOAD_ALL_FUNCTION_SWITCH_POSITIONS,"Esta operación sobreescribirá las posiciones actuales de las Teclas de Función. ¿Continuar?"
STORAGE_LOCATION,"Lugar de almacenamiento"
RADIO,"Radio"
MODELS,"Modelos"
USER_BITMAPS,"Imágenes de usuario"
SCRIPTS,"Scripts"
LOGS,"Logs"
SCREENSHOTS,"Capturas pantalla"
PRESSURE,"Presión"
COLOR,"Color"
CONFIRM_CLEAR_CHANNELS_SSS_NAME,"Ninguna mezcla usa los canales %s. ¿Quiere borrar el nombre a esos canales?"
CHANNEL_SBUS_VALUE_LIMIT_WARNING,"Los valores del nuevo canal son incompatibles con el uso redundante del SBUS. ¿Está seguro de continuar?"
VOLTAGE,"Voltaje"
SAVE_TO_FILE,"Guardar en archivo"
FLASH_VIDEO_COMPONENT,"Flashear Video Componente"
RX_BAT_VOLTAGE,"Volt. batería RX"
RX_BAT_2_VOLTAGE,"Voltaje batería RX2"
EXT_ADC_VOLTAGE,"Volt. ADC externo"
BOARD_CURRENT,"Intens. de placa"
POWER_ON_RESET,"Reseteo de encendido"
PIN_RESET,"Reseteo de Pin"
WAKE_UP_RESET,"Reseteo de Wake Up"
WATCHDOG_RESET,"Reseteo de Watchdog"
LOCKUP_RESET,"Reseteo de Lockup"
BROWN_DOWN_DET_RESET,"Detec. reseteo pédida de corriente"
RX_RESET_CASE,"RX Reset Case"
OPERATION_ASSIGN,"Asignar(=)"
OPERATION_ADD,"Suma(+)"
OPERATION_SUBTRACT,"Resta(-)"
OPERATION_MULTIPLY,"Multica(*)"
OPERATION_DIVIDE,"Divide(/)"
SQRT,"Sqrt"
REPURPOSE,"Reasignar"
SENSOR_CONFLICT_WARNING,"Aviso conflicto entre sensores"
NIGHTLY_BUILD_NOT_FOR_FLYING,"Nightly build, ¡No apto para vuelo!"
READING_FILE,"Leyendo archivo ..."
NOT_ENOUGH_MEMORY,"No hay suficiente memoria"
CLEAN_LOGS,"Borrar logs"
CONFIRM_CLEAN_LOGS,"Esta operación borrará todos los archivos .csv del directorio. ¿Quiere continuar?"
CLEANING_LOGS,"Borrando logs..."
PAUSE_CONDITION,"Condición de pausa"
RESET_SETTINGS,"Resetear ajustes"
SWAP_CHANNELS,"Intercambiar canales"
CONFIRM_RESET_SETTINGS,"Los ajustes se cambiarán a valores por defecto. ¿Quiere continuar?"
CONFIRM_SWITCH_EXTERNAL_MODULE,"El Módulo externo está en uso. Si sigue se desconectará. ¿Está seguro?"
CONFIRM_SWITCH_TRAINER,"Trainer está usando el módulo externo. Si sigue, dejará de hacerlo. ¿Está seguro?"
COMPETITION_OPTION,"Opción Competición (sólo RSSI y Batería)"
CONFIRM_BLUETOOTH_USED_BY_SSS,"Bluetooth está en uso por %s. Si sigue se parará. ¿Está seguro?"
BOTH_MODULES,"Ambos módulos"
SPORT_CONNECTOR,"Conector S.Port"
CONFIRM_SPORT_USED_BY_SSS,"Conector S.Port está en uso por %s. ¿Está seguro de continuar?"
TRAINER_CABLE,"Cable Entrenador"
BLUETOOTH,"Bluetooth"
SBUS_EXTERNAL_MODULE,"Módulo ext. SBUS"
CPPM_EXTERNAL_MODULE,"Módulo ext. CPPM"
LUA_TASKS,"Tareas Lua"
LUA_SOURCES,"Fuentes Lua"
MISSING_SCRIPT_FILE,"Falta archivo del script"
BITMAP,"Imagen"
BITMAP_TYPE,"Tipo de imagen"
BITMAP_FILE,"Archivo de imagen"
FILE_PATH,"Localizac. de archivo"
TEXT,"Texto"
DOCUMENTS,"Documentos"
USB_MODE_PRESELECTION,"Preselecc. modo USB"
USB_MODE,"Modo USB"
JOYSTICK,"Joystick"
SERIAL,"Serie"
SELECT_MODEL_AT_POWER_ON,"Selecc. modelo al arranque"
LOAD_MODEL,"Cargar modelo"
TELEMETRY_ACTIVE,"Telemetría Activa"
FLIGHT_RESET,"Restablecer vuelo"
THROTTLE_ACTIVE,"Motor Activo"
COUNTING_SOURCE,"Fuente proporcional de crono"
SEND_FILE,"Enviar archivo"
FILE_TRANSFER,"Transferencia de archivo"
RECEIVE_FILE_HERE,"Recibir archivo aquí"
WAITING_FOR_CONNECTION,"Esperando conexión"
CONNECTION_REFUSED,"Connection refused"
WAITING_FOR_RECEIVER_CONFIRMATION,"Esperando confirmación del receptor..."
FILE_TRANSFER_FAILED,"Fallo de transferencia de archivo"
CONFIRM_RECEIVE_FILE_SSS_IN_FOLDER_SSS_SIZE_IS_SSS,"Va a recibir archivo %s en el directorio %s\n Tamaño de archivo es %s"
CONFIRM_OVERWRITE_FILE_SSS_IN_FOLDER_SSS_SIZE_IS_SSS,"Va a sobreescribir archivo %s en la carpeta %s\n Tamaño de archivo es %s"
SENDING_SSS,"Enviando %s..."
RECEIVING_SSS,"Recibiendo %s..."
SEND_MODEL,"Enviar modelo"
RECEIVE_MODEL,"Recibir modelo"
ARE_YOU_USING_A_FRSKY_SELF_STAB_RECEIVER,"¿Está usando un receptor Frsky auto-estabilizado?"
EMERGENCY,"Emergencia"
GAIN_ADJUST,"Ajuste de ganancia"
UNIT_KNOT,"nudos"
UNIT_MILLILITER_PER_PULSE,"ml/p"
UNIT_RPM,"rpm"
ASSIGN_INPUT_HINT,"Asigne fuentes de entrada a las siguientes funciones:"
CONFIRMATION,"Confirmación"
ENABLE_XXX,"Habilitar %s?"
DISABLE_XXX,"Deshabilitar %s?"
CONFIRMATION_BEFORE_ACTIVE,"Confirmación antes de activar"
CONFIRMATION_BEFORE_INACTIVE,"Confirmación después de inactivo"
REMOTE_NFC,"NFC remoto"
SWITCH_CHANNEL,"Cambiar canal"
WIRELESS,"Inalámbrico"
TIMEOUT,"Se acabó el tiempo"
NO_ENABLED_MODULE,"Active el  módulo que quiere enlazar con NFC"
GET_MODULE_UUID_FAILED,"No se ha podido conseguir el UUID del módulo.\n ¡Compruebe el estado del módulo!"
BIND_NFC_FAILED,"¡No se ha podido enlazar el NFC con el módulo!"
PROTOCOL_NOT_SUPPORTED,"¡El protocolo actual del módulo no está soportado!"
CONFIRM_DELETE_TRIM,"¿Está seguro de borrar este trim extra?"
LEFT_STICK,"Palanca izquierda"
RIGHT_STICK,"Palanca derecha"
ALL_MOTORS,"Todos los motores"
SELECT,"Seleccionar"
SINGLE_MOTOR,"Un motor"
STICK_MOTORS,"Palanca de motores"
CONFIRM_DELETE_ACTION,"¿Está seguro de eliminar esta acción?"
CONFIRM_DELETE_SCREEN,"¿Está seguro de eliminar esta pantalla?"
CONFIRM_DELETE_SENSOR,"¿Está seguro de eliminar este sensor?"
FILE_ALREADY_EXISTS,"Existe un archivo con el mismo nombre"
MODEL_RUNTIME,"Runtime Modelo"
RADIO_RUNTIME,"Runtime Radio"
WAITING_FOR_SIGNAL,"Esperando señal..."
CONFIRM_RESET_RUNTIME,"Runtime se reinicirá.\n¿Está seguro de continuar?"
BANK,"Bank"
POWER_SWITCH,"Interr. de encendido"
CURRENT_AND_VOLTAGE_RATE,"Regimen de intens. & voltaje"
BEC_VOLTAGE_RATE,"BEC voltage rate"
SBEC_VOLTAGE,"Voltaje SBEC"
BATTERY_MODE,"Modo batería"
SWITCH_VOLTAGE,"Cambiar voltaje"
BALANCE,"Equilibrar"
BACKUP,"Backup"
BALANCE_CHANNELS,"Equilibrar canales"
CHOOSE_CHANNELS,"Elegir canales"
BALANCE_CURVE,"Equilibrar curva"
CONFIRM_TO_SHARE_RECEIVER,"¿Está seguro de querer compartir este receptor?"
CONFIRM_TO_UNBIND_RECEIVER,"¿Está seguro de querer desvincular este receptor?"
