TRANSLATION_NAME,"תירבע"
TRANSLATION_KEY,"he"
TRANSLATION_DIRECTION,"R2L"
FORMULA,"אחסונ"
CALCULATED_SENSOR,"בשוחמ ןשייח"
NAME,"םש"
DECIMALS,"ילמיצד"
VALUE,"ךרע"
SENSOR_LOST_WARNING_DELAY,"ןשייח קותינ תארתה"
WARNING_DISABLED,"היובכ הרהזא"
RANGE,"חווט"
SPACE_WITH_SAMPLES," תואמגוד"
RESET,"סופיא"
TELEMETRY_SENSOR,"הירטמלט ןשייח"
UNIT,"הדיחי"
WRITE_LOGS,"םיגול רומש"
ID,"ההזמ"
CENTER,"זכרמ"
SUBTRIM,"םירט באס"
PWM_CENTER,"PWM זכרמ"
NORMAL,"ליגר"
EQUAL,"Equal"
UNPLUGGED,"Unplugged"
BEHAVIOUR,"Behaviour"
ADD_NEW_BEHAVIOUR,"Add a new behaviour"
ADD_EXTRA_TRIM,"Add an extra trim"
EXTRA_TRIM,"Extra trim"
SLOW_UP,"הלעמל טאה"
MIN,"םומינימ"
CURVE,"המוקע"
MAX,"םומיסקמ"
CHANNEL," ץורע"
INVERT,"ךופיה"
SLOW_DOWN,"הטמל טאה"
INVERTED,"ךופה"
FLIGHT_MODES,"הסיט יבצמ"
MIX_FLIGHT_MODES_DESCRIPTION,"הסיטה בצמל רואית"
MIX_NAME_DESCRIPTION,"רסקימ םש ךורע"
TRIGGER_ON_CONDITION,"הלעפה בצמ לעפה"
COMMENT,"הרעה"
FUNCTION,"היצקנופ"
VALUES,"Values"
ADD_NEW_VALUE,"+ Add a new value"
ACTIONS,"Actions"
ADD_NEW_ACTION,"+ Add a new action"
DURATION_HIGH,"ליעפ ןמז ךשמ"
RISING_EDGE,"הלעמל הציפק"
DURING,"ןמזב"
VALUE1,"1 ךרע"
VALUE_X,"ךרע (X)"
CHECK_INTERVAL,"ןמז חוורמ תקידב"
ACTIVE_CONDITION,"ליעפ בצמ"
MIN_DURATION,"הייהש ןמז םומינימ"
MAX_DURATION,"Max duration"
DURATION_LOW,"תוליעפ יא ןמז ךשמ"
VALUE2,"2 ךרע"
DELAY_BEFORE_ACTIVE,"ליעפ בצמל הסינכ ינפל היהשה"
DURATION,"ןמז ךרוא"
SOURCE_A,"רוקמ (A)"
TRIGGER_OFF_CONDITION,"יובכ בצמ לעפה"
DELAY_BEFORE_INACTIVE,"ליעפ אל בצמל הסינכ ינפל היהשה"
DELAY_ON_OFF,"Delay ON / OFF"
SOURCE,"רוקמ"
APPLICATION_ID,"יביטקילפא ההזמ"
PHYSICAL_ID,"יזיפ ההזמ"
ACTION,"הלועפ"
TRAINER,"רניירט"
TRAINER_MODE,"רניירט בצמ"
CHANNEL_RANGE,"םיצורע חווט"
CH," ץורע"
OUTPUTS,"םיאצומ"
LAST_MODIFICATION,"הנורחאל הנוש"
CLONE,"לפכש"
MODEL_MATCH,"לדומ ההזמ"
MODEL_DATA_LOAD,"לדומ עדימ תניעט"
FILE_SIZE,"ץבוק לדוג"
MODEL_SELECT,"לדומ תריחב"
NO_MODELS_DIRECTORY,"No models directory!"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_MODEL,"? לדומה תא קוחמל ךנוצרבש חוטב התא םאה"
SUCCESS,"! החלצה"
CLONE_MODEL_SUCCESSFULLY,"! החלצהב לפכוש לדומ"
FILENAME_TOO_LONG,"!ידמ ךורא ץבוק םש"
RX_STILL_ON_SELECT_ANOTHER_MODEL,"?לדומ ףילחהל ךנוצרבש חוטב םאה .קלוד ןיידע טלקמה"
CONFIRM_SELECT_ANOTHER_MODEL,"Are you sure you want to select another model?"
FILE_NAME,"ץבוק םש"
MODEL_TYPE,"לדומ גוס"
CONFIRM,"רושיא"
SET_CURRENT_MODEL,"יחכונ לדומ רחב"
UNCATEGORIZED,"הירוגטק אלל"
CHANGE_FOLDER,"היקית ףלחה"
OPERATION,"Operation"
OPERATION_FAILED,"!הלשכנ הלועפה"
DELETE_FOLDER,"היקית קחמ"
RENAME_FOLDER,"היקית םש הנש"
CREATE_FOLDER,"היקית רוצ"
CONFIRM_DELETE_FLIGHT_MODE,"הז הסיט בצמ קוחמל ךנוצרבש חוטב התא םאה?"
MOVE,"זזה"
EDIT,"הכירע"
ADD,"ףסוה"
TELEMETRY_PORT,"הירטמלט טרופ"
WARNING,"הרהזא"
ERRORS,"Errors"
OPTIONS,"תויורשפא"
CONFIGURE,"Configure"
WAITING_FOR_RECEIVER,"טלקמל ןיתממ..."
PIN,"ןיפ"
TELEMETRY,"הירטמלט"
RX_SETTINGS,"טלקמ ינוויכ"
NO_RESPONSE_FROM_RECEIVER,"טלקמהמ הבוגת ןיא"
SBUS_OUT,"SBUS תאיצי"
SBUS_IN,"SBUS תסינכ"
TELEMETRY_25_MW,"25 הירטמלט mW"
HIGH_PWM_SPEED,"תוריהמ PWM ההובג"
FLIGHT_DATA_RECORDER,"הסיט עדימ טילקמ"
RX_HAS_NO_FLIGHT_DATA_RECORD,"הסיט עדימ טילקמ ןיא טלקמל"
SENSOR_CONFIG,"םינשייח תרדגה"
CONFIRM_DELETE_TIMER,"? הז רמייט קוחמל ךנוצרבש חוטב התא םאה"
TIMER," רמייט"
MODE,"בצמ"
PASTE,"קבדה"
TIMERS,"םירמייט"
COPY,"קתעה"
NO_TIMER_HINT,"! דחא רוציל ידכב '+' ץחל .םימייק אל םירמייט"
ANTENNA,"הנטנא"
POWER_HAS_BEEN_CHANGED_PLEASE_REBIND,"!שדחמ דנייב עצב ˎהנוש קפסה "
NO_RESPONSE_FROM_MODULE,"! לודומהמ הבוגת ןיא"
POWER,"קפסה"
BAUDRATE,"Baudrate"
WAITING_FOR_MODULE,"לודומל ןיתממ..."
TX_SETTINGS,"רדשמ ינוויכ"
MIXES,"רסקימ"
CHANNELS,"םיצורע"
FLIGHT_MODE,"הסיט בצמ"
D,"D"
CONFIRM_DELETE_MIX,"? הז רסקימ קוחמל ךנוצרבש חוטב התא םאה"
CONFIRM_DELETE_SSS,"Are you sure you want to delete %s"
NONE,"אלל"
NO_MIX_HINT,"! דחא רוציל ידכב '+' ץחל .םירסקימ םימייק אל"
TYPE,"גוס"
SHARE,"ףתש"
RX,"RX"
RACING_MODE,"ץורימ בצמ"
RANGE_CHECK,"חווט תקידב","חווט"
EXTERNAL_MODULE,"ינוציח לודומ"
BIND_OK,"חילצה דנייב"
BINDING_3DOTS,"דנייב עצבמ..."
BIND,"דנייב"
FAILSAFE,"ףייסלייפ"
INTERNAL_MODULE,"ימינפ לודומ"
SET_FAILSAFE,"ףייסלייפ ןווכ"
RESET_BIND,"דנייב סופיא"
FACTORY_RESET,"Factory reset"
RF_SYSTEM,"תרושקת תכרעמ"
OWNER_REGISTRATION_ID,"םילעב ההזמ רפסמ"
SELECT_DEVICE,"רישכמ רחב"
REGISTER,"םושיר"
VALID_FRAME_RATE,"VFR"
STATE,"בצמ"
PROTOCOL,"לוקוטורפ"
RSSI,"RSSI"
ARE_YOU_SURE_TO_RESET_THIS_RECEIVER,"הז טלקמ ספאל ךנוצרבש חוטב התא םאה?"
SET,"רדגה"
EXPO,"ופסקא"
UNIT_POINTS_COUNT,"תודוקנ"
WEIGHT,"לקשמ"
POINTS,"תודוקנ ןוויכ"
OFFSET,"טסיה"
AUTO_OFFSET,"Auto offset"
OFFSET_WHEN_ACTIVE,"Offset when active"
OFFSET_WHEN_INACTIVE,"Offset when inactive"
SMOOTH,"קלח"
POINT,"הדוקנ"
POINTS_COUNT,"תודוקנ רפסמ"
EASY_MODE,"טושפ דומ"
LOGIC_SWITCHES,"םייגול םיקספמ","יגול קספמ"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_LOGIC_SWITCH,"?הז יגול גתמ קוחמל ךנוצרבש חוטב התא םאה"
NO_LOGIC_SWITCH_HINT,"! קספמ תריציל '+' ץחל .םייגול םיקספמ םימייק אל"
START_CONDITION,"Start condition"
STOP_CONDITION,"Stop condition"
TIMER_EDIT,"רמייט תכירע"
PERSISTENT,"יבקע"
START_VALUE,"לחתה","הלחתה ךרע"
AUDIO_ACTIONS,"Audio actions"
AUDIO_ACTION,"Audio action"
ADD_A_NEW_AUDIO_ACTION,"Add a new audio action"
ALARM_VALUE,"הארתה","הארתה ךרע"
HAPTIC,"טטר"
COUNTDOWN,"Countdown"
BEEP_COUNTDOWN,"Beep countdown"
START,"Start"
PLAY_FILE,"Play File"
SPACE_WITH_OTHERS," םירחא..."
CONFIRM_DELETE_CURVE,"? וז המוקע קוחמל ךנוצרבש חוטב התא םאה"
CURVE_USED_BY,"םיאבה םירסקימב שומישב וז המוקע:"
AND_WITH_TWO_SPACES," ו "
CURVES,"תומוקע"
VARS,"Vars"
NO_VAR_HINT,"No var yet. Please press the add button to create one!"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_VAR,"Are you sure you want to delete this var?"
NO_CURVE_HINT,"! תחא רוציל ידכב '+' לע ץחל .תורדגומ תומוקע ןיא"
CONFIRM_RESET_MIXES,"? ךישמהל ךנוצרבש חוטב התא םאה .םירסקימה לכ תא ספאת וז הלועפ"
ELEVATORS,"הבוג יאגה"
YAW,"בוסבס"
SWASH_PLATE,"טיילפ שאווס"
EDIT_MODEL,"לדומ תכירע"
PICTURE,"הנומת"
TAIL,"בנז"
AILERONS,"תונזאמ"
PITCH,"דורלע"
THROTTLE,"תרעצמ"
FLAPS,"םיפדמ"
ENGINE,"עונמ"
RUDDERS,"ןוויכ יאגה"
ROLL,"לוגלג"
FUNCTION_SWITCHES,"םיילנויצקנופ םיגתמ"
RESET_ALL_MIXES,"םירסקימה לכ תא ספא"
CREATE_CALCULATED_SENSOR,"בשוחמ ןשייח רוצ"
CONFIRM_DELETE_SENSORS,"? חוטב ךנה םאה \n. ורסוי םינשייחה לכ"
ON,"לעפומ"
OFF,"יובכ"
DISCOVER_NEW_SENSORS,"םישדח םינשייח הלג"
DELETE_ALL,"לכה קחמ"
CREATE_DIY_SENSOR,"DIY ןשייח רוצ"
CONFIRM_LOAD_ALL_SWITCH_POSITIONS,"? ךישמהל ךנוצרבש חוטב התא םאה .יחכונה םיגתמה בצמ םע םיגתמה תוקידב לכ תא סורדת וז הלועפ"
CHECK_FUNCTION,"היצקנופ קודב"
LOAD_ALL_SWITCH_POSITIONS,"םיגתמה לכ םוקימ ןעט"
CONFIRM_LOAD_ALL_POT_POSITIONS,"? ךישמהל ךנוצרבש חוטב התא םאה .יחכונה םיגתמה בצמ םע םירטמויצנטופה תוקידב לכ תא סורדת וז הלועפ"
LOAD_ALL_POT_POSITIONS,"םירטמויצנטופה לכ םוקימ ןעט"
CALIBRATION_FINISH,"! םייתסה לויכה"
SXR_CALIBRATION,"SxR לויכ"
CLICK_WHEN_DONE,"םויסב ץחל"
CALIBRATING,"לייכמ..."
SXR_CALIBRATION_DESCRIPTION,"SxR ורי'ג לויכ"
SLAVE_CH,"ביילס ץורע"
PERCENT,"זוחא"
DESTINATION,"דעי"
ENABLE,"לעפומ"
NO_FUNCTION_HINT,"! תחא רוציל ידכב '+' לע ץחל .תורדגומ תויצקנופ ןיא"
SPECIAL_FUNCTIONS,"תודחוימ תויצקנופ"
SF,"'קנופ"
DISABLE,"יובכ"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_SPECIAL_FUNCTION,"?וז תדחוימ היצקנופ קוחמל ךנוצרבש חוטב התא םאה"
REGISTRATION_OK,"חילצה םושירה"
UID,"UID"
REGISTRATION_ID,"םושיר ההזמ"
RX_NAME,"טלקמ םש"
RECEIVER_CONNECTED,"רבוחמ טלקמ"
REGISTRATION,"םושיר"
TRIMS,"םיזוזיק"
FADE_IN,"הסינכ תטאה"
FADE_OUT,"האיצי תטאה"
AUTO_DETECT,"יטמוטוא יוהיז"
DISPLAY_DECIMALS_AND_UNIT,"הדיחי / הגוצת קויד"
SELECT_SENSOR,"ןשייח רחב"
DIY_SENSOR,"DIY ןשייח"
WAITING,"ןיתממ"
BAND,"רדת םוחת"
RATIO,"סחי"
MODULE,"לודומ"
PROTOCOL_DECIMALS_AND_UNIT,"הדיחי / לוקוטורפ קויד"
CROSS_TRIM,"םיבלצומ םיזוזיק"
MOVE_TRIM_TO_SUBTRIM,"Move trim to subtrim"
INSTANT_TRIM,"Instant trim"
CONFIRM_MOVE_TRIM_TO_SUBTRIM,"Confirm move trim to subtrim?"
MOVE_TRIMS_TO_SUBTRIMS,"Move trims to subtrims"
CONFIRM_MOVE_TRIMS_TO_SUBTRIMS,"Confirm move trims to subtrims?"
INDEPENDENT_PER_FLIGHT_MODE,"הסיט בצמ רפ זוזיק"
STICK,"קיטס"
CONFIGURE_SCREENS,"םיכסמ רדגה"
TOP_SCREEN,"ןוילע ךסמ"
CHANGE_LAYOUT,"הסירפ הנש"
FULL_SCREEN,"אלמ ךסמ"
WIDGET,"ט'גדיו"
SET_MAIN_SCREEN,"ישאר ךסמכ רדגה"
CONFIGURE_WIDGET,"ט'גדיו רדגה"
NEW_SCREEN,"שדח ךסמ"
SCREEN," ךסמ"
CHANGE_WIDGET,"ףלחה","ט'גדיו ףלחה..."
MOVE_FORWARD,"← המידק זזה"
MOVE_BACKWARD,"→ הרוחא זזה"
RESET_FLIGHT,"הסיט סופיא"
RESET_TIMERS,"םירמייט סופיא"
RESET_TELEMETRY,"הירטמלט סופיא"
HOME,"תיב"
ADD_AFTER,"ירחא ףסוה..."
ADD_MIX_FAILED,"! הלשכנ רסקימ תפסוה"
MAX_MIXES_REACHED,"! ילמיסקמה םירסקימ רפסמל תעגה"
FIRST_POSITION,"ןושאר םוקימ"
MIXES_LIBRARY,"םירסקימה תיירפס"
LOCAL_ADDRESS,"תימוקמ תבותכ"
WAITING_FOR_DEVICES,"םירישכמל ןיתממ..."
LOCAL_NAME,"ימוקמ םש"
SEARCH_DEVICES,"םירישכמ שפח"
BLUETOOTH_DEVICE_CONNECTED,"רבוחמ 'תוטולב רישכמ"
CONNECT_LAST_DEVICE,"ןורחא רישכמ רבח"
NO_BLUETOOTH_DEVICE_FOUND,"! 'תוטולב רישכמ אצמנ אל"
SPEAKER_MUTE,"קתשומ לוקמר"
DISCONNECT,"קתנ"
WAITING_FOR_DEVICE,"רוביחל ןיתממ"
DIST_ADDRESS,"תרזובמ תבותכ"
CONNECTING,"רבחתמ"
RESET_MODULE,"לודומל לוחתא"
HIGH_SPEED,"ההובג תוריהמ"
NORMAL_SPEED,"הליגר תוריהמ"
MODEL,"לדומ"
CHECKLIST,"טסיל ק'צ"
FILE_MANAGER,"םיצבק להנמ"
SOUND,"טטרו לילצ"
STICKS,"םיקיטס"
DATE_TIME,"העשו ךיראת"
HARDWARE,"הרמוח"
INFO,"עדימ"
SERIAL_NUMBER,"Serial number"
RESET_FACTORY_SETTINGS,"Reset factory settings"
CONFIRM_RESET_FACTORY_SETTINGS,"Reset factory settings?"
SYSTEM,"תכרעמ"
DISPLAY,"הגוצת"
KEYBOARD,"תדלקמ"
ENABLE_SLIDER,"Enable slider"
DISABLE_SLIDER,"Disable slider"
ALERTS,"תוארתה"
SPECTRUM_ANALYSER,"םורטקפס"
BATTERY,"הללוס"
CHECKLIST_WARNING,"טסיל ק'צ תרהזא"
RADIO_IS_IN_SILENT_MODE,"טקש דומב וידרה"
RADIO_BATTERY_IS_LOW,"הכומנ רדשמ תללוס"
THROTTLE_IS_NOT_IDLE,"קרסב אל תרעצמ"
ARE_NOT_IN_SAFE_POSITION,"םיקספמ בצמ אדוו .םי/ליעפ"
IS_NOT_IN_SAFE_POSITION,"םיקספמ בצמ אדוו .םי/ליעפ"
FUNCTION_SWITCHES_ARE_NOT_IN_SAFE_POSITION,"חוטב בצמב אל םילנויצקנופ םיקספמ"
FAILSAFE_IS_NOT_SET,"רדגומ אל ףייסלייפ"
RTC_BATTERY_IS_LOW,"הכומנ יוביג תללוס"
ALWAYS_ON,"קלוד דימת"
YES,"ןכ"
DIGITAL_RSSI,"ילטיגיד RSSI"
GYRO,"ורי'ג"
LANGUAGE,"הפש"
SWITCHES,"םיגתמ"
TOP_TOOLBAR,"ןוילע םילכ לגרס"
NO,"אל"
BRIGHTNESS,"תוריהב"
KEYS,"םינצחל"
WAKE_UP,"תוררועתה"
DIGITAL_VOLTAGE,"תילטיגיד הגוצת"
SLEEP,"הניש"
SYSTEM_ALERTS,"תכרעמ תוארתה"
INACTIVITY,"תוליעפ רסוח"
AUTO_ADJUST_FROM_GPS,"GPS יפל יטמוטוא ןוויכ"
DATE,"ךיראת"
ADJUST_RTC_SPEED,"RTC תוריהמ ןווכ"
SHOW_SECONDS,"תוינש גצה"
IS24HOUR,"תועש 24 ןועש"
TIME_ZONE,"ןמז רוזא"
YEAR,"הנש"
MONTH,"שדוח"
TIME,"ןועש"
NEXT,"אבה"
GYRO_CALIBRATION,"וריג לויכ"
PREV,"םדוק"
MDL_LONG,"ךורא MDL"
HARDWARE_CHECK,"הרמוח תקידב"
SWITCHES_SETTINGS,"םיגתמ תורדגה"
ADC_INSPECTOR,"ADC יכרע תגוצת"
SYS_LONG,"ךורא SYS"
HOME_KEYMAP,"תיב ינצחל יופימ"
POTS_SLIDERS_SETTINGS,"םירדיילס/טופ תורדגה"
SWITCH_MIDDLE_DETECT_DELAY,"םיקספמ זכרמ תייהשה"
DISP_SHORT,"רצק {DISP_LABEL}"
DISP_LONG,"ךורא {DISP_LABEL}"
SWITCH,"קספמ"
ANALOGS_FILTER,"יגולנא ןנסמ"
ANALOGS_CALIBRATION,"יגולנא לויכ"
CONFIRM_CONTINUE,"? ךישמהל ךנוצרבש חוטב התא םאה"
THR_NOT_LOW_WARNING,"! םומינימב אל תרעצמה"
CHANNELS_ORDER,"םיצורע רדס"
STICKS_MODE,"םיקיטס דומ"
STICKS_MODE_1,"Sticks mode 1"
STICKS_MODE_2,"Sticks mode 2"
STICKS_MODE_3,"Sticks mode 3"
STICKS_MODE_4,"Sticks mode 4"
FIRST_FOUR_CHANNELS_FIXED,"םיעובק םינושאר םיצורע תעברא"
NO_SD_CARD,"ןורכז סיטרכ ןיא"
FLASH_BOOTLOADER,"רדאולטוב בורצ"
FLASH_INTERNAL_MODULE,"ימינפ לודומ בורצ"
PLAY,"ןגנ"
CURRENT_VERSION,"תיחכונ הסרג"
FLASH_RECEIVER_BY_INTERNAL_MODULE_OTA,"טוחלאב טלקמ בורצ"
FLASH_RECEIVER_BY_EXTERNAL_MODULE_OTA,"Flash RX by ext. OTA"
OTA_UPDATE,"יטוחלא ןוכדע"
FLASH_EXTERNAL_DEVICE,"ינוציח רישכמ בורצ"
OPEN,"חתפ"
FLASH_EXTERNAL_MODULE,"ינוציח לודומ בורצ"
FLASH_EXTERNAL_MULTIMODULE,"Flash external multimodule"
MOVE_HERE,"ןאכל זזה"
