TRANSLATION_NAME,"Nederlands"
TRIM_LEFT_HORIZONTAL_RIGHT,"Trim LHR"
TRIM_T5_LEFT,"T5 L"
TRIM_T5_RIGHT,"T5 R"
TRIM_T6_LEFT,"T6 L"
TRIM_T6_RIGHT,"T6 R"
TRIM_T5_DOWN,"T5 D"
TRIM_T5_UP,"T5 U"
TRIM_T6_DOWN,"T6 D"
TRIM_T6_UP,"T6 U"
DIFFERENTIAL,"Differentieel"
SLOW,"Slow"
MULTIPLY,"Vermenigvuldigen"
WEIGHT_UP,"Gewicht Omhoog"
WEIGHT_DOWN,"Gewicht Omlaag"
OUTPUT,"Uitgang "
CLOSE,"Sluiten"
FLASHING,"Bezig met flashen..."
RESET_DEVICE,"Apparaat reset..."
LOW_BATTERY,"Radio batterij laag!"
VOLTAGE_CALIBRATION,"Voltage Calibratie"
STARTING_MODEL_WIZARD,"Modelwizard starten..."
RADIO_DATA_LOAD,"Radio data laden"
DEFAULT_SYSTEM_SETTINGS_RESTORED,"Opslagfout, standaard systeeminstellingen hersteld."
FLIGHT_MODE_SHORT,"FM"
PREFLIGHT_WARNING,"Preflight waarschuwingen"
NEW_MODEL,"Nieuw model"
STARTING_CALIBRATION,"Kalibratie starten..."
NO_SD_CARD_WARNING,"Geen SD kaartwaarschuwing"
ADD_CURVE_ERROR,"Toevoegen van curve mislukt!"
STEP,"Stap"
AILERON,"Rolroer"
SPACE_WITH_CHANNEL," kanaal"
QUESTION_SWAP_SSS_AND_SSS_CHANNELS_SETTINGS,"Wil je %s en %s kanaalinstellingen omwisselen?"
INPUT,"Ingang"
ELE_TO_AIL,"Hgt => Rol"
THR_CURVE,"Gas Curve"
PITCH_CURVE,"Pitch Curve"
THROTTLE_CUT,"Gas Cut"
AIL_TO_RUD,"Rol => Ri"
ELE_TO_CAMBER,"Hoog => Camber"
RUD_TO_AIL,"Ri => Rol"
RUD_TO_ELE,"Ri => Hoog"
AIL_TO_FLAPS,"Rol => Flaps"
FLAPS_TO_ELE,"Flaps => Hoog"
FREE_MIX,"Vrije Mix"
SNAP_ROLL,"Snap Roll"
TEST_MIX,"Test Mix"
DELAY_UP,"Vertraging Omhoog"
DELAY_MID,"Vertraging Mid"
DELAY_DOWN,"Vertraging Omlaag"
NO_DELAY,"Geen Vertraging"
V_TAIL,"V Staart"
DATA_REFUSED,"Data gewijgerd"
DEVICE_NOT_RESPONDING,"Apparaat reageerd niet"
NO_OUTPUT,"Geen uitvoer"
WEIGHT_RATES,"Gewichten / Rate"
OTHERWISE,"Otherwise"
AUTO,"Auto"
TRIM_STEP_FINE,"Fijn"
TRIM_STEP_COARSE,"Ruw"
TRIM_STEP_EXPONENTIAL,"Exponentieel"
TRIM_STEP_EXTRA_FINE,"Extra Fijn"
TRIM_STEP_MEDIUM,"Medium"
TRIM_STEP_CUSTOM,"Aangepast"
SCREENSHOT,"Schermafbeelding"
SILENT,"Stil"
ALARMS_ONLY,"Alleen Alarm"
OFTEN,"Vaak"
ALWAYS,"Altijd"
NEVER,"Never"
WHEN_TELEMETRY_STREAMING,"When telemetry streaming"
VOICE1,"Voice 1 (Main)"
VOICE2,"Voice 2"
VOICE3,"Voice 3"
NEGATIVE,"Negatief"
POSITIVE,"Positief"
THROTTLE_HOLD,"Gas Vasthouden"
TRIGGER_VALUE,"Trigger waarde"
IDLE_OUTPUT_VALUE,"Idle Uitgangswaarde"
LOW_POSITION_TRIM,"Lage positie trim"
AND,"AND"
OR,"OR"
XOR,"XOR"
SENSORS,"Sensoren"
VARIOMETER,"Variometer"
ALARMS,"Alarmen"
SENSOR,"Sensor"
RX_BATT,"RxBatt"
RX_CURRENT,"RxCurrent"
ALTITUDE,"Hoogte"
VSPEED,"VSnelheid"
SELECT_LANGUAGE,"Select Language"
ONCE,"Eenmaal"
FLIGHT_DATA,"Vlucht data"
ALL_TIMERS,"Alle timers"
WHOLE_TELEMETRY,"Alle telemetry"
REPEAT,"Herhalen"
WAV_FILE,"Wav file"
BUTTERFLY,"Butterfly"
CAMBER,"Camber"
PITCH_TO_RUD,"Pitch => Ri"
MISSING_BASIC_MIX,"Basis Mixer ontbreekt"
MISSING_ENOUGH_CHANNEL,"Er zijn niet genoeg kanalen beschikbaar"
NOT_SUIT_FOR_THIS_MODEL,"Deze mixer is niet geschikt voor uw model"
THR_TO_ELE,"Gas => Hgt"
THR_TO_RUD,"Gas => Rud"
TEMPERATURE,"Temperatuur"
DATA_RATE,"Data Rate"
GPS,"GPS"
GAS_SUITE,"Gas Suite"
FLOW_RESET,"Flow reset"
CDI_OFF_SPEED_LIMIT,"CDI off speed limit"
FLOW_PULSE,"Flow Pulse"
AUTO_RESET,"Auto Reset"
RESET_RESIDUAL_VOLUME,"Reset residual volume"
RESET_MAX_FLOW,"Reset max flow"
RESET_AVERAGE_FLOW,"Reset average flow"
VOLUME_ALARM,"Volume Alarm"
MAX_FLOW_ALARM,"Max Flow Alarm"
OVER_SPEED_ALARM,"Over speed alarm"
FLOW_TRIGGER,"Flow Trigger"
FACTORY_SETTING,"Fabrieks Instelling"
OVER_TEMP1_ALARM,"Over temp1 alarm"
OVER_TEMP2_ALARM,"Over temp2 alarm"
TEMPERATURE_UNIT,"Temp Graden"
AUTO_SAVE,"Auto Save"
GPS_POSITION_DATA_RATE,"GPS Positie Data Rate"
GPS_ALTITUDE_DATA_RATE,"GPS Hoogte Data Rate"
GPS_SPEED_DATA_RATE,"GPS Snelheid Data Rate"
GPS_COURSE_DATA_RATE,"GPS Koers Data Rate"
GPS_TIME_DATA_RATE,"GPS Tijd Data Rate"
RB_30_40,"RB 30/40"
EW,"OW"
NS,"NZ"
DEFAULT_FLIGHT_MODE,"Standaard Vluchtmode"
SKIP_ON_STARTUP,"Overslaan bij opstarten"
LOW_VALUE_WARNING,"Waarschuwing lage waarde"
CRITICAL_VALUE,"Kritische waarde"
UPGRADE_MODULE,"Upgrade module"
AUTHENTICATION_FAILURE,"Authenticatie fout"
MODULE_NEEDS_UPGRADE,"Module upgrade nodig"
CLEAR,"Wis"
MIX_SWITCH_DESCRIPTION,"Selecteer een schakelaar om de actieve/inactieve status van de mixer te wijzigen"
MIX_WEIGHT_DESCRIPTION,"De vermenigvuldiger in % toegepast op een inkomende bron om de uitgangswaarde van de mixer te bepalen. Dit wordt berekend na de curve"
MIX_CURVE_DESCRIPTION,"Kies een curve voor de mixer. Dit wordt berekend vóór het parametergewicht"
MIX_DIFFERENTIAL_DESCRIPTION,"Selecteer de hoeveelheid differentiële beweging voor kanalen"
MIX_OUTPUT_DESCRIPTION,"Selecteer het kanaal dat u door deze mixer wilt laten beïnvloeden"
MIX_INPUT_DESCRIPTION,"Selecteer de besturingsbron van deze mixer"
MIX_OPERATION_DESCRIPTION,"Selecteer functietype voor mixer: Toevoegen, Vermenigvuldigen of Vervangen"
MIX_REVERSE_DESCRIPTION,"Besturingsrichting omkeren"
MIX_OFFSET_DESCRIPTION,"Selecteer de hoeveelheid offset vanaf het midden"
MIX_WEIGHTUP_DESCRIPTION,"Selecteer de hoeveelheid beweging omhoog"
MIX_WEIGHTDOWN_DESCRIPTION,"Selecteer de hoeveelheid beweging naar beneden"
MIX_SPEEDUP_DESCRIPTION,"Selecteer de hoeveelheid versnellen"
MIX_SPEEDDOWN_DESCRIPTION,"Selecteer de hoeveelheid snelheid omlaag"
MIX_LOWPOSTRIM_DESCRIPTION,"Alleen trimmen lage positie inschakelen"
HELI_PITCH,"Pitch"
HELI_GYRO,"Gyro"
MISSING_THROTTLE,"Uw model heeft geen Gas kanalen"
SIX_POSITIONS_SWITCH,"6-POS-schakelaar"
GYRO_X_AXIS,"Gyro X-as"
GYRO_Y_AXIS,"Gyro Y-as"
AILERON_LETTER,"A"
RUDDER_LETTER,"R"
ELEVATOR_LETTER,"E"
THROTTLE_LETTER,"T"
NOT,"NOT"
STICKY,"Sticky"
EDGE,"EDGE"
MIDDLE,"Midden"
NO_CHECK,"Geen controle"
CUSTOM,"Aangepast"
HOLD,"Vasthouden"
NO_PULSES,"Geen Pulsen"
NOT_SET,"Niet ingesteld"
NO_ENGINE,"Geen motor"
NO_FLAPS,"Geen flaps"
NO_RUDDERS,"Geen Richtingsroeren"
NO_ELEVATORS,"Geen Hoogteroeren"
NO_AILERONS,"Geen Rolroeren"
CHANNELS_1,"1 kanaal"
CHANNELS_2,"2 kanalen"
CHANNELS_3,"3 kanalen"
CHANNELS_4,"4 kanalen"
BEEP,"Piep"
IN_RANGE,"binnen bereik"
REPLACE,"Vervangen"
USE_A_SOURCE,"Gebruik een bron"
CONVERT_TO_VALUE,"Converteren naar waarde"
SPECIAL,"Speciaal"
MAXIMUM,"Maximaal"
MINIMUM,"Minimaal"
MOMENTARY,"Schakelen"
TWO_POS,"2-POS"
THREE_POS,"3-POS"
GYRO_CALIBRATION_PLACE_LEVEL,"Plaats radio Waterpas en klik op de onderstaande knop als u klaar bent"
GYRO_CALIBRATION_LEFT,"Kantel de radio naar LINKS en klik op de onderstaande knop als u klaar bent"
GYRO_CALIBRATION_RIGHT,"Kantel de radio naar RECHTS en klik op de onderstaande knop als u klaar bent"
GYRO_CALIBRATION_NOSE_UP,"Kantel radio SCHUIN OMHOOG en klik op de onderstaande knop als u klaar bent"
GYRO_CALIBRATION_NOSE_DOWN,"Kantel radio SCHUIN OMLAAG en klik op de onderstaande knop als u klaar bent"
DEFAULT,"Standaard"
STRENGTH,"Sterkte"
AM,"AM"
PM,"PM"
PLAY_VARIO,"Vario afspelen"
RF_ALWAYS_OFF,"Speciale modus, RF is altijd UIT."
STAB_FUNC,"Stabiele function"
RX_PROTOCOL,"RX protocol"
NO_MAP,"Geen map"
DIRECTION,"Richting"
CLOCKWISE,"Met de klok mee"
ANTICLOCKWISE,"Tegen de klok in"
PWM_PULSE_TYPE,"PWM pulse type"
BASIC_CONFIG,"Basis configuratie"
RX1_MAP,"RX1 Map"
RX2_MAP,"RX2 Map"
RX3_MAP,"RX3 Map"
ALL_FREQUENCY,"Alle frequenties"
STICKS_NAME,"Knuppel namen"
CHANNELS_COUNT,"Aantal kanalen"
EXT,"Ext"
INT,"Int"
PLACE_RECEIVE_LEVEL,"Plaats uw ontvanger horizontaal,\nmet de bovenkant naar boven."
PLACE_RECEIVE_LEVEL_REVERSE,"Plaats uw ontvanger horizontaal,\nmet de bovenkant naar beneden."
PLACE_RECEIVE_LEFT,"Plaats je ontvanger verticaal,\npinnen omhoog."
PLACE_RECEIVE_RIGHT,"Plaats uw ontvanger verticaal,\npinne naar beneden."
PLACE_RECEIVE_FORWARD,"Plaats uw ontvanger leesbaar\ntext, pinnen rechts."
PLACE_RECEIVE_BACKWARD,"Plaats uw ontvanger niet leesbaar\ntext, pinnen links."
ADD_A_NEW_WEIGHT,"+ Voeg nieuw gewicht toe"
ADD_A_NEW_CURVE,"+ Voeg nieuwe curve toe"
AUDIO,"Audio"
VOICE,"Voice"
VAR,"Var"
VOLUME,"Volume"
SAVE_TO_FLASH,"Opslaan in flash"
SAVE_TO_FLASH_MESSAGE,"Alle instellingen zijn succesvol opgeslagen in flash!"
TIMER_GENERATOR,"Timer Generator"
CONFIRM_CLEAR_CHANNEL_DDD_NAME,"Kanaal %d wordt niet gebruikt door een Mix.\nWil je de naam wissen?"
EDIT_SSS,"%s Bewerken"
RESET_SSS,"%s Reset"
OPTIONS_3DOTS,"Opties..."
QUESTION_COPY_CHANNEL_NAME,"Het kanaal heeft geen naam.\nWilt u de naam van de mixer naar het kanaal kopiëren?"
FLY_BAR_LESS,"Flybarless"
WING_RUD_ELE_AIL,"Vleugel Ri Hgt Rol"
WING_FLYING,"Vleugel Delta Rol/ Vleugel vliegende"
WING_VTAIL_AIL,"Vleugel V-Staart Rol"
LEVEL,"Vlak"
LEVEL_REVERSED,"Vlak Reversed"
UPRIGHT,"Rechtop"
UPRIGHT_REVERSED,"Rechtop gedraaid"
WING_TYPE,"Vleugel Type"
MOUNTING_TYPE,"Bevestings Type"
SXR_ENABLE,"SXR Ingeschakeld"
AIL_INVERTED,"Rol Omgedraaid"
AIL2_INVERTED,"Rol2 Omgedraaid"
ELE_INVERTED,"Hgt Omgedraaid"
ELE2_INVERTED,"Hgt2 Omgedraaid"
RUD_INVERTED,"Ri Omgedraaid"
AUX1_ENABLE,"AUX1 Ingeschakeld"
AUX2_ENABLE,"AUX2 Ingeschakeld"
QUICK_MODE,"Quick Mode"
SELF_CHECK,"Self Check"
STAB_GAIN_OF_AIL,"Stabilisatie Gain van Rol"
STAB_GAIN_OF_ELE,"Stabilisatie Gain van Hgt"
STAB_GAIN_OF_RUD,"Stabilisatie Gain van Rud"
AUTO_LEVEL_GAIN_OF_AIL,"Auto Level Gain van Rol"
AUTO_LEVEL_GAIN_OF_ELE,"Auto Level Gain van Hgt"
HOVER_GAIN_OF_ELE,"Hover Gain van Hgt"
HOVER_GAIN_OF_RUD,"Hover Gain van Rud"
KNIFE_EDGE_GAIN_OF_AIL,"Knife-edge Gain van Rol"
KNIFE_EDGE_GAIN_OF_RUD,"Knife-edge Gain van Rud"
AUTO_LEVEL_OFFSET_OF_AIL,"Auto Level Offset Hoek van Rol"
AUTO_LEVEL_OFFSET_OF_ELE,"Auto Level Offset Hoek van Hgt"
HOVER_OFFSET_ANGLE_OF_ELE,"Hover Offset Hoek van Hgt"
HOVER_OFFSET_ANGLE_OF_RUD,"Hover Offset Hoek van Rud"
KNIFE_EDGE_OFFSET_OF_AIL,"Knife-edge Offset Hoek van Rol"
KNIFE_EDGE_OFFSET_OF_RUD,"Knife-edge Offset Hoek van Rud"
OUTPUT_VOLTAGE,"Uitgangs voltage"
LIPO_VOLTAGE,"Lipo Voltage"
RB_10_20,"RB 10/20"
ALTITUDE_DATA_RATE,"Hoogte Data Rate"
VARIO_DATA_RATE,"Vario Data Rate"
CURRENT_DATA_RATE,"Stroom Data Rate"
VOLTAGE_DATA_RATE,"Voltage Data Rate"
RPM,"RPM"
POLES_COUNT,"Aantal Polen"
NEED_FIRMWARE_UPDATE,"Heeft firmware update nodig"
SYSTEM_VALUE,"Systeem Waarde"
GPS_CLOCK,"GPS Tijd"
RACING_MODE_ACTIVE,"Race modus aktief."
RACING_MODE_IS_UNSUPPORTED,"Race-modus wordt niet ondersteund."
POTS_SLIDERS,"Pots / Schuiven"
STICKS_POTS_SLIDERS,"Knuppels / Pots / Schuiven"
WRITE_INTERVAL,"Schrijf interval"
TX_BATT,"TxBatt"
AVERAGE,"Gemiddeld"
TOTALIZE,"Totaliseren"
CELL,"Cell"
CONSUMPTION,"Consumptie"
DISTANCE,"Afstand"
FALLING_EDGE_OF_SSS_BETWEEN_SSS_AND_SSS,"↑↓Pulse van %s tussen %s en %s"
RISING_EDGE_OF_SSS_DURING_SSS,"%s na ↑EDGE van %s"
FALLING_EDGE_OF_SSS_DURING_SSS,"↓EDGE van %s tijdens %s"
FALLING_EDGE_OF_SSS,"↓EDGE van %s"
RISING_EDGE_OF_SSS,"↑EDGE van %s"
STALL,"Stall"
EDITABLE_SRV_DDD_CURR,"SRV%d Stroom"
EDITABLE_SRV_DDD_VOLT,"SRV%d Spanning"
EDITABLE_SRV_DDD_TEMP,"SRV%d Temp"
EDITABLE_SRV_DDD_STATUS,"SRV%d Status"
CONDITION,"Conditie"
TIMER_LOGS,"Timer Logs"
SAVE_TO_SD,"Opslaan op SD"
CLEAR_LOGS,"Logboeken wissen"
TITLE,"Titel"
LOWEST,"Laagste"
COUNT,"Aantal"
HIGHEST,"Hoogste"
BLADES,"Bladen"
MAINGEAR_TEETH,"Hoofd tandw. tanden"
PINION_TEETH,"Pinion tanden"
GEAR,"Tandwiel"
PROPELLER,"Propeller"
FLIGHT_VALUE,"Vlucht waarde"
CURRENT_FLIGHT_MODE,"Huidige V.M."
NO_DESTINATION,"Geen bestemming"
ENT_LONG,"ENT Lang"
RX_STILL_ON_TURN_OFF_TRANSMITTER,"Rx is nog steeds AAN, zender uitzetten?"
CONFIRM_RESET_SENSOR,"De waarde van deze sensor wordt gereset.\nWeet u zeker dat u wilt doorgaan?"
LATITUDE,"Latitude"
LONGITUDE,"Longitude"
GPS_MAP,"GPS Map"
MAP,"Map"
INTERNAL_GPS,"Interne GPS"
CLOCK,"Tijd"
TRIP,"Trip"
SYSTEM_EVENT,"Systeemgebeurtenis"
RSSI_LOW,"Rssi Laag"
TRAINER_ACTIVE,"Trainer active"
MULTIPLIER,"Vermenigvuldiger"
VERTICAL,"Vertikaal"
HORIZONTAL,"Horizontaal"
TOTAL,"Totaal"
CELLS,"Cellen"
MULTI_LIPO,"Multi LiPo"
LIPO,"LiPo"
LINE_CHART,"Lijngrafiek"
LOG_PERIOD,"Log Periode"
RESUME,"Hervat"
PAUSE,"Pauze"
AUTO_RANGE,"Automatisch bereik"
LOCK,"Vastzetten"
Xx2POS,"{HARDWARE_FUNCTION_SWITCHES} x 2-Pos"
XPOS_WITH_OFF,"{HARDWARE_FUNCTION_SWITCHES}-Pos met UIT"
XPOS,"{HARDWARE_FUNCTION_SWITCHES}-Pos"
2xXPOS,"2 x {HARDWARE_FUNCTION_SWITCHES_PER_SIDE}-Pos"
GLOBAL,"Globaal"
_2DOTS,": "
SUMMARY,"Samenvatting"
CONFIRM_STOP_USING_CURVE,"Weet u zeker dat u deze curve niet meer wilt gebruiken?"
CONFIRM_STOP_USING_RATE,"Weet u zeker dat u deze rate niet meer wilt gebruiken?"
PATTERN,"Patroon"
ROLL_ANGLE,"R.Hoek"
PITCH_ANGLE,"P.Hoek"
HYDRAULIC_PRESSURE,"H.Druk"
IGNORE_TRAINER_INPUT,"Trainer input negeren"
FULL_RANGE,"Full range"
IGNORE_RANGE,"Ignore range"
HALF_RANGE,"Half range"
LAST_POSITION,"Laatste Positie"
SLEEP_BRIGHTNESS,"Helderheid, Slaap modus"
TOP_LCD_SLEEP,"Top LCD Sleep"
VIEW_PER_CHANNEL,"Bekijk per kanaal"
VIEW_TABLE,"Bekijk Tabel"
GENERAL,"Algemeen"
RX_STILL_ON_TURN_OFF_RF,"Ontvanger is nog verbonden.\nWeet u zeker dat u door wilt gaan?"
LOAD_ALL_FUNCTION_SWITCH_POSITIONS,"Laad alle functie schakelaar posities","Laad alle FS posities"
CONFIRM_LOAD_ALL_FUNCTION_SWITCH_POSITIONS,"Deze bewerking zal alle FS-posities overschrijven met de huidige. Weet u zeker dat u door wilt gaan?"
STORAGE_LOCATION,"Storage location"
RADIO,"Radio"
MODELS,"Models"
USER_BITMAPS,"User Bitmaps"
SCRIPTS,"Scripts"
LOGS,"Logs"
SCREENSHOTS,"Screenshots"
PRESSURE,"Pressure"
COLOR,"Color"
CONFIRM_CLEAR_CHANNELS_SSS_NAME,"There are no mixers using channel %s. Do you want to clear the name of these channels?"
CHANNEL_SBUS_VALUE_LIMIT_WARNING,"The new channel value is incompatible with SBUS/redundancy use. Are you sure you want to continue?"
VOLTAGE,"Voltage"
SAVE_TO_FILE,"Save to File"
FLASH_VIDEO_COMPONENT,"Flash Video Component"
RX_BAT_VOLTAGE,"RX Battery Voltage"
RX_BAT_2_VOLTAGE,"RX Battery 2 Voltage"
EXT_ADC_VOLTAGE,"Extern ADC Voltage"
BOARD_CURRENT,"Board Current"
POWER_ON_RESET,"Power On Reset"
PIN_RESET,"Pin Reset"
WAKE_UP_RESET,"Wake Up Reset"
WATCHDOG_RESET,"Watchdog Reset"
LOCKUP_RESET,"Lockup Reset"
BROWN_DOWN_DET_RESET,"Brown Down Detection Reset"
RX_RESET_CASE,"RX Reset Case"
OPERATION_ASSIGN,"Assign(=)"
OPERATION_ADD,"Add(+)"
OPERATION_SUBTRACT,"Subtract(-)"
OPERATION_MULTIPLY,"Multiply(*)"
OPERATION_DIVIDE,"Divide(/)"
OPERATION_MIN,"Min"
OPERATION_MAX,"Max"
REPURPOSE,"Repurpose"
SENSOR_CONFLICT_WARNING,"Sensor Conflict Warning"
NIGHTLY_BUILD_NOT_FOR_FLYING,"Nightly build, not for flying!"
READING_FILE,"Reading file ..."
NOT_ENOUGH_MEMORY,"Not enough memory"
CLEAN_LOGS,"Clean logs"
CONFIRM_CLEAN_LOGS,"This operation will remove all the .csv files under the directory. Are you sure you want to continue?"
CLEANING_LOGS,"Cleaning logs ..."
PAUSE_CONDITION,"Pause condition"
RESET_SETTINGS,"Reset settings"
SWAP_CHANNELS,"Swap channels"
CONFIRM_RESET_SETTINGS,"The settings will be reset to the default values.\nAre you sure you want to continue?"
CONFIRM_SWITCH_EXTERNAL_MODULE,"External module is now used. It will be stopped.\nAre you sure you want to continue?"
CONFIRM_SWITCH_TRAINER,"Trainer is now using the external module. It will be stopped.\nAre you sure you want to continue?"
COMPETITION_OPTION,"Competition (only RSSI and Battery)","Competition (RSSI / Batt)"
CONFIRM_BLUETOOTH_USED_BY_SSS,"Bluetooth is now used by %s. It will be stopped.\nAre you sure you want to continue?"
BOTH_MODULES,"Both modules"
SPORT_CONNECTOR,"S.Port connector"
CONFIRM_SPORT_USED_BY_SSS,"S.Port connector is now used by %s. Are you sure you want to continue?"
TRAINER_CABLE,"Trainer Cable"
BLUETOOTH,"Bluetooth"
SBUS_EXTERNAL_MODULE,"SBUS External Module"
CPPM_EXTERNAL_MODULE,"CPPM External Module"
LUA_TASKS,"Lua Tasks"
LUA_SOURCES,"Lua Sources"
MISSING_SCRIPT_FILE,"Missing script file"
BITMAP,"Bitmap"
BITMAP_TYPE,"Bitmap type"
BITMAP_FILE,"Bitmap file"
FILE_PATH,"File path"
TEXT,"Text"
DOCUMENTS,"Documents"
TELEMETRY_ACTIVE,"Telemetry Active"
FLIGHT_RESET,"Flight reset"
THROTTLE_ACTIVE,"Throttle Active"
USB_MODE_PRESELECTION,"USB Mode Preselection"
USB_MODE,"USB Mode"
JOYSTICK,"Joystick"
SERIAL,"Serial"
SELECT_MODEL_AT_POWER_ON,"Select model at power on"
LOAD_MODEL,"Load model"
COUNTING_SOURCE,"Proportional timing source"
SEND_FILE,"Send file"
FILE_TRANSFER,"File transfer"
RECEIVE_FILE_HERE,"Receive file here"
WAITING_FOR_CONNECTION,"Waiting for connection"
WAITING_FOR_RECEIVER_CONFIRMATION,"Waiting for receiver confirmation..."
FILE_TRANSFER_FAILED,"File transfer failed"
CONFIRM_RECEIVE_FILE_SSS_IN_FOLDER_SSS_SIZE_IS_SSS,"About to receive file %s to folder %s\nFile size is %s"
CONFIRM_OVERWRITE_FILE_SSS_IN_FOLDER_SSS_SIZE_IS_SSS,"About to overwrite file %s in folder %s\nFile size is %s"
SENDING_SSS,"Sending %s..."
RECEIVING_SSS,"Receiving %s..."
SEND_MODEL,"Send model"
RECEIVE_MODEL,"Receive model"
UNIT_KNOT,"knopen"
UNIT_MILLILITER_PER_PULSE,"ml/p"
UNIT_RPM,"r/m"
ARE_YOU_USING_A_FRSKY_SELF_STAB_RECEIVER,"Are you using a self-stab receiver from FrSky?"
ASSIGN_INPUT_HINT,"Please assign input sources for the following functions"
EMERGENCY,"Emergency"
GAIN_ADJUST,"Gain adj."
CONFIRMATION,"Confirmation"
ENABLE_XXX,"Enable %s?"
DISABLE_XXX,"Disable %s?"
CONFIRMATION_BEFORE_ACTIVE,"Confirmation before active"
CONFIRMATION_BEFORE_INACTIVE,"Confirmation before inactive"
REMOTE_NFC,"Remote NFC"
SWITCH_CHANNEL,"Switch channel"
WIRELESS,"Wireless"
TIMEOUT,"Time out"
NO_ENABLED_MODULE,"Please enable the module you want to bind with NFC"
GET_MODULE_UUID_FAILED,"Failed to get module UUID.\nPlease check your module state!"
BIND_NFC_FAILED,"Failed to bind the NFC with the module!"
PROTOCOL_NOT_SUPPORTED,"The current module protocol is not supported!"
CONFIRM_DELETE_TRIM,"Are you sure you want to delete this extra trim?"
LEFT_STICK,"Left stick"
RIGHT_STICK,"Right stick"
ALL_MOTORS,"All motors"
SELECT,"Select"
SINGLE_MOTOR,"Single motor"
STICK_MOTORS,"Stick motors"
CONFIRM_DELETE_ACTION,"Are you sure you want to remove this action?"
CONFIRM_DELETE_SCREEN,"Are you sure you want to remove this screen?"
CONFIRM_DELETE_SENSOR,"Are you sure you want to remove this sensor?"
TOOL_VERSION,"Tool version"
FILE_ALREADY_EXISTS,"A file with the same name already exists"
MODEL_RUNTIME,"Model runtime"
RADIO_RUNTIME,"Radio runtime"
WAITING_FOR_SIGNAL,"waiting for signal..."
