TRANSLATION_NAME,"Norsk"
TRANSLATION_KEY,"no"
MODEL,"Modell"
MODEL_SELECT,"Velg modell"
NO_MODELS_DIRECTORY,"Ingen modell-mappe!"
EDIT_MODEL,"Rediger modell"
FLIGHT_MODES,"FlightMode"
MIXES,"Mikser"
OUTPUTS,"Utgang"
TIMERS,"Timere"
TRIMS,"Trimmer"
RF_SYSTEM,"Sendesystem"
TELEMETRY,"Telemetri"
CHECKLIST,"Sjekkliste"
LOGIC_SWITCHES,"Logiske brytere"
SPECIAL_FUNCTIONS,"Spesialfunksjoner"
CURVES,"Kurver"
VARS,"Vars"
NO_VAR_HINT,"Ingen Var ennå. Trykk på '+' for å opprette en!"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_VAR,"Er du sikker på at du vil slette denne Var-en?"
TRAINER,"Trainer"
SENSOR_CONFIG,"Konfigurer sensor"
FORMULA,"Formel"
CALCULATED_SENSOR,"Kalkulert sensor"
NAME,"Navn"
DECIMALS,"Desimaler"
VALUE,"Verdi"
SENSOR_LOST_WARNING_DELAY,"Alarm! Mistet sensor"
WARNING_DISABLED,"Alarmer skrudd av"
RANGE,"Måleområde"
SPACE_WITH_SAMPLES," målinger"
RESET,"Nullstill"
TELEMETRY_SENSOR,"Telemetri-sensor"
UNIT,"Enhet"
WRITE_LOGS,"Skriv logger"
ID,"ID"
CENTER,"Senter"
SUBTRIM,"Subtrim"
PWM_CENTER,"PWM senter"
NORMAL,"Normal"
EQUAL,"Er lik"
UNPLUGGED,"Plugget ut"
BEHAVIOUR,"Oppførsel"
ADD_NEW_BEHAVIOUR,"Legg til en ny oppførsel"
ADD_EXTRA_TRIM,"Legg til en ekstra trim"
EXTRA_TRIM,"Ekstra trim"
SLOW_UP,"Sakte opp"
MIN,"Minimum"
CURVE,"Kurve"
MAX,"Maksimum"
CHANNEL,"Kanal"
INVERTED_CHANNEL,"Reversert kanal"
INVERT,"Reverser"
SLOW_DOWN,"Sakte ned"
INVERTED,"Reverser"
MIX_FLIGHT_MODES_DESCRIPTION,""
MIX_NAME_DESCRIPTION,""
TRIGGER_ON_CONDITION,"Utløserverdi PÅ"
COMMENT,"Kommentar"
FUNCTION,"Funksjon"
VALUES,"Verdier"
ADD_NEW_VALUE,"+ Legg til en ny verdi"
ACTIONS,"Hendelser"
ADD_NEW_ACTION,"+ Legg til en ny hendelse"
DURATION_HIGH,"Høy varighet"
RISING_EDGE,"Rising Edge"
DURING,"Mellom"
VALUE1,"Verdi 1"
VALUE_X,"Verdi (X)"
CHECK_INTERVAL,"Sjekk intervall"
ACTIVE_CONDITION,"Aktiveres med"
MIN_DURATION,"Minimum varighet"
MAX_DURATION,"Maksimum varighet"
DURATION_LOW,"Lav varighet"
VALUE2,"Verdi 2"
DELAY_BEFORE_ACTIVE,"Forsinkelse før PÅ"
DURATION,"Varighet"
SOURCE_A,"Kilde (A)"
TRIGGER_OFF_CONDITION,"Utløserverdi AV"
DELAY_BEFORE_INACTIVE,"Forsinkelse før AV"
DELAY_ON_OFF,"Forsinkelse På/Av"
SOURCE,"Kilde"
APPLICATION_ID,"Program-ID"
PHYSICAL_ID,"Fysisk ID"
ACTION,"Handling"
TRAINER_MODE,"Trainer-modus"
CHANNEL_RANGE,"Antall kanaler"
CH,"CH"
LAST_MODIFICATION,"Sist endret"
CLONE,"Dupliser"
MODEL_MATCH,"Modell ID"
MODEL_DATA_LOAD,"Laster inn modell"
FILE_SIZE,"Filstørrelse"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_MODEL,"Er du sikker på at du vil slette denne modellen?"
SUCCESS,"Vellykket!"
CLONE_MODEL_SUCCESSFULLY,"Vellykket kloning av modell"
FILENAME_TOO_LONG,"For langt filenavn!"
RX_STILL_ON_SELECT_ANOTHER_MODEL,"Mottaker er fortsatt PÅ! Er du sikker på at du vil bytte modell?"
CONFIRM_SELECT_ANOTHER_MODEL,"Er du sikker på at du vil velge en annen modell?"
FILE_NAME,"Filnavn"
MODEL_TYPE,"Modelltype"
CONFIRM,"Bekreft"
SET_CURRENT_MODEL,"Velg modell"
UNCATEGORIZED,"Ukategorisert"
CHANGE_FOLDER,"Bytt mappe"
OPERATION,"Operation"
OPERATION_FAILED,"Operasjon feilet!"
DELETE_FOLDER,"Slett mappe"
RENAME_FOLDER,"Endre navn på mappe"
CREATE_FOLDER,"Lag ny mappe"
CONFIRM_DELETE_FLIGHT_MODE,"Er du sikker på at du vil slette denne 'Flight Modus'en?"
MOVE,"Flytt"
EDIT,"Rediger"
ADD,"Legg til"
TELEMETRY_PORT,"Telemetri-port"
WARNING,"Advarsel"
ERRORS,"Feil"
OPTIONS,"Valg"
CONFIGURE,"Konfigurer"
WAITING_FOR_RECEIVER,"Venter på mottaker..."
PIN,"PIN"
RX_SETTINGS,"Mottakerinnstillinger"
NO_RESPONSE_FROM_RECEIVER,"Ingen respons fra mottaker"
SBUS_OUT,"SBUS Ut"
SBUS_IN,"SBUS Inn"
TELEMETRY_25_MW,"Telemetri 25mW"
HIGH_PWM_SPEED,"Høyhastighets-PWM"
FLIGHT_DATA_RECORDER,"Flight Data Recorder"
RX_HAS_NO_FLIGHT_DATA_RECORD,"Mottaker har ingen 'Flight Data Recorder'-funksjon!"
CONFIRM_DELETE_TIMER,"Er du sikker på at du vil slette denne timeren?"
TIMER,"Timer"
MODE,"Type"
PASTE,"Lim inn"
COPY,"Kopier"
NO_TIMER_HINT,"Timer mangler! Klikk på '+' for å legge til en!"
ANTENNA,"Antenne"
POWER_HAS_BEEN_CHANGED_PLEASE_REBIND,"Styrken er blitt endret. Mottaker må bindes opp på nytt!"
NO_RESPONSE_FROM_MODULE,"Ingen respons fra modulen!"
POWER,"Sendestyrke"
BAUDRATE,"Baudrate"
WAITING_FOR_MODULE,"Venter på modul..."
TX_SETTINGS,"Senderinnstillinger"
CHANNELS,"Kanaler"
FLIGHT_MODE,"FlightMode"
D,"D"
CONFIRM_DELETE_MIX,"Bekreft sletting av mikser"
CONFIRM_DELETE_SSS,"Er du sikker på at du vil slette %s"
NONE,"Ingen"
NO_MIX_HINT,"Ingen mikser! Trykk på '+' for å opprette en"
TYPE,"Type"
SHARE,"Del"
RX,"Mottaker"
RACING_MODE,"Racing Mode"
RANGE_CHECK,"Rekkeviddetest"
EXTERNAL_MODULE,"Eksternmodul"
BIND_OK,"Sammenkobling OK"
BINDING_3DOTS,"Kobler sammen..."
BIND,"Koble sammen"
FAILSAFE,"FailSafe"
INTERNAL_MODULE,"Internmodul"
SET_FAILSAFE,"Sett opp FailSafe"
RESET_BIND,"Tilbakestill sammenkobling"
FACTORY_RESET,"Tilbakestill til fabrikkinnstilling"
OWNER_REGISTRATION_ID,"Eiers Registrerings-ID"
SELECT_DEVICE,"Velg enhet"
REGISTER,"Registrer"
VALID_FRAME_RATE,"Valid Frame Rate"
STATE,"Aktiv"
PROTOCOL,"Protokoll"
RSSI,"RSSI"
ARE_YOU_SURE_TO_RESET_THIS_RECEIVER,"Er du sikker på at du vil tilbakestille denne mottakeren?"
SET,"Valg"
EXPO,"Eksponential"
UNIT_POINTS_COUNT,"Punkt"
WEIGHT,"Vekt"
POINTS,"Punkter"
OFFSET,"Forskyving"
AUTO_OFFSET,"Auto forskjøvet"
OFFSET_WHEN_ACTIVE,"Forskjøvet når linje er aktiv"
OFFSET_WHEN_INACTIVE,"Forskjøvet når linje er inaktiv"
SMOOTH,"Utjevn"
POINT,"Punkt"
POINTS_COUNT,"Antall punkter"
EASY_MODE,"Enkel modus"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_LOGIC_SWITCH,"Er du sikke på at du vil slette denne logiske bryteren?"
NO_LOGIC_SWITCH_HINT,"Ingen logisk bryter! Trykk på '+' for å opprette en"
START_CONDITION,"Hva trigger 'Start'?"
STOP_CONDITION,"Hva trigger 'Stopp'?"
TIMER_EDIT,"Rediger timer"
PERSISTENT,"Permanent"
START_VALUE,"Startverdi"
AUDIO_ACTIONS,"Audio valg"
AUDIO_ACTION,"Audio valg"
ADD_A_NEW_AUDIO_ACTION,"Legg til et nytt 'Audio valg'"
ALARM_VALUE,"Alarmverdi"
HAPTIC,"Vibrering"
COUNTDOWN,"Nedtelling"
BEEP_COUNTDOWN,"Nedtellings-beep"
START,"Start"
PLAY_FILE,"Spill av lydfil"
SPACE_WITH_OTHERS," med andre..."
CONFIRM_DELETE_CURVE,"Er du sikker på at du vil slette denne kurven?"
CURVE_USED_BY,"Kurven brukes av mikser: "
AND_WITH_TWO_SPACES," og "
NO_CURVE_HINT,"Ingen kurver. Trykk på '+' for å opprette en!"
CONFIRM_RESET_MIXES,"Ønsker du å tilbakestille mikserne?"
ELEVATORS,"Høyderor"
YAW,"Yaw"
SWASH_PLATE,"Swashplate"
PICTURE,"Bilde"
TAIL,"Hale"
AILERONS,"Balanseror"
PITCH,"Pitch"
THROTTLE,"Gass"
FLAPS,"Flaps"
ENGINE,"Motor"
RUDDERS,"Sideror"
ROLL,"Roll"
FUNCTION_SWITCHES,"Funksjonsbrytere"
RESET_ALL_MIXES,"Tilbakestill alle mikserne"
CREATE_CALCULATED_SENSOR,"Lag kalkulert sensor"
CONFIRM_DELETE_SENSORS,"Alle sensorer vil bli fjernet.\nEr du sikker på at du vil fortsette?"
ON,"PÅ"
OFF,"AV"
DISCOVER_NEW_SENSORS,"Søk etter nye sensorer"
DELETE_ALL,"Slett alt"
CREATE_DIY_SENSOR,"Lag Egen Sensor"
CONFIRM_LOAD_ALL_SWITCH_POSITIONS,"Bekreft lasting av bryterposisjoner"
CHECK_FUNCTION,"Sjekk funksjon"
LOAD_ALL_SWITCH_POSITIONS,"Last inn alle bryterposisjoner"
CONFIRM_LOAD_ALL_POT_POSITIONS,"Bekreft innlasting av vribryterposisjoner"
LOAD_ALL_POT_POSITIONS,"Last inn alle vribryterposisjoner"
CALIBRATION_FINISH,"Kalibrering ferdig"
SXR_CALIBRATION,"SxR kalibrering"
CLICK_WHEN_DONE,"Ferdig"
CALIBRATING,"Kalibrerer..."
SXR_CALIBRATION_DESCRIPTION,"Kalibrering av SxR mottaker"
SLAVE_CH,"Slave kanal "
PERCENT,"Prosent"
DESTINATION,"Destinasjon"
ENABLE,"PÅ"
NO_FUNCTION_HINT,"Ingen funksjon. Trykk på '+' for å opprette en!"
SF,"SF"
DISABLE,"Deaktiver"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_SPECIAL_FUNCTION,"Er du sikker på at du vil slette denne spesialfunksjonen?"
REGISTRATION_OK,"Registrering OK"
UID,"UID"
REGISTRATION_ID,"Registrer ID"
RX_NAME,"Mottakernavn"
RECEIVER_CONNECTED,"Mottaker er koblet til"
REGISTRATION,"Registrering"
FADE_IN,"Myk overgang Inn"
FADE_OUT,"Myk overgang Ut"
AUTO_DETECT,"Autooppdag"
DISPLAY_DECIMALS_AND_UNIT,"Skjermpresisjon/Enhet"
SELECT_SENSOR,"Velg Sensor"
DIY_SENSOR,"Egen Sensor"
WAITING,"Venter"
BAND,"Bånd"
RATIO,"Omfang"
MODULE,"Modul"
PROTOCOL_DECIMALS_AND_UNIT,"Protokollnøyaktighet/Enhet"
CROSS_TRIM,"Krysstrim"
MOVE_TRIM_TO_SUBTRIM,"Flytt Trim til Subtrim"
INSTANT_TRIM,"Øyeblikkelig trim"
CONFIRM_MOVE_TRIM_TO_SUBTRIM,"Bekreft å flytte Trim til Subtrim"
MOVE_TRIMS_TO_SUBTRIMS,"Flytt trimmer til 'Subtrim'"
CONFIRM_MOVE_TRIMS_TO_SUBTRIMS,"Bekreft å flytte Trimmer til Subtrimmer"
INDEPENDENT_PER_FLIGHT_MODE,"Forskjellig pr. FlightMode"
STICK,"Stikke"
CONFIGURE_SCREENS,"Oppsett av skjermer"
TOP_SCREEN,"Skjerm i toppen"
CHANGE_LAYOUT,"Endre layout"
FULL_SCREEN,"Fullskjerm"
WIDGET,"Miniprogram"
SET_MAIN_SCREEN,"Sett hovedskjerm"
CONFIGURE_WIDGET,"Konfigurer miniprogram"
NEW_SCREEN,"Ny skjerm"
SCREEN,"Skjerm"
CHANGE_WIDGET,"Endre miniprogram","Endre"
MOVE_FORWARD,"← Flytt mot venstre"
MOVE_BACKWARD,"→ Flytt mot høyre"
RESET_FLIGHT,"Nullstill Flyvning"
RESET_TIMERS,"Nullstill Timere"
RESET_TELEMETRY,"Nullstill Telemetri"
HOME,"Hjem"
ADD_AFTER,"Legg til etter..."
ADD_MIX_FAILED,"'Legg Til Mikser' feilet!"
MAX_MIXES_REACHED,"Du har nådd maks antall miksere!"
FIRST_POSITION,"Første posisjon"
MIXES_LIBRARY,"Mikser bibliotek"
LOCAL_ADDRESS,"Lokal adresse"
WAITING_FOR_DEVICES,"Venter på enhet..."
LOCAL_NAME,"Lokalt navn"
SEARCH_DEVICES,"Søk etter enheter"
BLUETOOTH_DEVICE_CONNECTED,"Blåtann-enhet tilkoblet"
CONNECT_LAST_DEVICE,"Koble til siste enhet"
NO_BLUETOOTH_DEVICE_FOUND,"Ingen Blåtann-enhet funnet!"
SPEAKER_MUTE,"Skru av høyttaler"
DISCONNECT,"Koble fra"
WAITING_FOR_DEVICE,"Venter på frakobling"
DIST_ADDRESS,"Ekstern adresse"
CONNECTING,"Kobler til"
RESET_MODULE,"Tilbakestill modul"
HIGH_SPEED,"Høy hastighet"
NORMAL_SPEED,"Normal hastighet"
FILE_MANAGER,"Filsystem"
SOUND,"Lyd"
STICKS,"Stikker"
DATE_TIME,"Dato og tid"
HARDWARE,"Maskinvare"
INFO,"Info"
SERIAL_NUMBER,"Serienummer"
RESET_FACTORY_SETTINGS,"Tilbakestill til fabrikkinnstillinger"
CONFIRM_RESET_FACTORY_SETTINGS,"Bekreft tilbakestilling til fabrikkinnstillinger"
SYSTEM,"System"
ALERTS,"Alarmer"
SPECTRUM_ANALYSER,"Frekvensanalyse"
BATTERY,"Batteri"
CHECKLIST_WARNING,"Advarsel 'Sjekkliste'!"
RADIO_IS_IN_SILENT_MODE,"Radio er i Stillemodus!"
RADIO_BATTERY_IS_LOW,"Radiobatteri har lav spenning!"
THROTTLE_IS_NOT_IDLE,"Gass er ikke satt til null!"
ARE_NOT_IN_SAFE_POSITION," er ikke i en sikker posisjon!"
IS_NOT_IN_SAFE_POSITION," er ikke i en sikker posisjon!"
FUNCTION_SWITCHES_ARE_NOT_IN_SAFE_POSITION,"Funksjonsbrytere er ikke i en sikker posisjon!"
FAILSAFE_IS_NOT_SET,"FailSafe er ikke satt!"
RTC_BATTERY_IS_LOW,"RTC-knappebatteri har lav spenning!"
DISPLAY,"Skjerm"
KEYBOARD,"Tastatur"
ENABLE_SLIDER,"Aktiver glidebryter"
DISABLE_SLIDER,"Dektiver glidebryter"
AUDIO,"Lyd"
VOICE,"Stemme"
ALWAYS_ON,"Alltid på"
YES,"Ja"
DIGITAL_RSSI,"RSSI som tall"
GYRO,"Gyro"
LANGUAGE,"Språk"
SWITCHES,"Brytere"
TOP_TOOLBAR,"Displaylinje øverst"
NO,"Nei"
BRIGHTNESS,"Lysstyrke"
KEYS,"Taster"
WAKE_UP,"Våkne"
DIGITAL_VOLTAGE,"Numerisk visning av Voltstyrke"
SLEEP,"Dvale"
SILENT,"Stille"
DEFAULT,"Grunninnstillinger"
ALARMS_ONLY,"Kun alarmer"
OFTEN,"Ofte"
ALWAYS,"Alltid"
NEVER,"Aldri"
WHEN_TELEMETRY_STREAMING,"Når telemetri overfører"
VOICE1,"Stemme 1 (Hoved)"
VOICE2,"Stemme 2"
VOICE3,"Stemme 3"
SYSTEM_ALERTS,"Alarmer"
INACTIVITY,"Alarm ved inaktivitet"
AUTO_ADJUST_FROM_GPS,"Auto-innstillinger fra GPS"
DATE,"Dato"
ADJUST_RTC_SPEED,"Juster RTC klokkehastighet"
SHOW_SECONDS,"Vis sekunder"
IS24HOUR,"24-timers format"
TIME_ZONE,"Tidssone"
YEAR,"År"
MONTH,"Måned"
TIME,"Tid"
NEXT,"Neste"
GYRO_CALIBRATION,"Kalibrér intern gyro"
PREV,"Forrige"
MDL_LONG,"Langt trykk på MDL"
HARDWARE_CHECK,"Sjekk av maskinvare"
SWITCHES_SETTINGS,"Bryterinnstillinger"
ADC_INSPECTOR,"Analog"
SYS_LONG,"Langt trykk på SYS"
HOME_KEYMAP,"Funksjon Nav.knapp Venstre"
POTS_SLIDERS_SETTINGS,"Vri-/glidebryter innstillinger"
SWITCH_MIDDLE_DETECT_DELAY,"Forsinkelse på bryter i midtposisjon"
DISP_SHORT,"Kort trykk på {DISP_LABEL}"
DISP_LONG,"Langt trykk på {DISP_LABEL}"
SWITCH,"Bryter"
ANALOGS_FILTER,"Analog filter"
ANALOGS_CALIBRATION,"Analog kalibrering"
CONFIRM_CONTINUE,"Fortsett?"
THR_NOT_LOW_WARNING,"Gasstikken er ikke i null!"
CHANNELS_ORDER,"Kanalrekkefølge"
STICKS_MODE,"Stikkemodus"
STICKS_MODE_1,"Stikkemodus 1"
STICKS_MODE_2,"Stikkemodus 2"
STICKS_MODE_3,"Stikkemodus 3"
STICKS_MODE_4,"Stikkemodus 4"
FIRST_FOUR_CHANNELS_FIXED,"De 4 første kanalene er faste"
NO_SD_CARD,"SD-kort mangler"
FLASH_BOOTLOADER,"Flash Bootloader"
FLASH_INTERNAL_MODULE,"Programmér via int.modul"
PLAY,"Spill av"
CURRENT_VERSION,"Nåværende version"
FLASH_RECEIVER_BY_INTERNAL_MODULE_OTA,"Programmér mottaker OTA med internmodul"
FLASH_RECEIVER_BY_EXTERNAL_MODULE_OTA,"Programmér mottaker OTA med eksternmodul"
OTA_UPDATE,"OTA Oppdatering"
FLASH_EXTERNAL_DEVICE,"Programmér ekstern enhet"
OPEN,"Åpne"
FLASH_EXTERNAL_MODULE,"Programmér eksternmodul"
FLASH_EXTERNAL_MULTIMODULE,"Programmér ekstern multimodul"
MOVE_HERE,"Flytt hit"
OTA_UPDATE_ERROR,"Feil ved oppdatering OTA"
UNSUPPORTED_RX,"Mottaker er ikke støttet"
MAIN_VOLTAGE,"Senderbatteri"
DISPLAY_VOLTAGE_RANGE,"Sett min/maks V for batteriikonet"
LOW_VOLTAGE,"Advarsel for lav spenning ved"
RTC_VOLTAGE,"Strømstyrke på RTC-knappebatteri"
UNKNOWN,"Ukjent"
FIRMWARE,"Firmware"
FIRMWARE_VERSION,"Firmware versjon"
VIDEO_HARDWARE_VERSION,"Video Hardware Versjon"
RECEIVER,"Mottaker"
NON_STABILIZED_RECEIVER,"Ikke en 'Stabilisert mottaker'"
VARIO,"Vario"
MAIN_VOLUME,"Hovedvolum"
AUDIO_VOLUME,"Volum"
PITCH_AT_ZERO,"Tone ved ingen stig/synk"
SEQUENCE,"Rekkefølge"
PITCH_AT_MAX,"Tone ved maks stigning"
REPEAT_AT_ZERO,"Gjentagelsesfrekvens"
FIXED_WING,"Motor/Jet"
GLIDER,"Seilfly"
HELI,"Helikopter"
MULTI,"Multirotor"
OTHER,"Annet"
CALIBRATION,"Kalibring"
INPUTS,"Innganger"
UPDATE,"Oppdater"
SDCARD,"SD-kort"
SDCARD_ERROR,"Feil på SD-kort"
INVALID_DATA,"Ugyldig data"
FILE_BAD_FORMAT,"Feil filtype"
NO_FILES_ON_SD,"Ingen filer på SD-kortet"
READ_ERROR,"Lesefeil"
WRITE_ERROR,"Skrivefeil"
WRONG_HEADER,"Feil header"
WRONG_FORMAT,"Feil format"
WRONG_CRC,"Feil CRC"
WRONG_FILE_SIZE,"Feil filstørrelse"
WRONG_FILE,"Feil fil"
ERROR,"Feil"
RUDDER,"Sideror"
ELEVATOR,"Høyderor"
DELETE,"Slett"
MODEL_BITMAP,"Bilde av modell"
TAIL_TYPE,"Type hale"
TRADITIONAL,"Tradisjonell"
VTAIL,"V-hale"
REVERSE,"Reverser"
RATE,"Rate"
UP,"Opp"
DOWN,"Ned"
RIGHT,"Høyre"
LEFT,"Venstre"
TOP,"Overside"
BOTTOM,"Underside"
TIMER_UP,"↑ Opp"
TIMER_DOWN,"↓ Ned"
LIMIT,"Grense"
SPEED,"Hastighet"
SET_DATE,"Still inn dato"
SET_TIME,"Still inn klokke"
SILENT_MODE,"Stillemodus"
KEY,"Tast"
ALARM,"Alarm"
TRIM,"Trim"
SETUP_CHANNEL,"Innstilling av kanal"
LOGIC_SWITCH,"Logisk bryter"
CREATE_MODEL,"Lag ny modell"
SAVE,"Lagre"
LS,"LS"
FS,"FS"
OP,"OP"
TRAINER_MASTER,"Lærer"
TRAINER_SLAVE,"Elev"
LINK_MODE,"Link-modus"
TRAINEE_CHANNEL,"Elev-kanal"
SUNDAY,"Søndag"
MONDAY,"Mandag"
TUESDAY,"Tirsdag"
WEDNESDAY,"Onsdag"
THURSDAY,"Torsdag"
FRIDAY,"Fredag"
SATURDAY,"Lørdag"
JANUARY,"Januar"
FEBRUARY,"Februar"
MARCH,"Mars"
APRIL,"April"
MAY,"Mai"
JUNE,"Juni"
JULY,"Juli"
AUGUST,"August"
SEPTEMBER,"September"
OCTOBER,"Oktober"
NOVEMBER,"November"
DECEMBER,"Desember"
CANCEL,"Avbryt"
DELAY,"Forsinkelse"
RECEIVER_TYPE,"Type mottaker"
BACK,"Tilbake"
INTERNAL,"Intern"
EXTERNAL,"Ekstern"
RF_PROTOCOL,"RF protokoll"
EXTERNAL_RF,"Ekstern RF"
LOGIC_SWITCH_RANGE,"Rekkevidde på logisk bryter"
PLAY_SEQUENCE,"Spill lydfil"
WAIT_DURATION,"Vente hvor lenge"
WAIT_CONDITION,"Vente på"
CONFIRM_DELETE_LINE,"Er du sikker på at du vil slette denne linjen?"
ADD_A_NEW_LINE_IN_SEQUENCE,"Legg til en ny linje i rekkefølgen"
PLAY_TEXT,"Spill tekst"
GO_TO_SCREEN,"Gå til side"
LOCK_TOUCHSCREEN,"Lås touch-skjermen(e)"
BLANK,"Slett"
CALIBRATE,"Kalibrer"
CLICK_CALIBRATE_TO_START,"Klikk 'Kalibrer' for å starte"
CENTER_STICKS_POTS_SLIDERS_AND_CLICK_NEXT,"Sentrer stikker og knotter og klikk på 'Fortsett'"
MOVE_STICKS_POTS_SLIDERS_AND_CLICK_NEXT,"Beveg alle stikker og knotter til maks utslag og klikk på 'Neste'"
CALIBRATION_COMPLETE_CLICK_CONFIRM_TO_STORE,"Kalibrering ferdig. Klikk 'Bekreft' for å lagre"
BACKLIGHT,"Bakbelysning"
DARK_MODE,"Mørk modus"
HIGHLIGHT_COLOR,"Markeringsfarge"
MODEL_NAME,"Navn"
NO_AIRBRAKES,"Ingen luftbremser"
SWR,"SWR"
CURRENT,"Strømstyrke"
VFAS,"VFAS"
TEMPERATURE_2,"Temp2"
TEMPERATURE_1,"Temp1"
FUEL,"Drivstoff"
ACCX,"AccX"
ACCY,"AccY"
ACCZ,"AccZ"
GPS_ALT,"GPS Høyde"
GPS_SPEED,"GPS Hastighet"
GPS_COURSE,"GPS Retning"
AIR_SPEED,"Hastighet"
BATTERY_1_VOLTAGE,"Batt1 Spenning"
BATTERY_1_CURRENT,"Batt1 Strømstyrke"
BATTERY_2_VOLTAGE,"Batt2 Spenning"
BATTERY_2_CURRENT,"Batt2 Strømstyrke"
RBOX_STATE_1,"RBOX S1"
RBOX_STATE_2,"RBOX S2"
BATTERY_1_CONSUMPTION,"Batt1 Forbruk"
BATTERY_2_CONSUMPTION,"Batt2 Forbruk"
BATTERY_1_TEMPERATURE,"Batt1 temp."
BATTERY_2_TEMPERATURE,"Batt2 temp."
SD1_CHANNEL,"SD1 kanal"
ESC_VOLTAGE,"ESC Volt"
ESC_CURRENT,"ESC Ampére"
ESC_RPM,"ESC Turtall"
ESC_CONSUMPTION,"ESC Forbruk"
ESC_TEMPERATURE,"ESC Temperatur"
RB_OUTPUT_STATE,"Output State"
RB_CH1_A,"CH1 Strømstyrke"
RB_CH2_A,"CH2 Strømstyrke"
RB_CH3_A,"CH3 Strømstyrke"
RB_CH4_A,"CH4 Strømstyrke"
RB_CH5_A,"CH5 Strømstyrke"
RB_CH6_A,"CH6 Strømstyrke"
RB_CH7_A,"CH7 Strømstyrke"
RB_CH8_A,"CH8 Strømstyrke"
RB_CH9_A,"CH9 Strømstyrke"
RB_OUTPUT_1_VOLTAGE,"Output1 Spenning"
RB_OUTPUT_2_VOLTAGE,"Output2 Spenning"
GASSUIT_TEMP1,"GASS Temp1"
GASSUIT_TEMP2,"GASS Temp2"
GASSUIT_SPEED,"GASS Turtall"
GASSUIT_RES_VOL,"GASS Vol. Res."
GASSUIT_RES_PERC,"GASS Res. %"
GASSUIT_FLOW,"GASS gjennomstrømning"
GASSUIT_MAX_FLOW,"GASS maks gjennomstrømning"
GASSUIT_AVG_FLOW,"GASS gjennomsnittlig gjennomstrømning"
BEC_VOLTAGE,"BEC Spenning"
BEC_CURRENT,"BEC Strømstyrke"
R9M_POWER,"Strømstyrke R9M"
OK,"OK"
FLAP,"Flaps"
AIRBRAKE,"Luftbremser"
FILE,"Fil"
FLASH_SPORT,"Programmér via S.Port"
PLAY_VALUE,"Spill verdi"
CATEGORY,"Kategori"
MEMBER,"Kilde"
ANALOGS,"Analoge knapper"
SWITCHES_POSITIONS,"Bryterposisjoner"
TRIMS_POSITIONS,"Trimposisjoner"
CONST_VALUE,"Konstant verdi"
SLIDER_LEFT,"Glidebryter venstre"
SLIDER_RIGHT,"Glidebryter høyre"
