TRANSLATION_NAME,"Norsk"
RIGHT_HORIZONTAL,"Høyre horisontal"
TRIM_RIGHT_HORIZONTAL_LEFT,"Trim høyre horisontal venstre"
TRIM_RIGHT_HORIZONTAL_RIGHT,"Trim høyre horisontal høyre"
RIGHT_VERTICAL,"Høyre vertikal"
TRIM_RIGHT_VERTICAL_UP,"Trim høyre vertikal opp"
TRIM_RIGHT_VERTICAL_DOWN,"Trim høyre vertikal ned"
LEFT_VERTICAL,"Venstre vertikal"
TRIM_LEFT_VERTICAL_UP,"Trim venstre vertikal opp"
TRIM_LEFT_VERTICAL_DOWN,"Trim venstre vertikal ned"
LEFT_HORIZONTAL,"Venstre horisontal"
TRIM_LEFT_HORIZONTAL_LEFT,"Trim venstre horisontal venstre"
TRIM_LEFT_HORIZONTAL_RIGHT,"Trim venstre horisontal høyre"
TRIM_T5_LEFT,"T5 venstre"
TRIM_T5_RIGHT,"T5 høyre"
TRIM_T6_LEFT,"T6 venstre"
TRIM_T6_RIGHT,"T6 høyre"
TRIM_T5_DOWN,"T5 ned"
TRIM_T5_UP,"T5 opp"
TRIM_T6_DOWN,"T6 ned"
TRIM_T6_UP,"T6 opp"
DIFFERENTIAL,"Differensial"
SLOW,"Sakte"
MULTIPLY,"Multipliser"
WEIGHT_UP,"Verdi opp"
WEIGHT_DOWN,"Verdi ned"
OUTPUT,"Resultat"
CLOSE,"Lukk"
FLASHING,"Programmerer..."
RESET_DEVICE,"Tilbakestill enhet..."
LOW_BATTERY,"Lavt batteri!"
VOLTAGE_CALIBRATION,"Kalibrer Volt"
STARTING_MODEL_WIZARD,"Starter modellassistenten..."
RADIO_DATA_LOAD,"Laster inn radiodata"
DEFAULT_SYSTEM_SETTINGS_RESTORED,"Grunnleggende systeminnstillinger er tilbakestilt."
FLIGHT_MODE_SHORT,"FM"
PREFLIGHT_WARNING,"Advarsel Preflight"
NEW_MODEL,"Ny modell"
STARTING_CALIBRATION,"Starter kalibrering..."
NO_SD_CARD_WARNING,"SD-kort mangler"
ADD_CURVE_ERROR,"Legg til kurve feilet!"
STEP,"Trinn"
AILERON,"Balanseror"
SPACE_WITH_CHANNEL," kanal"
QUESTION_SWAP_SSS_AND_SSS_CHANNELS_SETTINGS,"Vil du bytte kanalinnstillingene %s og %s ?"
INPUT,"Inngang"
ELE_TO_AIL,"Høyde → Bal."
THR_CURVE,"Gasskurve"
PITCH_CURVE,"Pitchkurve"
THROTTLE_CUT,"Gass-kutt"
AIL_TO_RUD,"Bal. → Side"
ELE_TO_CAMBER,"Høyde → Camber"
RUD_TO_AIL,"Side → Bal."
RUD_TO_ELE,"Side → Høyde"
AIL_TO_FLAPS,"Bal. → Flaps"
FLAPS_TO_ELE,"Flaps → Høyde"
FREE_MIX,"Fri mikser"
SNAP_ROLL,"Snaproll"
TEST_MIX,"Test mikser"
DELAY_UP,"Forsinkelse ↑"
DELAY_MID,"Forsinkelse -"
DELAY_DOWN,"Forsinkelse ↓"
NO_DELAY,"Ingen forsinkelse"
V_TAIL,"V-hale"
DATA_REFUSED,"Data ikke godtatt"
DEVICE_NOT_RESPONDING,"Enheten reagerer ikke"
NO_OUTPUT,"Ingen output"
WEIGHT_RATES,"Vekt/Rates"
OTHERWISE,"Otherwise"
AUTO,"Auto"
TRIM_STEP_FINE,"Fin"
TRIM_STEP_COARSE,"Grov"
TRIM_STEP_EXPONENTIAL,"Eksponential"
TRIM_STEP_EXTRA_FINE,"Ekstra fin"
TRIM_STEP_MEDIUM,"Medium"
TRIM_STEP_CUSTOM,"Spesial"
SCREENSHOT,"Skjermbilde"
NEGATIVE,"Negativ"
POSITIVE,"Positiv"
THROTTLE_HOLD,"Gass Hold"
TRIGGER_VALUE,"Utløserverdi"
IDLE_OUTPUT_VALUE,"Tomgangsverdi"
LOW_POSITION_TRIM,"Trim lav posisjon"
AND,"AND"
OR,"OR"
XOR,"XOR"
SENSORS,"Sensorer"
VARIOMETER,"Variometer"
ALARMS,"Alarmer"
SENSOR,"Sensor"
RX_BATT,"Mottaker Batteri"
RX_CURRENT,"Mottaker Strømstyrke"
ALTITUDE,"Høyde"
VSPEED,"Vertikal hastighet"
SELECT_LANGUAGE,"Velg språk"
ONCE,"En gang"
FLIGHT_DATA,"Flight data"
ALL_TIMERS,"Alle timerne"
WHOLE_TELEMETRY,"All telemetri"
REPEAT,"Repeter"
WAV_FILE,"WAV-lydfil"
BUTTERFLY,"Butterfly"
CAMBER,"Camber"
PITCH_TO_RUD,"Høyde → Side"
MISSING_BASIC_MIX,"Grunnleggende miks mangler"
MISSING_ENOUGH_CHANNEL,"Mangler nok kanaler"
NOT_SUIT_FOR_THIS_MODEL,"Denne miksingen passer ikke for denne modellen"
THR_TO_ELE,"Gass → Høyde"
THR_TO_RUD,"Gass → Side"
TEMPERATURE,"Temperatur"
DATA_RATE,"Datafrekvens"
GPS,"GPS"
GAS_SUITE,"'Gas Suite'"
FLOW_RESET,"Tilbakestill 'Flow'"
CDI_OFF_SPEED_LIMIT,"CDI utenfor måleområdet"
FLOW_PULSE,"Gjennomstrømningspuls"
AUTO_RESET,"Automatisk tilbakestilling"
RESET_RESIDUAL_VOLUME,"Resett 'Gjenværende volum'"
RESET_MAX_FLOW,"Resett 'Maks gjennomstrømning'"
RESET_AVERAGE_FLOW,"Resett 'Gjenomsnittlig gjennomstrømning'"
VOLUME_ALARM,"Alarmvolum"
MAX_FLOW_ALARM,"Alarm 'Maksimum gjennomstrømning'"
OVER_SPEED_ALARM,"Alarm 'Over-speed'"
FLOW_TRIGGER,"Gjennomstrømning utløserverdi"
FACTORY_SETTING,"Fabrikkinnstilling"
OVER_TEMP1_ALARM,"Alarm, Temp1 for høy"
OVER_TEMP2_ALARM,"Alarm, Temp2 for høy"
TEMPERATURE_UNIT,"Temperatur Grader"
AUTO_SAVE,"Autolagre"
GPS_POSITION_DATA_RATE,"GPS Posisjon oppdateringsfrekvens"
GPS_ALTITUDE_DATA_RATE,"GPS Høyde oppdateringsfrekvens"
GPS_SPEED_DATA_RATE,"GPS Hastighet oppdateringsfrekvens"
GPS_COURSE_DATA_RATE,"GPS Kurs oppdateringsfrekvens"
GPS_TIME_DATA_RATE,"GPS Tid oppdateringsfrekvens"
RB_30_40,"RB 30/40"
EW,"EW"
NS,"NS"
DEFAULT_FLIGHT_MODE,"Grunninnstilling"
SKIP_ON_STARTUP,"Hopp over ved oppstart"
LOW_VALUE_WARNING,"Lav verdi"
CRITICAL_VALUE,"Kritisk verdi"
UPGRADE_MODULE,"Oppgrader modul"
AUTHENTICATION_FAILURE,"Feil ved autentisering"
MODULE_NEEDS_UPGRADE,"Modulen trenger oppgradering"
CLEAR,"Fjern"
MIX_SWITCH_DESCRIPTION,""
MIX_WEIGHT_DESCRIPTION,""
MIX_CURVE_DESCRIPTION,""
MIX_DIFFERENTIAL_DESCRIPTION,""
MIX_OUTPUT_DESCRIPTION,""
MIX_INPUT_DESCRIPTION,""
MIX_OPERATION_DESCRIPTION,""
MIX_REVERSE_DESCRIPTION,""
MIX_OFFSET_DESCRIPTION,""
MIX_WEIGHTUP_DESCRIPTION,""
MIX_WEIGHTDOWN_DESCRIPTION,""
MIX_SPEEDUP_DESCRIPTION,""
MIX_SPEEDDOWN_DESCRIPTION,""
MIX_LOWPOSTRIM_DESCRIPTION,"Trim kun aktivt på tomgang"
HELI_PITCH,"Pitch (Heli)"
HELI_GYRO,"Gyro (Heli)"
MISSING_THROTTLE,"Modellen har ingen motor"
SIX_POSITIONS_SWITCH,"6-posisjons bryter"
GYRO_X_AXIS,"Gyro X akse"
GYRO_Y_AXIS,"Gyro Y akse"
AILERON_LETTER,"B"
RUDDER_LETTER,"S"
ELEVATOR_LETTER,"H"
THROTTLE_LETTER,"G"
NOT,"NOT"
STICKY,"Sticky"
EDGE,"EDGE"
MIDDLE,"Mellom"
NO_CHECK,"Ingen sjekk"
CUSTOM,"Egen innstilling"
HOLD,"Hold"
NO_PULSES,"Ingen pulser"
NOT_SET,"Ikke definert"
NO_ENGINE,"Ingen motor"
NO_FLAPS,"Ingen flaps"
NO_RUDDERS,"Ikke sideror"
NO_ELEVATORS,"Ikke høyderor"
NO_AILERONS,"Ingen balanseror"
CHANNELS_1,"1 kanal"
CHANNELS_2,"2 kanaler"
CHANNELS_3,"3 kanaler"
CHANNELS_4,"4 kanaler"
BEEP,"Lydsignaler"
IN_RANGE,"Innenfor rekkevidde"
REPLACE,"Erstatt"
USE_A_SOURCE,"Bruk en kilde"
CONVERT_TO_VALUE,"Konverter til en verdi"
SPECIAL,"Spesial"
MAXIMUM,"Maksimum"
MINIMUM,"Minimum"
MOMENTARY,"Veksle mellom"
TWO_POS,"2-POS"
THREE_POS,"3-POS"
GYRO_CALIBRATION_PLACE_LEVEL,"Legg radioen horisontalt\nog trykk på 'Ferdig'"
GYRO_CALIBRATION_LEFT,"Hell radioen til venstre\nog trykk på 'Ferdig'"
GYRO_CALIBRATION_RIGHT,"Hell radioen til høyre\nog trykk på 'Ferdig'"
GYRO_CALIBRATION_NOSE_UP,"Hold radioen med håndtaket pekende oppover\nog trykk på 'Ferdig'"
GYRO_CALIBRATION_NOSE_DOWN,"Hold radioen med håndtaket pekende nedover\nog trykk på 'Ferdig'"
STRENGTH,"Intensitet"
AM,"AM"
PM,"PM"
PLAY_VARIO,"Aktiver Vario"
RF_ALWAYS_OFF,"Spesialmodus! Sendemodulen forblir AV!"
STAB_FUNC,"Stabiliseringsfunksjon"
RX_PROTOCOL,"Mottakerprotokoll"
NO_MAP,"Ingen tilordninger"
DIRECTION,"Retning"
CLOCKWISE,"Med klokken"
ANTICLOCKWISE,"Mot klokken"
PWM_PULSE_TYPE,"PWM pulstype"
BASIC_CONFIG,"Grunninnstilling"
RX1_MAP,"RX1 Oppsett"
RX2_MAP,"RX2 Oppsett"
RX3_MAP,"RX3 Oppsett"
ALL_FREQUENCY,"Alle frekvenser"
STICKS_NAME,"Navn på stikker"
CHANNELS_COUNT,"Antall kanaler"
EXT,"Ekstern"
INT,"Intern"
PLACE_RECEIVE_LEVEL,"Legg mottakeren med etiketten opp\npå en vannrett flate"
PLACE_RECEIVE_LEVEL_REVERSE,"Legg mottakeren med etiketten ned"
PLACE_RECEIVE_LEFT,"Sett mottakeren med pinnene opp"
PLACE_RECEIVE_RIGHT,"Sett mottakeren med pinnene ned"
PLACE_RECEIVE_FORWARD,"Sett mottakeren på langsiden\nmed etiketten mot deg"
PLACE_RECEIVE_BACKWARD,"Sett mottakeren på den andre langsiden\nmed etiketten oppned"
ADD_A_NEW_WEIGHT,"+ Ny vekt"
ADD_A_NEW_CURVE,"+ Ny kurve"
VAR,"Variabel"
VOLUME,"Volum"
SAVE_TO_FLASH,"Lagre til Flash-minne"
SAVE_TO_FLASH_MESSAGE,"Alle innstillinger er korrekt lagret i Flash-minnet"
TIMER_GENERATOR,"Timer Generator"
CONFIRM_CLEAR_CHANNEL_DDD_NAME,"Kanal %d brukes ikke i en mikser.\nSlett navn?"
EDIT_SSS,"Endre %s"
RESET_SSS,"Tilbakestill %s"
OPTIONS_3DOTS,"Valg..."
QUESTION_COPY_CHANNEL_NAME,"Kanalen har ikke noe navn.\nVil du kopiere miksen sitt navn på kanalen?"
FLY_BAR_LESS,"Flybarless"
WING_RUD_ELE_AIL,"Vinge Ror Høyde Bal."
WING_FLYING,"Vinge Delta Bal./Flyvende vinge"
WING_VTAIL_AIL,"Vinge V-hale Bal."
LEVEL,"Horisontal"
LEVEL_REVERSED,"Horisontal oppned"
UPRIGHT,"På langsiden, tekst leselig"
UPRIGHT_REVERSED,"På langsiden, tekst oppned"
WING_TYPE,"Vingetype"
MOUNTING_TYPE,"Monteringstype"
SXR_ENABLE,"SXR Aktiv"
AIL_INVERTED,"Balanseror Reversert"
AIL2_INVERTED,"Balanseror2 Reversert"
ELE_INVERTED,"Høyderor Reversert"
ELE2_INVERTED,"Høyderor2 Reversert"
RUD_INVERTED,"Sideror Reversert"
AUX1_ENABLE,"AUX1 Aktiv"
AUX2_ENABLE,"AUX2 Aktiv"
QUICK_MODE,"Hurtigmodus"
SELF_CHECK,"Selvsjekk"
STAB_GAIN_OF_AIL,"'Stabiliser Gain' Balanseror"
STAB_GAIN_OF_ELE,"'Stabiliser Gain' Høyderor"
STAB_GAIN_OF_RUD,"'Stabiliser Gain' Sideror"
AUTO_LEVEL_GAIN_OF_AIL,"'Auto Level Gain' fra Balanseror"
AUTO_LEVEL_GAIN_OF_ELE,"'Auto Level Gain' fra Høyderor"
HOVER_GAIN_OF_ELE,"'Hover Gain' fra Høyderor"
HOVER_GAIN_OF_RUD,"'Hover Gain' fra Sideror"
KNIFE_EDGE_GAIN_OF_AIL,"'Knife-edge Gain' fra Balanseror"
KNIFE_EDGE_GAIN_OF_RUD,"'Knife-edge Gain' fra Sideror"
AUTO_LEVEL_OFFSET_OF_AIL,"'Auto Level Offset Angle' fra Balanseror"
AUTO_LEVEL_OFFSET_OF_ELE,"'Auto Level Offset Angle' fra Høyderor"
HOVER_OFFSET_ANGLE_OF_ELE,"'Hover Offset Angle' fra Høyderor"
HOVER_OFFSET_ANGLE_OF_RUD,"'Hover Offset Angle' fra Sideror"
KNIFE_EDGE_OFFSET_OF_AIL,"'Knife-edge Offset Angle' fra Balanseror"
KNIFE_EDGE_OFFSET_OF_RUD,"'Knife-edge Offset Angle' fra Sideror"
OUTPUT_VOLTAGE,"Output Volt"
LIPO_VOLTAGE,"LiPo Volt"
RB_10_20,"RB 10/20"
ALTITUDE_DATA_RATE,"Høyde-data frekvens"
VARIO_DATA_RATE,"Vario-data frekvens"
CURRENT_DATA_RATE,"Datafrekvens Ampere"
VOLTAGE_DATA_RATE,"Datafrekvens Volt"
RPM,"RPM"
POLES_COUNT,"Antall poler"
NEED_FIRMWARE_UPDATE,"En Firmware-oppdatering er nødvendig"
SYSTEM_VALUE,"Systemverdi"
GPS_CLOCK,"GPS Dato/Tid"
RACING_MODE_ACTIVE,"'Racing Mode' aktiv"
RACING_MODE_IS_UNSUPPORTED,"'Racing Mode' er ikke støttet"
POTS_SLIDERS,"Vri-/Glidebrytere"
STICKS_POTS_SLIDERS,"Stikker/Vri-/Glidebrytere"
WRITE_INTERVAL,"Skriv intervall"
TX_BATT,"Senderbatteri"
AVERAGE,"Bruk gjennomsnitt av"
TOTALIZE,"Sammenlagt"
CELL,"Celle"
CONSUMPTION,"Forbruk"
DISTANCE,"Distanse"
FALLING_EDGE_OF_SSS_BETWEEN_SSS_AND_SSS,"↑↓Pulse of %s between %s and %s"
RISING_EDGE_OF_SSS_DURING_SSS,"%s after ↑Edge of %s"
FALLING_EDGE_OF_SSS_DURING_SSS,"↓Edge of %s during %s"
FALLING_EDGE_OF_SSS,"↓Edge of %s"
RISING_EDGE_OF_SSS,"↑Edge of %s"
STALL,"Blokkering"
EDITABLE_SRV_DDD_CURR,"SRV%d Ampere"
EDITABLE_SRV_DDD_VOLT,"SRV%d Volt"
EDITABLE_SRV_DDD_TEMP,"SRV%d Temp"
EDITABLE_SRV_DDD_STATUS,"SRV%d Status"
CONDITION,"Tilstand"
TIMER_LOGS,"Timer-logger"
SAVE_TO_SD,"Lagre på SD-kort"
CLEAR_LOGS,"Slett logger"
TITLE,"Tittel"
LOWEST,"Laveste"
COUNT,"Tell"
HIGHEST,"Høyeste"
BLADES,"Blader"
MAINGEAR_TEETH,"Antall tenner på hovedtannhjul"
PINION_TEETH,"Antall tenner på pinion-tannhjul"
GEAR,"Gir"
PROPELLER,"Rotorblader"
FLIGHT_VALUE,"Flight verdi"
CURRENT_FLIGHT_MODE,"Nåværende FlightMode"
NO_DESTINATION,"Ingen destinasjon"
ENT_LONG,"Langt trykk på ENT"
RX_STILL_ON_TURN_OFF_TRANSMITTER,"Advarsel! Mottaker er fortsatt PÅ! Bekreft at du vil slå av senderen!"
CONFIRM_RESET_SENSOR,"Verdien til denne sensoren blir tilbakestilt.\nBekreft"
LATITUDE,"Breddegrad"
LONGITUDE,"Lengdegrad"
GPS_MAP,"GPS-kart"
MAP,"Kart"
INTERNAL_GPS,"Intern GPS"
CLOCK,"Dato/Tid"
TRIP,"Trip"
SYSTEM_EVENT,"Systemhendelse"
RSSI_LOW,"RSSI Lav"
TRAINER_ACTIVE,"Trainer aktiv"
MULTIPLIER,"Multiplikator"
VERTICAL,"Vertikal"
HORIZONTAL,"Horisontal"
TOTAL,"Total"
CELLS,"Celler"
MULTI_LIPO,"Multi-LiPo"
LIPO,"LiPo"
LINE_CHART,"Linjekart"
LOG_PERIOD,"Logg-periode"
RESUME,"Fortsett"
PAUSE,"Pause"
AUTO_RANGE,"Fleksibelt Område"
LOCK,"Lås"
Xx2POS,"{HARDWARE_FUNCTION_SWITCHES} x 2-Pos"
XPOS_WITH_OFF,"{HARDWARE_FUNCTION_SWITCHES}-Pos med AV"
XPOS,"{HARDWARE_FUNCTION_SWITCHES}-Pos"
2xXPOS,"2 x {HARDWARE_FUNCTION_SWITCHES_PER_SIDE}-Pos"
GLOBAL,"Global"
_2DOTS,": "
SUMMARY,"Oversikt"
CONFIRM_STOP_USING_CURVE,"Er du sikker på at du vil stoppe å bruke denne kurven?"
CONFIRM_STOP_USING_RATE,"Er du sikker på at du vil stoppe å bruke denne raten?"
PATTERN,"Mønster"
ROLL_ANGLE,"Roll-vinkel"
PITCH_ANGLE,"Pitch-vinkel"
HYDRAULIC_PRESSURE,"Hydraulisk trykk"
IGNORE_TRAINER_INPUT,"Ikke kontrollert av Lærer"
FULL_RANGE,"100% signalområdet"
IGNORE_RANGE,"Ignorer signalområde"
HALF_RANGE,"50% signalområde"
LAST_POSITION,"Siste posisjon"
SLEEP_BRIGHTNESS,"Lysstyrke ved dvale"
TOP_LCD_SLEEP,"Dvale Øvre LCD"
VIEW_PER_CHANNEL,"Visning pr. kanal"
VIEW_TABLE,"Tilbake til oversikt"
GENERAL,"Generelt"
RX_STILL_ON_TURN_OFF_RF,"Mottaker er fortsatt koblet til.\nEr du sikker på at du vil fortsette?"
LOAD_ALL_FUNCTION_SWITCH_POSITIONS,"Last inn alle Funksjonsbryter-posisjoner","Last inn alle FS posisjoner"
CONFIRM_LOAD_ALL_FUNCTION_SWITCH_POSITIONS,"Dette overskriver alle FS innstillingene med innstillingene du har satt nå. Er du sikker på at du vil fortsette?"
STORAGE_LOCATION,"Lagringssted"
RADIO,"Radio"
MODELS,"Modeller"
USER_BITMAPS,"Brukerens Bitmap-bilder"
SCRIPTS,"Skript"
LOGS,"Logger"
SCREENSHOTS,"Skjermbilder"
PRESSURE,"Trykk"
COLOR,"Farge"
CONFIRM_CLEAR_CHANNELS_SSS_NAME,"Det er ingen miksere som bruker Kanal %s. Vil du slette navningen av disse kanalene?"
CHANNEL_SBUS_VALUE_LIMIT_WARNING,"Den nye kanal-verdien er inkompatibel med SBUS/Redundancy. Er du sikker på at du vil fortsette?"
VOLTAGE,"Voltstyrke"
SAVE_TO_FILE,"Lagre til fil"
FLASH_VIDEO_COMPONENT,"Flash Video Komponent"
RX_BAT_VOLTAGE,"RX Batteri Volt"
RX_BAT_2_VOLTAGE,"RX Batteri 2 Volt"
EXT_ADC_VOLTAGE,"Ekstern ADC Volt"
BOARD_CURRENT,"Board strømstyrke"
POWER_ON_RESET,"Tilbakestill 'Power On'"
PIN_RESET,"Tilbakestill 'Pin'"
WAKE_UP_RESET,"Tilbakestill 'Wake Up'"
WATCHDOG_RESET,"Tilbakestill 'Watchdog'"
LOCKUP_RESET,"Tilbakestill 'Lockup'"
BROWN_DOWN_DET_RESET,"Tilbakestill 'Brown Down Detection'"
RX_RESET_CASE,"RX Reset Case"
OPERATION_ASSIGN,"Tilknytt(=)"
OPERATION_ADD,"Legg til(+)"
OPERATION_SUBTRACT,"Trekk fra(-)"
OPERATION_MULTIPLY,"Gange(*)"
OPERATION_DIVIDE,"Dele(/)"
OPERATION_MIN,"Min"
OPERATION_MAX,"Maks"
REPURPOSE,"Tar verdi fra"
SENSOR_CONFLICT_WARNING,"Advarsel Sensor-konflikt"
NIGHTLY_BUILD_NOT_FOR_FLYING,"'Nightly' utgave. IKKE BRUK DENNE TIL FLYVING!"
READING_FILE,"Leser fil..."
NOT_ENOUGH_MEMORY,"Ikke nok minne"
CLEAN_LOGS,"Slett loggene"
CONFIRM_CLEAN_LOGS,"Dette vil slette alle .csv filene i denne mappen. Er du sikker på at du vil fortsette?"
CLEANING_LOGS,"Sletter logger..."
PAUSE_CONDITION,"Hva trigger 'Pause'?"
RESET_SETTINGS,"Resett innstillinger"
SWAP_CHANNELS,"Bytt om kanaler"
CONFIRM_RESET_SETTINGS,"Innstillingene blir tilbakestilt til fabrikkinnstillinger.\nEr du sikker på at du vil fortsette?"
CONFIRM_SWITCH_EXTERNAL_MODULE,"Ekstern modul er i bruk. Den vil bli skrudd av.\nEr du sikker på at du vil fortsette?"
CONFIRM_SWITCH_TRAINER,"Trainer bruker nå ekstern modul. Den vil bli skrudd av.\nEr du sikker på at du vil fortsette?"
COMPETITION_OPTION,"Konkurranse (kun RSSI og Batteri)"
CONFIRM_BLUETOOTH_USED_BY_SSS,"Blåtann brukes av %s. Den vil bli skrudd av.\nEr du sikker på at du vil fortsette?"
BOTH_MODULES,"Begge modulene"
SPORT_CONNECTOR,"S.Port tilkobling"
CONFIRM_SPORT_USED_BY_SSS,"S.Port tilkobling brukes av %s. Er du sikker på at du vil fortsette?"
TRAINER_CABLE,"Trainer kabel"
BLUETOOTH,"Blåtann"
SBUS_EXTERNAL_MODULE,"SBUS Ekstern Modul"
CPPM_EXTERNAL_MODULE,"CPPM Ekstern Modul"
LUA_TASKS,"Lua Oppgaver"
LUA_SOURCES,"Lua Kilder"
MISSING_SCRIPT_FILE,"Script fil mangler"
BITMAP,"Bitmap"
BITMAP_TYPE,"Bitmap type"
BITMAP_FILE,"Bitmap fil"
FILE_PATH,"Fil-sti"
TEXT,"Tekst"
DOCUMENTS,"Dokumenter"
USB_MODE_PRESELECTION,"Forhåndsvalg USB Modus"
USB_MODE,"USB Modus"
JOYSTICK,"Joystick"
SERIAL,"Seriell"
SELECT_MODEL_AT_POWER_ON,"Velg hvilken modellsom lastes når radioen starter"
LOAD_MODEL,"Last inn modell"
TELEMETRY_ACTIVE,"Telemetri Aktiv"
FLIGHT_RESET,"Tilbakestill 'Flight'"
THROTTLE_ACTIVE,"Gass Aktiv"
COUNTING_SOURCE,"Proposjonal 'Timer' kilde"
SEND_FILE,"Send fil"
FILE_TRANSFER,"Filoverføring"
RECEIVE_FILE_HERE,"Motta fil her"
WAITING_FOR_CONNECTION,"Venter på tilkobling"
WAITING_FOR_RECEIVER_CONFIRMATION,"Venter på bekreftelse fra mottaker..."
FILE_TRANSFER_FAILED,"Filoverføring feilet"
CONFIRM_RECEIVE_FILE_SSS_IN_FOLDER_SSS_SIZE_IS_SSS,"Klar til å motta fil %s i mappe %s\nFilstørrelse er %s"
CONFIRM_OVERWRITE_FILE_SSS_IN_FOLDER_SSS_SIZE_IS_SSS,"Kommer til å skrive over fil %s i mappe %s\nFilstørrelse er %s"
SENDING_SSS,"Sender %s..."
RECEIVING_SSS,"Mottar %s..."
SEND_MODEL,"Send modell"
RECEIVE_MODEL,"Motta modell"
UNIT_KNOT,"knop"
UNIT_MILLILITER_PER_PULSE,"ml/p"
UNIT_RPM,"rpm"
ARE_YOU_USING_A_FRSKY_SELF_STAB_RECEIVER,"Bruker du en selvstabiliserende mottaker fra FrSky?"
ASSIGN_INPUT_HINT,"Vennligst tildel input-kilder for følgende funksjoner"
EMERGENCY,"Nødstilfelle"
GAIN_ADJUST,"Gain just."
CONFIRMATION,"Bekreftelse"
ENABLE_XXX,"Aktivere %s?"
DISABLE_XXX,"Deaktivere %s?"
CONFIRMATION_BEFORE_ACTIVE,"Bekreftelse før 'Aktiv'"
CONFIRMATION_BEFORE_INACTIVE,"Bekreftelse før 'Inaktiv'"
REMOTE_NFC,"RemoteNFC"
SWITCH_CHANNEL,"Bytt kanal"
WIRELESS,"Trådløs"
TIMEOUT,"Time out"
NO_ENABLED_MODULE,"Vennligst aktiver modulen du ønsker å binde med NFC"
GET_MODULE_UUID_FAILED,"Feil ved henting av modulens UUID.\nVennligst sjekk modulens status!"
BIND_NFC_FAILED,"Sammenkobling av NFC og modulen feilet!"
PROTOCOL_NOT_SUPPORTED,"Nåværende modul-protokoll er ikke støttet!"
CONFIRM_DELETE_TRIM,"Er du sikker på at du vil slette denne ekstra trimmen?"
LEFT_STICK,"Venstre stikke"
RIGHT_STICK,"Høyre stikke"
ALL_MOTORS,"Alle motorer"
SELECT,"Velg"
SINGLE_MOTOR,"Enkelt motor"
STICK_MOTORS,"Stikke-motorer"
CONFIRM_DELETE_ACTION,"Er du sikker på at du vil fjerne denne hendelsen?"
CONFIRM_DELETE_SCREEN,"Er du sikker på at du vil fjerne denne skjermen?"
CONFIRM_DELETE_SENSOR,"Er du sikker på at du vil fjerne denne sensoren?"
FILE_ALREADY_EXISTS,"En fil med samme navn eksisterer allerede"
MODEL_RUNTIME,"Samlet tid - Modell"
RADIO_RUNTIME,"Samlet tid - Radio"
WAITING_FOR_SIGNAL,"venter på signal..."
CONFIRM_RESET_RUNTIME,"Samlet tid vil bli resatt.\nEr du sikker på at du vil fortsette?"
