TRANSLATION_NAME,"Português Brasileiro"
TRIM_RIGHT_HORIZONTAL_RIGHT,"Trim Dir. Hor. Dir."
RIGHT_VERTICAL,"Vertical direito"
TRIM_RIGHT_VERTICAL_UP,"Trim Dir. Vert. Cima"
TRIM_RIGHT_VERTICAL_DOWN,"Trim Dir. Vert. Baixo"
LEFT_VERTICAL,"Vertical esquerdo"
TRIM_LEFT_VERTICAL_UP,"Trim Esq. Vert. Cima"
TRIM_LEFT_VERTICAL_DOWN,"Trim Esq. Vert. Baixo"
LEFT_HORIZONTAL,"Horizontal esquerdo"
TRIM_LEFT_HORIZONTAL_LEFT,"Trim Esq. Hor. Esq."
TRIM_LEFT_HORIZONTAL_RIGHT,"Trim Esq. Hor. Dir."
TRIM_T5_LEFT,"T5 E"
TRIM_T5_RIGHT,"T5 D"
TRIM_T6_LEFT,"T6 E"
TRIM_T6_RIGHT,"T6 D"
TRIM_T5_DOWN,"T5 B"
TRIM_T5_UP,"T5 H"
TRIM_T6_DOWN,"T6 B"
TRIM_T6_UP,"T6 H"
DIFFERENTIAL,"Desloc."
SLOW,"Slow"
MULTIPLY,"Multiplicar"
WEIGHT_UP,"Aumentar peso"
WEIGHT_DOWN,"Diminuir peso"
OUTPUT,"Saída"
CLOSE,"Fechar"
FLASHING,"Atualização em curso..."
RESET_DEVICE,"Reiniciar dispositivo..."
LOW_BATTERY,"Bateria do rádio fraca!"
VOLTAGE_CALIBRATION,"Calibrar a tensão"
STARTING_MODEL_WIZARD,"Iniciando o assistente..."
RADIO_DATA_LOAD,"Carregar os parametros"
DEFAULT_SYSTEM_SETTINGS_RESTORED,"Parâmetros por defeito carregados."
FLIGHT_MODE_SHORT,"MV"
PREFLIGHT_WARNING,"Avisos pré-voo"
NEW_MODEL,"Novo modelo"
STARTING_CALIBRATION,"Iniciar a calibração..."
NO_SD_CARD_WARNING,"Alerta falta cartão SD"
ADD_CURVE_ERROR,"Falha ao adicionar curva !"
STEP,"Passo"
AILERON,"Aileron"
SPACE_WITH_CHANNEL," canal"
QUESTION_SWAP_SSS_AND_SSS_CHANNELS_SETTINGS,"Trocar os parametros de %s e %s ?"
INPUT,"Entradas"
ELE_TO_AIL,"Prf => Ail"
THR_CURVE,"Curva de aceleração"
PITCH_CURVE,"Curva de pitch"
THROTTLE_CUT,"Cortar acelerador"
AIL_TO_RUD,"Ail => Leme"
ELE_TO_CAMBER,"Prf => Camber"
RUD_TO_AIL,"Leme => Ail"
RUD_TO_ELE,"Leme => Prf"
AIL_TO_FLAPS,"Ail => Flaps"
FLAPS_TO_ELE,"Flaps => Prf"
FREE_MIX,"Mixer livre"
SNAP_ROLL,"Snap Roll"
TEST_MIX,"Mixer de Teste"
DELAY_UP,"Atraso de subida"
DELAY_MID,"Atraso meio"
DELAY_DOWN,"Atraso de descida"
NO_DELAY,"Sem atraso"
V_TAIL,"Cauda em V"
DATA_REFUSED,"Dados recusados"
DEVICE_NOT_RESPONDING,"Sem resposta do dispositivo"
NO_OUTPUT,"Sem saídas"
WEIGHT_RATES,"Pesos"
OTHERWISE,"Otherwise"
AUTO,"Auto"
TRIM_STEP_FINE,"Fino"
TRIM_STEP_COARSE,"Grosso"
TRIM_STEP_EXPONENTIAL,"Exponencial"
TRIM_STEP_EXTRA_FINE,"Extra fino"
TRIM_STEP_MEDIUM,"Médio"
TRIM_STEP_CUSTOM,"Person."
SCREENSHOT,"Foto da tela"
SILENT,"Silencioso"
ALARMS_ONLY,"Alarmes"
OFTEN,"Frequent."
ALWAYS,"Sempre"
NEVER,"Never"
WHEN_TELEMETRY_STREAMING,"When telemetry streaming"
VOICE1,"Voice 1 (Main)"
VOICE2,"Voice 2"
VOICE3,"Voice 3"
NEGATIVE,"Negativo"
POSITIVE,"Positivo"
THROTTLE_HOLD,"Manter acelerado"
TRIGGER_VALUE,"Valor disparo"
IDLE_OUTPUT_VALUE,"Valor de lenta"
LOW_POSITION_TRIM,"Trim de lenta"
AND,"E"
OR,"OU"
XOR,"xOU"
SENSORS,"Sensores"
VARIOMETER,"Vario"
ALARMS,"Alarmes"
SENSOR,"Sensor"
RX_BATT,"RxBatt"
RX_CURRENT,"RxCurrent"
ALTITUDE,"Altitude"
VSPEED,"VSPEED"
SELECT_LANGUAGE,"Escolha o idioma"
ONCE,"1 vez"
FLIGHT_DATA,"Dados de voo"
ALL_TIMERS,"Todos os Timers"
WHOLE_TELEMETRY,"Toda a telemetria"
REPEAT,"Repetição"
WAV_FILE,"Arquivo Wav"
BUTTERFLY,"Borboleta"
CAMBER,"Camber"
PITCH_TO_RUD,"Pit => Leme"
MISSING_BASIC_MIX,"Falta Mixer básico"
MISSING_ENOUGH_CHANNEL,"Número insuficiente de canais disponíveis"
NOT_SUIT_FOR_THIS_MODEL,"Este Mixer não é adequado para o seu modelo"
THR_TO_ELE,"Ace => Prf"
THR_TO_RUD,"Ace => Leme"
TEMPERATURE,"Temperatura"
DATA_RATE,"Freq. dados"
GPS,"GPS"
GAS_SUITE,"Gas Suite"
FLOW_RESET,"Flow reset"
CDI_OFF_SPEED_LIMIT,"CDI off speed limit"
FLOW_PULSE,"Pulso de fluxo"
AUTO_RESET,"Auto Reiniciar"
RESET_RESIDUAL_VOLUME,"Reset residual volume"
RESET_MAX_FLOW,"Reset max flow"
RESET_AVERAGE_FLOW,"Reset average flow"
VOLUME_ALARM,"Alarme volume"
MAX_FLOW_ALARM,"Alarme fluxo máx"
OVER_SPEED_ALARM,"Over speed alarm"
FLOW_TRIGGER,"Disparo do fluxo"
FACTORY_SETTING,"Paramatros de fábrica"
OVER_TEMP1_ALARM,"Over temp1 alarm"
OVER_TEMP2_ALARM,"Over temp2 alarm"
TEMPERATURE_UNIT,"Temp Graus"
AUTO_SAVE,"Auto Save"
GPS_POSITION_DATA_RATE,"Freq. posição GPS"
GPS_ALTITUDE_DATA_RATE,"Freq. altitude GPS"
GPS_SPEED_DATA_RATE,"Freq. velocidade GPS"
GPS_COURSE_DATA_RATE,"Freq. rota GPS"
GPS_TIME_DATA_RATE,"Freq. hora GPS"
RB_30_40,"RB 30/40"
EW,"LO"
NS,"NS"
DEFAULT_FLIGHT_MODE,"Modo de voo padrão"
SKIP_ON_STARTUP,"Não mostrar no início"
LOW_VALUE_WARNING,"Valor baixo"
CRITICAL_VALUE,"Valor crítico"
UPGRADE_MODULE,"Atualização do módulo"
AUTHENTICATION_FAILURE,"Erro de autenticação"
MODULE_NEEDS_UPGRADE,"Atualização do módulo necessária"
CLEAR,"Limpar"
MIX_SWITCH_DESCRIPTION,""
MIX_WEIGHT_DESCRIPTION,""
MIX_CURVE_DESCRIPTION,""
MIX_DIFFERENTIAL_DESCRIPTION,""
MIX_OUTPUT_DESCRIPTION,""
MIX_INPUT_DESCRIPTION,""
MIX_OPERATION_DESCRIPTION,""
MIX_REVERSE_DESCRIPTION,""
MIX_OFFSET_DESCRIPTION,""
MIX_WEIGHTUP_DESCRIPTION,""
MIX_WEIGHTDOWN_DESCRIPTION,""
MIX_SPEEDUP_DESCRIPTION,""
MIX_SPEEDDOWN_DESCRIPTION,""
MIX_LOWPOSTRIM_DESCRIPTION,"Trim ativo apenas para lenta"
HELI_PITCH,"Pitch"
HELI_GYRO,"Gyro"
MISSING_THROTTLE,"O modelo não tem motor"
SIX_POSITIONS_SWITCH,"Interruptor 6-POS"
GYRO_X_AXIS,"Eixo Gyro X"
GYRO_Y_AXIS,"Eixo Gyro Y"
AILERON_LETTER,"Ai"
RUDDER_LETTER,"Le"
ELEVATOR_LETTER,"Pr"
THROTTLE_LETTER,"Ac"
NOT,"Não"
STICKY,"Fixo"
EDGE,"Borda"
MIDDLE,"Meio"
NO_CHECK,"Sem verificação"
CUSTOM,"Person."
HOLD,"Manter"
NO_PULSES,"Sem pulsos"
NOT_SET,"Não definido"
NO_ENGINE,"Sem motor"
NO_FLAPS,"Sem flaps"
NO_RUDDERS,"Sem leme"
NO_ELEVATORS,"Sem profundidor"
NO_AILERONS,"Sem ailerons"
CHANNELS_1,"1 canal"
CHANNELS_2,"2 canais"
CHANNELS_3,"3 canais"
CHANNELS_4,"4 canais"
BEEP,"Beeps"
IN_RANGE,"No intervalo"
REPLACE,"Substituir"
USE_A_SOURCE,"Utilizar uma fonte"
CONVERT_TO_VALUE,"Converter p. valor"
SPECIAL,"Especial"
MAXIMUM,"Máximo"
MINIMUM,"Mínimo"
MOMENTARY,"Momentaneo"
TWO_POS,"2-POS"
THREE_POS,"3-POS"
GYRO_CALIBRATION_PLACE_LEVEL,"Coloque o rádio nivelado.\nE pressione o botão 'Validar'"
GYRO_CALIBRATION_LEFT,"Vire o rádio a esquerda.\nE pressione o botão 'Validar'"
GYRO_CALIBRATION_RIGHT,"Vire o rádio a direita.\nE pressione o botão 'Validar'"
GYRO_CALIBRATION_NOSE_UP,"Vire o rádio para cima.\nE pressione o botão 'Validar'"
GYRO_CALIBRATION_NOSE_DOWN,"Vire o rádio para baixo.\nE pressione o botão 'Validar'"
DEFAULT,"Padrão"
STRENGTH,"Intensidade"
AM,"AM"
PM,"PM"
PLAY_VARIO,"Tocar vario"
RF_ALWAYS_OFF,"Modo especial, módulo RF Desligado."
STAB_FUNC,"Função de estab."
RX_PROTOCOL,"Protocolo RX"
NO_MAP,"Sem mapeamento"
DIRECTION,"Direção"
CLOCKWISE,"Sent. horário"
ANTICLOCKWISE,"Sent. anti-horário"
PWM_PULSE_TYPE,"Tipo de PWM"
BASIC_CONFIG,"Config. básica"
RX1_MAP,"RX1 Map"
RX2_MAP,"RX2 Map"
RX3_MAP,"RX3 Map"
ALL_FREQUENCY,"Todas as frequências"
STICKS_NAME,"Nome dos Sticks"
CHANNELS_COUNT,"Número de canais"
EXT,"Ext"
INT,"Int"
PLACE_RECEIVE_LEVEL,"Colocar o receptor na horizontal"
PLACE_RECEIVE_LEVEL_REVERSE,"Colocar o receptor voltado para baixo"
PLACE_RECEIVE_LEFT,"Colocar o receptor voltado para a esquerda"
PLACE_RECEIVE_RIGHT,"Colocar o receptor voltado para a direita"
PLACE_RECEIVE_FORWARD,"Colocar o receptor voltado para a cima"
PLACE_RECEIVE_BACKWARD,"Colocar o receptor voltado para a baixo"
ADD_A_NEW_WEIGHT,"+ Novo peso"
ADD_A_NEW_CURVE,"+ Nova curva"
AUDIO,"Áudio"
VOICE,"Voice"
VAR,"Var"
VOLUME,"Volume"
SAVE_TO_FLASH,"Gravar na flash"
SAVE_TO_FLASH_MESSAGE,"Todos os parâmetros foram gravados na memória flash !"
TIMER_GENERATOR,"Gerador de Timer"
CONFIRM_CLEAR_CHANNEL_DDD_NAME,"Canal %d não usado em nenhum mixer...\nDeseja limpar o nome ?"
EDIT_SSS,"Editar %s"
RESET_SSS,"Reiniciar %s"
OPTIONS_3DOTS,"Opções..."
QUESTION_COPY_CHANNEL_NAME,"O canal não tem nome.\nAtribuir o nome do mixer?"
FLY_BAR_LESS,"Flybarless"
WING_RUD_ELE_AIL,"Asa Dir Prf Ail"
WING_FLYING,"Asa Delta Ail/ Zagi"
WING_VTAIL_AIL,"Asa com cauda em V - ail"
LEVEL,"Horizontal"
LEVEL_REVERSED,"Hor. invert."
UPRIGHT,"Em pé"
UPRIGHT_REVERSED,"Ponta-cabeça"
WING_TYPE,"Tipo de asa"
MOUNTING_TYPE,"Posição de montagem"
SXR_ENABLE,"SXR ativo"
AIL_INVERTED,"Invert. Ail"
AIL2_INVERTED,"Invert. Ail2"
ELE_INVERTED,"Invert. Profundor"
ELE2_INVERTED,"Invert. Prof2"
RUD_INVERTED,"Invert. Leme"
AUX1_ENABLE,"AUX1 ativo"
AUX2_ENABLE,"AUX2 ativo"
QUICK_MODE,"Modo rápido"
SELF_CHECK,"Self Check"
STAB_GAIN_OF_AIL,"Ganho estab. Ail"
STAB_GAIN_OF_ELE,"Ganho estab. Prf"
STAB_GAIN_OF_RUD,"Ganho estab. Leme"
AUTO_LEVEL_GAIN_OF_AIL,"Ganho auto nível. do Ail"
AUTO_LEVEL_GAIN_OF_ELE,"Ganho auto nível. da Prf"
HOVER_GAIN_OF_ELE,"Ganho do Hover da Prf"
HOVER_GAIN_OF_RUD,"Ganho do Hover da Leme"
KNIFE_EDGE_GAIN_OF_AIL,"Ganho da Faca do Ail"
KNIFE_EDGE_GAIN_OF_RUD,"Gain da Faca da Leme"
AUTO_LEVEL_OFFSET_OF_AIL,"Auto Level Trim para Ail"
AUTO_LEVEL_OFFSET_OF_ELE,"Auto Level Trim para Elev"
HOVER_OFFSET_ANGLE_OF_ELE,"Trim ângulo do Hover para Prf"
HOVER_OFFSET_ANGLE_OF_RUD,"Trim ângulo do Hover para Leme"
KNIFE_EDGE_OFFSET_OF_AIL,"Trim ângulo da Faca para Ail"
KNIFE_EDGE_OFFSET_OF_RUD,"Trim ângulo da Faca para Leme"
OUTPUT_VOLTAGE,"Tensão saída"
LIPO_VOLTAGE,"Tensão Lipo"
RB_10_20,"RB 10/20"
ALTITUDE_DATA_RATE,"Freq. dados Alti."
VARIO_DATA_RATE,"Freq. dados Vario"
CURRENT_DATA_RATE,"Freq. dados Intensidade"
VOLTAGE_DATA_RATE,"Freq. dados Tensão"
RPM,"RPM"
POLES_COUNT,"Num. de pólos"
NEED_FIRMWARE_UPDATE,"Atualização firmware necessária"
SYSTEM_VALUE,"Valor do sistema"
GPS_CLOCK,"Hora GPS"
RACING_MODE_ACTIVE,"Modo corrida activo."
RACING_MODE_IS_UNSUPPORTED,"Modo corrida não suportado."
POTS_SLIDERS,"Pots / Sliders"
STICKS_POTS_SLIDERS,"Sticks / Pots / Sliders"
WRITE_INTERVAL,"Freq. escrita"
TX_BATT,"BatTX"
AVERAGE,"Média"
TOTALIZE,"Totalizar"
CELL,"Célula"
CONSUMPTION,"Consumo"
DISTANCE,"Distância"
FALLING_EDGE_OF_SSS_BETWEEN_SSS_AND_SSS,"Bordo↓ de %s entre %s e %s"
RISING_EDGE_OF_SSS_DURING_SSS,"Bordo↑ de %s durante %s"
FALLING_EDGE_OF_SSS_DURING_SSS,"Bordo↓ de %s durante %s"
FALLING_EDGE_OF_SSS,"Bordo↓ de %s"
RISING_EDGE_OF_SSS,"Bordo↑ de %s"
STALL,"Stall"
EDITABLE_SRV_DDD_CURR,"SRV%d Curr"
EDITABLE_SRV_DDD_VOLT,"SRV%d Volt"
EDITABLE_SRV_DDD_TEMP,"SRV%d Temp"
EDITABLE_SRV_DDD_STATUS,"SRV%d Estado"
CONDITION,"Condição"
TIMER_LOGS,"Timer Logs"
SAVE_TO_SD,"Gravar para SD"
CLEAR_LOGS,"Limpar Registos"
TITLE,"Título"
LOWEST,"Mais baixo"
COUNT,"Contar"
HIGHEST,"Mais alto"
BLADES,"Pás"
MAINGEAR_TEETH,"Dentes engrenagem principal"
PINION_TEETH,"Dentes pinhão de ataque"
GEAR,"Engrenagem"
PROPELLER,"Hélice"
FLIGHT_VALUE,"Valor de voo"
CURRENT_FLIGHT_MODE,"Modo voo ativo"
NO_DESTINATION,"Sem destino"
ENT_LONG,"ENT Longo"
RX_STILL_ON_TURN_OFF_TRANSMITTER,"Rx ligado. Deseja desligar o rádio ?"
CONFIRM_RESET_SENSOR,"O valor deste sensor será resetado. Deseja continuar?"
LATITUDE,"Latitude"
LONGITUDE,"Longitude"
GPS_MAP,"Mapa GPS"
MAP,"Mapa"
INTERNAL_GPS,"GPS Interno"
CLOCK,"Hora"
TRIP,"Viagem"
SYSTEM_EVENT,"Evento do sistema"
RSSI_LOW,"Rssi fraco"
TRAINER_ACTIVE,"Trainer active"
MULTIPLIER,"Multiplicador"
VERTICAL,"Vertical"
HORIZONTAL,"Horizontal"
TOTAL,"Total"
CELLS,"Células"
MULTI_LIPO,"Multi LiPo"
LIPO,"LiPo"
LINE_CHART,"Gráfico"
LOG_PERIOD,"Periodo do registo"
RESUME,"Continuar"
PAUSE,"Pausar"
AUTO_RANGE,"Intervalo autom."
LOCK,"Travar"
Xx2POS,"{HARDWARE_FUNCTION_SWITCHES} x 2-Pos"
XPOS_WITH_OFF,"{HARDWARE_FUNCTION_SWITCHES}-Pos com OFF"
XPOS,"{HARDWARE_FUNCTION_SWITCHES}-Pos"
2xXPOS,"2 x {HARDWARE_FUNCTION_SWITCHES_PER_SIDE}-Pos"
GLOBAL,"Global"
_2DOTS," : "
SUMMARY,"Resumo"
CONFIRM_STOP_USING_CURVE,"Tem a certeza que deseja parar de usar esta curva?"
CONFIRM_STOP_USING_RATE,"Tem a certeza que deseja parar de usar este peso?"
PATTERN,"Padrão"
ROLL_ANGLE,"R.Angle"
PITCH_ANGLE,"P.Angle"
HYDRAULIC_PRESSURE,"H.Pressure"
IGNORE_TRAINER_INPUT,"Ignorar ent. trainer"
FULL_RANGE,"Full range"
IGNORE_RANGE,"Ignore range"
HALF_RANGE,"Half range"
LAST_POSITION,"Última posição"
SLEEP_BRIGHTNESS,"Brilho - modo inativo"
TOP_LCD_SLEEP,"Top LCD Sleep"
VIEW_PER_CHANNEL,"Vis. por canal"
VIEW_TABLE,"Vis. por tabela"
GENERAL,"Geral"
RX_STILL_ON_TURN_OFF_RF,"O Rx ainda está ligado.\nTem certeza que deseja continuar?"
LOAD_ALL_FUNCTION_SWITCH_POSITIONS,"Carregar todas as posições das chaves","Carregar todas as posições"
CONFIRM_LOAD_ALL_FUNCTION_SWITCH_POSITIONS,"Esta operação vai sobrepor todas as posições com os val. atuais. Deseja continuar?"
STORAGE_LOCATION,"Local armazen."
RADIO,"Radio"
MODELS,"Modelos"
USER_BITMAPS,"Bitmaps do usuário"
SCRIPTS,"Scripts"
LOGS,"Logs"
SCREENSHOTS,"Screenshots"
PRESSURE,"Pressão"
COLOR,"Cor"
CONFIRM_CLEAR_CHANNELS_SSS_NAME,Há mixers utilizando o canal %s. Deseja limpar o nome destes canais?"
CHANNEL_SBUS_VALUE_LIMIT_WARNING,"O novo valor do canal é incampatível com SBUS/redundancia. Deseja continuar?"
VOLTAGE,"Tensão"
SAVE_TO_FILE,"Salvar no arquivo"
FLASH_VIDEO_COMPONENT,"Atualizar comp. de vídeo"
RX_BAT_VOLTAGE,"Bateria do RX baixa"
RX_BAT_2_VOLTAGE,"Bateria do RX2 baixa"
EXT_ADC_VOLTAGE,"Tensão externa ADC"
BOARD_CURRENT,"Corrente da placa"
POWER_ON_RESET,"Resetar Power on"
PIN_RESET,"Reiniciar pinos"
WAKE_UP_RESET,"Resetar Wake Up"
WATCHDOG_RESET,"Resetar Watchdog"
LOCKUP_RESET,"Travar Reset"
BROWN_DOWN_DET_RESET,"Resetar Brown Down Detection"
RX_RESET_CASE,Resetar RX Case"
OPERATION_ASSIGN,"Associar(=)"
OPERATION_ADD,"Adic.(+)"
OPERATION_SUBTRACT,"Subtrair(-)"
OPERATION_MULTIPLY,"Multipl.(*)"
OPERATION_DIVIDE,"Dividir(/)"
OPERATION_MIN,"Min"
OPERATION_MAX,"Max"
REPURPOSE,"Reajustar"
SENSOR_CONFLICT_WARNING,"Conflito de sensor"
NIGHTLY_BUILD_NOT_FOR_FLYING,"Versão instável, NÃO VOE!"
READING_FILE,"Lendo arquivo ..."
NOT_ENOUGH_MEMORY,"Falta de memória"
CLEAN_LOGS,"Limpar logs"
CONFIRM_CLEAN_LOGS,"Essa operação removerá todos os arquivos .csv do diretório. Continuar?"
CLEANING_LOGS,"Limpando logs ..."
PAUSE_CONDITION,"Pausar condições"
RESET_SETTINGS,"Resetar config."
SWAP_CHANNELS,"Swap channels"
CONFIRM_RESET_SETTINGS,"As config. serão resetadas para os valores padrão.\nContinuar?"
CONFIRM_SWITCH_EXTERNAL_MODULE,"Módulo externo em uso. Será interrompido.\nContinuar?"
CONFIRM_SWITCH_TRAINER,"Treinador agora está usando um módulo externo. Será interrompido.\nContinuar?"
COMPETITION_OPTION,"Competição (apenas RSSI e Battery)"
CONFIRM_BLUETOOTH_USED_BY_SSS,"Bluetoothestá em uso por %s. Será interrompido.\nContinuar?"
BOTH_MODULES,"Ambos os módulos"
SPORT_CONNECTOR,"Conector S.Port"
CONFIRM_SPORT_USED_BY_SSS,"Conector S.Port está em uso por %s. Continuar?"
TRAINER_CABLE,"Cabo Trainer"
BLUETOOTH,"Bluetooth"
SBUS_EXTERNAL_MODULE,"SBUS Módulo externo"
CPPM_EXTERNAL_MODULE,"CPPM Módulo externo"
LUA_TASKS,"Tarefas Lua"
LUA_SOURCES,"Fontes Lua"
MISSING_SCRIPT_FILE,"Script não encontrado"
BITMAP,"Bitmap"
BITMAP_TYPE,"Tipo do Bitmap"
BITMAP_FILE,"Arquivo Bitmap"
FILE_PATH,"Diretório"
TEXT,"Texto"
DOCUMENTS,"Documentos"
USB_MODE_PRESELECTION,"Pré-seleção modo USB"
USB_MODE,"Drive USB"
JOYSTICK,"Simulador"
SERIAL,"Serial"
SELECT_MODEL_AT_POWER_ON,"Selecionar modelo ao ligar"
LOAD_MODEL,"Carregar modelo"
TELEMETRY_ACTIVE,"Telemetria Activa"
FLIGHT_RESET,"Flight reset"
THROTTLE_ACTIVE,"Acelerador Activo"
COUNTING_SOURCE,"Fonte temporiz. proporcional"
SEND_FILE,"Enviar arquivo"
FILE_TRANSFER,"Transferir arquivo"
RECEIVE_FILE_HERE,"Receber arq. aqui"
WAITING_FOR_CONNECTION,"Esperando conexão"
WAITING_FOR_RECEIVER_CONFIRMATION,"Esperando por confirmação..."
FILE_TRANSFER_FAILED,"Falha ao transf. arquivo"
CONFIRM_RECEIVE_FILE_SSS_IN_FOLDER_SSS_SIZE_IS_SSS,"Recebendo o arquivo %s na pasta %s\nTamanho: %s"
CONFIRM_OVERWRITE_FILE_SSS_IN_FOLDER_SSS_SIZE_IS_SSS,"Sobrescrevendo arquivo %s na pasta %s\nTamanho: %s"
SENDING_SSS,"Enviando %s..."
RECEIVING_SSS,"Recebendo %s..."
SEND_MODEL,"Enviar modelo"
RECEIVE_MODEL,"Receber modelo"
UNIT_KNOT,"knots"
UNIT_MILLILITER_PER_PULSE,"ml/p"
UNIT_RPM,"r/m"
ARE_YOU_USING_A_FRSKY_SELF_STAB_RECEIVER,"Deseja usar um receptor com  gyro?"
ASSIGN_INPUT_HINT,"Associar fontes para as seguintes funções"
EMERGENCY,"Emergência"
GAIN_ADJUST,"Ganho"
CONFIRMATION,"Confirmação"
ENABLE_XXX,"Enable %s?"
DISABLE_XXX,"Disable %s?"
CONFIRMATION_BEFORE_ACTIVE,"Confirmation before active"
CONFIRMATION_BEFORE_INACTIVE,"Confirmation before inactive"
REMOTE_NFC,"Remote NFC"
SWITCH_CHANNEL,"Trocar canal"
WIRELESS,"Sem fio"
TIMEOUT,"Tempo esgotado"
NO_ENABLED_MODULE,"Habilite o mõdulo desejado para bindar com o NFC"
GET_MODULE_UUID_FAILED,"Falha ao pegar UUID do módulo.\nVerifique se o módulo está ligado!"
BIND_NFC_FAILED,"Falha ao bindar o NFC com o módulo!"
PROTOCOL_NOT_SUPPORTED,"Protocolo do módulo não é suportado!"
CONFIRM_DELETE_TRIM,"Tem certeza que deseja apagar o trim extra?"
LEFT_STICK,"Stick esquerdo"
RIGHT_STICK,"Stick direito"
ALL_MOTORS,"Todos os motores"
SELECT,"Selecionar"
SINGLE_MOTOR,"Motor único"
STICK_MOTORS,"Unif. motores"
CONFIRM_DELETE_ACTION,"Deseja remover esta ação?"
CONFIRM_DELETE_SCREEN,"Deseja remover esta tela?"
CONFIRM_DELETE_SENSOR,"Deseja remover este sensor?"
FILE_ALREADY_EXISTS,"A file with the same name already exists"
MODEL_RUNTIME,"Model runtime"
RADIO_RUNTIME,"Radio runtime"
WAITING_FOR_SIGNAL,"waiting for signal..."
CONFIRM_RESET_RUNTIME,"Runtime will be reset.\nAre you sure you want to continue?"
BANK,"Bank"
POWER_SWITCH,"Power switch"
CURRENT_AND_VOLTAGE_RATE,"Current & voltage rate"
BEC_VOLTAGE_RATE,"BEC voltage rate"
SBEC_VOLTAGE,"SBEC voltage"
BATTERY_MODE,"Battery mode"
SWITCH_VOLTAGE,"Switch voltage"
BALANCE,"Balance"
BACKUP,"Backup"
BALANCE_CHANNELS,"Balance channels"
CHOOSE_CHANNELS,"Choose channels"
BALANCE_CURVE,"Balance curve"
CONFIRM_TO_SHARE_RECEIVER,"Are you sure you want to share this receiver?"
CONFIRM_TO_UNBIND_RECEIVER,"Are you sure you want to unbind this receiver?"
