TRANSLATION_NAME,"Polish"
CALIBRATION_COMPLETE_CLICK_CONFIRM_TO_STORE,"Kalibracja zakończona, wybierz 'Zatwierdź' aby zapisać ustawienia"
BACKLIGHT,"Podświetlenie"
DARK_MODE,"Dark Mode"
HIGHLIGHT_COLOR,"Highlight Color"
MODEL_NAME,"Nazwa"
NO_AIRBRAKES,"Brak hamulców"
OK,"OK"
FLAP,"Flap"
AIRBRAKE,"Airbrake"
FILE,"Plik"
FLASH_SPORT,"Programuj S.port"
PLAY_VALUE,"Odczytaj wartość"
ANALOGS,"Proporcjonalne"
SWITCHES_POSITIONS,"Poz. przełącz."
TRIMS_POSITIONS,"Poz. trymów"
CONST_VALUE,"Const value"
SLIDER_LEFT,"Suwak lewy"
SLIDER_RIGHT,"Suwak prawy"
RIGHT_HORIZONTAL,"Prawy poziomy"
TRIM_RIGHT_HORIZONTAL_LEFT,"Trym PpozL"
TRIM_RIGHT_HORIZONTAL_RIGHT,"Trym PpozP"
RIGHT_VERTICAL,"Prawy pionowy"
TRIM_RIGHT_VERTICAL_UP,"Trym PpionG"
TRIM_RIGHT_VERTICAL_DOWN,"Trym PpionD"
LEFT_VERTICAL,"Lewy pionowy"
TRIM_LEFT_VERTICAL_UP,"Trym LpionG"
TRIM_LEFT_VERTICAL_DOWN,"Trym LpionD"
LEFT_HORIZONTAL,"Lewy poziomy"
TRIM_LEFT_HORIZONTAL_LEFT,"Trym LpozL"
TRIM_LEFT_HORIZONTAL_RIGHT,"Trym LpozR"
TRIM_T5_LEFT,"T5 L"
TRIM_T5_RIGHT,"T5 P"
TRIM_T6_LEFT,"T6 L"
TRIM_T6_RIGHT,"T6 P"
TRIM_T5_DOWN,"T5 D"
TRIM_T5_UP,"T5 G"
TRIM_T6_DOWN,"T6 D"
TRIM_T6_UP,"T6 G"
DIFFERENTIAL,"Różnicowanie"
SLOW,"Slow"
MULTIPLY,"Mnożenie"
WEIGHT_UP,"Nachylenie (x>0)"
WEIGHT_DOWN,"Nachylenie (x<0)"
OUTPUT,"Wyjście"
CLOSE,"Close"
FLASHING,"Flashing..."
RESET_DEVICE,"Device reset..."
LOW_BATTERY,"Radio battery low!"
VOLTAGE_CALIBRATION,"Voltage Calibration"
STARTING_MODEL_WIZARD,"Starting model wizard..."
RADIO_DATA_LOAD,"Radio data load"
DEFAULT_SYSTEM_SETTINGS_RESTORED,"Storage error, default system settings restored."
FLIGHT_MODE_SHORT,"FL"
PREFLIGHT_WARNING,"Preflight Warnings"
NEW_MODEL,"New model"
STARTING_CALIBRATION,"Starting calibration..."
NO_SD_CARD_WARNING,"No SD Card Warning"
ADD_CURVE_ERROR,"Add curve failed!"
STEP,"Step"
AILERON,"Lotki"
SPACE_WITH_CHANNEL," channel"
QUESTION_SWAP_SSS_AND_SSS_CHANNELS_SETTINGS,"Chcesz zamienić kanał %s na %s?"
INPUT,"Wejście"
THR_CURVE,"Thr Curve"
PITCH_CURVE,"Pitch Curve"
THROTTLE_CUT,"Throttle Cut"
DELAY_UP,"Delay Up"
DELAY_MID,"Delay Mid"
DELAY_DOWN,"Delay Down"
NO_DELAY,"No Delay"
V_TAIL,"V Tail"
DATA_REFUSED,"Data refused"
DEVICE_NOT_RESPONDING,"Device not responding"
NO_OUTPUT,"No Output"
WEIGHT_RATES,"Waga / Zakres"
OTHERWISE,"Otherwise"
AUTO,"Auto"
TRIM_STEP_FINE,"Dokładny"
TRIM_STEP_COARSE,"Zgrubny"
TRIM_STEP_EXPONENTIAL,"Wykładniczy"
TRIM_STEP_EXTRA_FINE,"Bardzo dokładny"
TRIM_STEP_MEDIUM,"Średni"
TRIM_STEP_CUSTOM,"Definiowany"
SCREENSHOT,"Zrzut ekranu"
POSITIVE,"Positive"
THROTTLE_HOLD,"Throttle Hold"
TRIGGER_VALUE,"Trigger value"
IDLE_OUTPUT_VALUE,"Idle Output Value"
LOW_POSITION_TRIM,"Low position trim"
AND,"AND"
OR,"OR"
XOR,"XOR"
SENSORS,"Czujniki"
VARIOMETER,"Wariometr"
ALARMS,"Alarms"
SENSOR,"Czujnik"
RX_BATT,"RxBatt"
RX_CURRENT,"RxCurrent"
ALTITUDE,"Wysokość"
VSPEED,"VSpeed"
SELECT_LANGUAGE,"Wybierz język"
ONCE,"Raz"
FLIGHT_DATA,"Flight data"
ALL_TIMERS,"All timers"
WHOLE_TELEMETRY,"Whole telemetry"
REPEAT,"Repeat"
WAV_FILE,"Wav file"
BUTTERFLY,"Butterfly"
CAMBER,"Camber"
PITCH_TO_RUD,"Pitch => Kier"
MISSING_BASIC_MIX,"Missing basic mixer"
MISSING_ENOUGH_CHANNEL,"Zabrakło dostępnych kanałów"
NOT_SUIT_FOR_THIS_MODEL,"Ta linia miksera nie jest odpowiednia dla tego rodzaju modelu"
THR_TO_ELE,"Gaz => Wys"
THR_TO_RUD,"Gaz => Kier"
TEMPERATURE,"Temperatura"
DATA_RATE,"Odświeżanie danych"
GPS,"GPS"
GAS_SUITE,"Gas Suite"
FLOW_RESET,"Flow reset"
CDI_OFF_SPEED_LIMIT,"CDI off speed limit"
FLOW_PULSE,"Impulsy przepływu"
AUTO_RESET,"Auto Reset"
RESET_RESIDUAL_VOLUME,"Reset residual volume"
RESET_MAX_FLOW,"Reset max flow"
RESET_AVERAGE_FLOW,"Reset average flow"
VOLUME_ALARM,"Głośność alarmu"
MAX_FLOW_ALARM,"Alarm max przepływu"
OVER_SPEED_ALARM,"Over speed alarm"
FLOW_TRIGGER,"Wyzwolenie przepływu"
FACTORY_SETTING,"Ustawienia fabryczne"
OVER_TEMP1_ALARM,"Over temp1 alarm"
OVER_TEMP2_ALARM,"Over temp2 alarm"
TEMPERATURE_UNIT,"Temp w st."
AUTO_SAVE,"Auto Save"
GPS_POSITION_DATA_RATE,"Odświeżanie danych - pozycja GPS"
GPS_ALTITUDE_DATA_RATE,"Odświeżanie danych - wysokość GPS"
GPS_SPEED_DATA_RATE,"Odświeżanie danych - prędkość GPS"
GPS_COURSE_DATA_RATE,"Odświeżanie danych - kurs GPS"
GPS_TIME_DATA_RATE,"Odświeżanie danych - zegar GPS"
RB_30_40,"RB 30/40"
EW,"EW"
NS,"NS"
DEFAULT_FLIGHT_MODE,"Domyślna Faza Lotu"
SKIP_ON_STARTUP,"Pomiń przy starcie"
LOW_VALUE_WARNING,"Wartość ostrzegawcza"
CRITICAL_VALUE,"Wartość krytyczna"
UPGRADE_MODULE,"Uaktualnij moduł"
AUTHENTICATION_FAILURE,"Błąd autentykacji"
MODULE_NEEDS_UPGRADE,"Moduł wymaga uaktualnienia"
CLEAR,"Wyczyść"
MIX_SWITCH_DESCRIPTION,"Wybierz co będzie aktywowało tę linię miksera"
MIX_WEIGHT_DESCRIPTION,"Mnożnik w % aplikowany do wejścia, od którego zależy wartość wyjścia tej linii miksera (aplikowany po krzywej)"
MIX_CURVE_DESCRIPTION,"Wybierz krzywą przypisaną do tej linii miksera (krzywa aplikowana jest przed wagą)"
MIX_DIFFERENTIAL_DESCRIPTION,"Wybierz wartość różnicowego wychylenia wartości kanałów"
MIX_OUTPUT_DESCRIPTION,"Wybierz kanał, na który będzie miała wpływ ta linii miksera"
MIX_INPUT_DESCRIPTION,"Wybierz wejście (źródło) dla tej linii miksera"
MIX_OPERATION_DESCRIPTION,"Wybierz funkcję realizowaną przez tę linię miksera: Dodawanie, Mnożenie lub Zamiana"
MIX_REVERSE_DESCRIPTION,"Odwróć kierunek działania"
MIX_OFFSET_DESCRIPTION,"Określ przesunięcie na osi Y względem środka"
MIX_WEIGHTUP_DESCRIPTION,"Określ nachylenie wyjścia dla x>0"
MIX_WEIGHTDOWN_DESCRIPTION,"Określ nachylenie wyjścia dla x<0"
MIX_SPEEDUP_DESCRIPTION,"Określ czas dojścia do wartości docelowej (dla połowy osi X)"
MIX_SPEEDDOWN_DESCRIPTION,"Określ czas zejścia do wartości docelowej (dla połowy osi X)"
MIX_LOWPOSTRIM_DESCRIPTION,"Enable low position trim only"
HELI_PITCH,"Pitch"
HELI_GYRO,"Żyro"
MISSING_THROTTLE,"Model nie ma żadnej przepustnicy"
SIX_POSITIONS_SWITCH,"Przełącznik 6-poz"
GYRO_X_AXIS,"Żyro oś X"
GYRO_Y_AXIS,"Żyro oś Y"
AILERON_LETTER,"L"
RUDDER_LETTER,"K"
ELEVATOR_LETTER,"W"
THROTTLE_LETTER,"G"
NOT,"NOT"
STICKY,"Sticky"
MIDDLE,"Middle"
NO_CHECK,"Ignoruj"
CUSTOM,"Użytkownika"
HOLD,"Utrzymuj"
NO_PULSES,"Brak impulsów"
NOT_SET,"Nie ustawiono"
NO_ENGINE,"Bez motoru"
NO_FLAPS,"Bez klap"
NO_RUDDERS,"Bez steru kierunku"
NO_ELEVATORS,"Bez steru wysokości"
NO_AILERONS,"Bez lotek"
CHANNELS_1,"1 kanał"
CHANNELS_2,"2 kanały"
CHANNELS_3,"3 kanały"
CHANNELS_4,"4 kanały"
BEEP,"Sygnał"
IN_RANGE,"in range"
REPLACE,"Zamiana"
USE_A_SOURCE,"Use a source"
CONVERT_TO_VALUE,"Convert to value"
SPECIAL,"Specjalne"
MAXIMUM,"Maximum"
MINIMUM,"Minimum"
MOMENTARY,"Chwilowy"
TWO_POS,"2-POS"
THREE_POS,"3-POS"
GYRO_CALIBRATION_PLACE_LEVEL,"Połóż radio POZIOMO i wybierz przycisk poniżej"
GYRO_CALIBRATION_LEFT,"Przechyl radio w LEWO i wybierz przycisk poniżej"
GYRO_CALIBRATION_RIGHT,"Przechyl radio w PRAWO i wybierz przycisk poniżej"
GYRO_CALIBRATION_NOSE_UP,"Pochyl radio DO GÓRY i wybierz przycisk poniżej"
GYRO_CALIBRATION_NOSE_DOWN,"Pochyl radio W DÓŁ i wybierz przycisk poniżej"
DEFAULT,"Domyślny"
STRENGTH,"Siła"
AM,"AM"
PM,"PM"
PLAY_VARIO,"Dźwięki wario"
RF_ALWAYS_OFF,"Tryb specjalny, RF zawsze wyłączone"
STAB_FUNC,"Funkcja stabilizacji"
RX_PROTOCOL,"Protokół RX"
NO_MAP,"Brak mapowania"
DIRECTION,"Kierunek"
CLOCKWISE,"Zgodny z wsk. zegara"
ANTICLOCKWISE,"Przeciwny do wsk. zegara"
PWM_PULSE_TYPE,"Standard sygnału PWM"
BASIC_CONFIG,"Konf. podst."
RX1_MAP,"Mapowanie RX1"
RX2_MAP,"Mapowanie RX2"
RX3_MAP,"Mapowanie RX3"
ALL_FREQUENCY,"Wszystkie częstotliwości"
STICKS_NAME,"Nazwy drążków"
CHANNELS_COUNT,"Ilość kanałów"
EXT,"Zew."
INT,"Wew."
PLACE_RECEIVE_LEVEL,"Place your receiver horizontal,\ntop side up."
PLACE_RECEIVE_LEVEL_REVERSE,"Place your receiver horizontal,\ntop side down."
PLACE_RECEIVE_LEFT,"Place your receiver vertical,\npins up."
PLACE_RECEIVE_RIGHT,"Place your receiver vertical,\npins down."
PLACE_RECEIVE_FORWARD,"Place your receiver legible\nlettering, pins right."
PLACE_RECEIVE_BACKWARD,"Place your receiver not legible\nlettering, pins left."
ADD_A_NEW_WEIGHT,"+ Dodaj nową wagę"
ADD_A_NEW_CURVE,"+ Dodaj nową krzywą"
AUDIO,"Audio"
VOICE,"Voice"
VAR,"Wartość"
VOLUME,"Głośność"
SAVE_TO_FLASH,"Zapisz do Flash"
SAVE_TO_FLASH_MESSAGE,"Ustawienia zostały zapisane do pamięci Flash"
TIMER_GENERATOR,"Generator Impulsów"
CONFIRM_CLEAR_CHANNEL_DDD_NAME,"Kanał %d nie jest używany przez żadną linię miksera.\nCzy wyczyścić jego nazwę?"
EDIT_SSS,"%s Edytuj"
RESET_SSS,"%s Reset"
OPTIONS_3DOTS,"Opcje..."
QUESTION_COPY_CHANNEL_NAME,"Ten kanał nie ma nazwy.\nChcesz skopiować nazwę z odpowiadającej mu linii miksera?"
FLY_BAR_LESS,"Flybarless"
WING_RUD_ELE_AIL,"Wing Rud Ele Ail"
WING_FLYING,"Wing Delta Ail/ Wing Flying"
WING_VTAIL_AIL,"Wing VTail Ail"
LEVEL,"Level"
LEVEL_REVERSED,"Level Reversed"
UPRIGHT,"Upright"
UPRIGHT_REVERSED,"Upright Reversed"
WING_TYPE,"Wing Type"
MOUNTING_TYPE,"Mounting Type"
SXR_ENABLE,"SXR Enable"
AIL_INVERTED,"Ail Inverted"
AIL2_INVERTED,"Ail2 Inverted"
ELE_INVERTED,"Ele Inverted"
ELE2_INVERTED,"Ele2 Inverted"
RUD_INVERTED,"Rud Inverted"
AUX1_ENABLE,"AUX1 Enable"
AUX2_ENABLE,"AUX2 Enable"
QUICK_MODE,"Quick Mode"
SELF_CHECK,"Self Check"
STAB_GAIN_OF_AIL,"Stabilize Gain of Ail"
STAB_GAIN_OF_ELE,"Stabilize Gain of Ele"
STAB_GAIN_OF_RUD,"Stabilize Gain of Rud"
AUTO_LEVEL_GAIN_OF_AIL,"Auto Level Gain of Ail"
AUTO_LEVEL_GAIN_OF_ELE,"Auto Level Gain of Ele"
HOVER_GAIN_OF_ELE,"Hover Gain of Ele"
HOVER_GAIN_OF_RUD,"Hover Gain of Rud"
KNIFE_EDGE_GAIN_OF_AIL,"Knife-edge Gain of Ail"
KNIFE_EDGE_GAIN_OF_RUD,"Knife-edge Gain of Rud"
AUTO_LEVEL_OFFSET_OF_AIL,"Auto Level Offset Angle of Ail"
AUTO_LEVEL_OFFSET_OF_ELE,"Auto Level Offset Angle of Ele"
HOVER_OFFSET_ANGLE_OF_ELE,"Hover Offset Angle of Ele"
HOVER_OFFSET_ANGLE_OF_RUD,"Hover Offset Angle of Rud"
KNIFE_EDGE_OFFSET_OF_AIL,"Knife-edge Offset Angle of Ail"
KNIFE_EDGE_OFFSET_OF_RUD,"Knife-edge Offset Angle of Rud"
OUTPUT_VOLTAGE,"Napięcie wyjściowe"
LIPO_VOLTAGE,"Lipo Voltage"
RB_10_20,"RB 10/20"
ALTITUDE_DATA_RATE,"Odświeżanie danych - wysokość"
VARIO_DATA_RATE,"Odświeżanie danych - wario"
CURRENT_DATA_RATE,"Odświeżanie danych - prąd"
VOLTAGE_DATA_RATE,"Odświeżanie danych - napięcie"
RPM,"RPM"
POLES_COUNT,"Ilość biegunów"
NEED_FIRMWARE_UPDATE,"Wymagana aktualizacja firmware"
SYSTEM_VALUE,"Wartości systemowe"
GPS_CLOCK,"GPS Clock"
RACING_MODE_ACTIVE,"Tryb wyczynowy aktywny"
RACING_MODE_IS_UNSUPPORTED,"Tryb wyczynowy nie wspierany"
POTS_SLIDERS,"Pot. / Suwaki"
STICKS_POTS_SLIDERS,"Drążki / Pot. / Suwaki"
WRITE_INTERVAL,"Interwał zapisu"
TX_BATT,"TxBatt"
AVERAGE,"Średnia"
TOTALIZE,"Sumuj"
CELL,"Ogniwo"
CONSUMPTION,"Zużycie"
DISTANCE,"Odległość"
FALLING_EDGE_OF_SSS_BETWEEN_SSS_AND_SSS,"↑↓Pulse of %s between %s and %s"
RISING_EDGE_OF_SSS_DURING_SSS,"%s after ↑Edge of %s"
FALLING_EDGE_OF_SSS_DURING_SSS,"↓Edge of %s during %s"
FALLING_EDGE_OF_SSS,"↓Edge of %s"
RISING_EDGE_OF_SSS,"↑Edge of %s"
STALL,"Stall"
EDITABLE_SRV_DDD_CURR,"SRV%d Curr"
EDITABLE_SRV_DDD_VOLT,"SRV%d Volt"
EDITABLE_SRV_DDD_TEMP,"SRV%d Temp"
EDITABLE_SRV_DDD_STATUS,"SRV%d Status"
CONDITION,"Condition"
TIMER_LOGS,"Timer Logs"
SAVE_TO_SD,"Zapsz na SD"
CLEAR_LOGS,"Wyczyść logi"
TITLE,"Title"
LOWEST,"Lowest"
COUNT,"Ilość"
HIGHEST,"Highest"
BLADES,"Blades"
MAINGEAR_TEETH,"Maingear teeth"
PINION_TEETH,"Pinion teeth"
GEAR,"Gear"
PROPELLER,"Propeller"
FLIGHT_VALUE,"Flight value"
CURRENT_FLIGHT_MODE,"Aktualna F.L."
NO_DESTINATION,"No destination"
ENT_LONG,"ENT Długi"
RX_STILL_ON_TURN_OFF_TRANSMITTER,"Rx is still ON, turn off the transmitter ?"
CONFIRM_RESET_SENSOR,"The value of this sensor will be reset.\nAre you sure you want to continue?"
GPS_MAP,"GPS Map"
MAP,"Map"
SYSTEM_EVENT,"Zdarzenia"
RSSI_LOW,"Niskie RSSI"
TRAINER_ACTIVE,"Trainer active"
MULTIPLIER,"Multiplier"
VERTICAL,"Vertical"
HORIZONTAL,"Horizontal"
TOTAL,"Total"
CELLS,"Cells"
MULTI_LIPO,"Multi LiPo"
LIPO,"LiPo"
LINE_CHART,"Line Chart"
LOG_PERIOD,"Log Period"
RESUME,"Resume"
PAUSE,"Pause"
AUTO_RANGE,"Auto Range"
LOCK,"Priorytet"
Xx2POS,"{HARDWARE_FUNCTION_SWITCHES} x 2-poz"
XPOS_WITH_OFF,"{HARDWARE_FUNCTION_SWITCHES}-poz z WYŁ"
XPOS,"{HARDWARE_FUNCTION_SWITCHES}-poz"
2xXPOS,"2 x {HARDWARE_FUNCTION_SWITCHES_PER_SIDE}-poz"
GLOBAL,"Globalna"
_2DOTS,": "
SUMMARY,"Summary"
CONFIRM_STOP_USING_CURVE,"Are you sure you want to stop using this curve?"
CONFIRM_STOP_USING_RATE,"Are you sure you want to stop using this rate?"
PATTERN,"Pattern"
LAST_POSITION,"Jako ostatni"
SLEEP_BRIGHTNESS,"Jasność wygaszonego"
TOP_LCD_SLEEP,"Top LCD Sleep"
VIEW_PER_CHANNEL,"View per Channel"
VIEW_TABLE,"Table View"
GENERAL,"General"
RX_STILL_ON_TURN_OFF_RF,"Receiver is still connected.\nAre you sure you want to continue?"
LOAD_ALL_FUNCTION_SWITCH_POSITIONS,"Load all function switches positions","Load all FS positions"
CONFIRM_LOAD_ALL_FUNCTION_SWITCH_POSITIONS,"This operation will override all FS positions with the current ones. Are you sure you want to continue?"
STORAGE_LOCATION,"Storage location"
RADIO,"Radio"
MODELS,"Models"
USER_BITMAPS,"User Bitmaps"
SCRIPTS,"Scripts"
LOGS,"Logs"
SCREENSHOTS,"Screenshots"
PRESSURE,"Pressure"
COLOR,"Color"
CONFIRM_CLEAR_CHANNELS_SSS_NAME,"There are no mixers using channel %s. Do you want to clear the name of these channels?"
CHANNEL_SBUS_VALUE_LIMIT_WARNING,"The new channel value is incompatible with SBUS/redundancy use. Are you sure you want to continue?"
VOLTAGE,"Voltage"
SAVE_TO_FILE,"Save to File"
FLASH_VIDEO_COMPONENT,"Flash Video Component"
RX_BAT_VOLTAGE,"RX Battery Voltage"
RX_BAT_2_VOLTAGE,"RX Battery 2 Voltage"
EXT_ADC_VOLTAGE,"Extern ADC Voltage"
BOARD_CURRENT,"Board Current"
POWER_ON_RESET,"Power On Reset"
PIN_RESET,"Pin Reset"
WAKE_UP_RESET,"Wake Up Reset"
WATCHDOG_RESET,"Watchdog Reset"
LOCKUP_RESET,"Lockup Reset"
BROWN_DOWN_DET_RESET,"Brown Down Detection Reset"
RX_RESET_CASE,"RX Reset Case"
OPERATION_ASSIGN,"Assign(=)"
OPERATION_ADD,"Add(+)"
OPERATION_SUBTRACT,"Subtract(-)"
OPERATION_MULTIPLY,"Multiply(*)"
OPERATION_DIVIDE,"Divide(/)"
OPERATION_MIN,"Min"
OPERATION_MAX,"Max"
REPURPOSE,"Repurpose"
SENSOR_CONFLICT_WARNING,"Sensor Conflict Warning"
NIGHTLY_BUILD_NOT_FOR_FLYING,"Nightly build, not for flying!"
READING_FILE,"Reading file ..."
NOT_ENOUGH_MEMORY,"Not enough memory"
CLEAN_LOGS,"Clean logs"
CONFIRM_CLEAN_LOGS,"This operation will remove all the .csv files under the directory. Are you sure you want to continue?"
CLEANING_LOGS,"Cleaning logs ..."
PAUSE_CONDITION,"Pause condition"
RESET_SETTINGS,"Reset settings"
SWAP_CHANNELS,"Swap channels"
CONFIRM_RESET_SETTINGS,"The settings will be reset to the default values.\nAre you sure you want to continue?"
CONFIRM_SWITCH_EXTERNAL_MODULE,"External module is now used. It will be stopped.\nAre you sure you want to continue?"
CONFIRM_SWITCH_TRAINER,"Trainer is now using the external module. It will be stopped.\nAre you sure you want to continue?"
COMPETITION_OPTION,"Competition (only RSSI and Battery)","Competition (RSSI / Batt)"
CONFIRM_BLUETOOTH_USED_BY_SSS,"Bluetooth is now used by %s. It will be stopped.\nAre you sure you want to continue?"
BOTH_MODULES,"Both modules"
SPORT_CONNECTOR,"S.Port connector"
CONFIRM_SPORT_USED_BY_SSS,"S.Port connector is now used by %s. Are you sure you want to continue?"
TRAINER_CABLE,"Trainer Cable"
BLUETOOTH,"Bluetooth"
SBUS_EXTERNAL_MODULE,"SBUS External Module"
CPPM_EXTERNAL_MODULE,"CPPM External Module"
LUA_TASKS,"Lua Tasks"
LUA_SOURCES,"Lua Sources"
MISSING_SCRIPT_FILE,"Missing script file"
BITMAP,"Bitmap"
BITMAP_TYPE,"Bitmap type"
BITMAP_FILE,"Bitmap file"
FILE_PATH,"File path"
TEXT,"Text"
DOCUMENTS,"Documents"
TELEMETRY_ACTIVE,"Telemetry Active"
FLIGHT_RESET,"Flight reset"
THROTTLE_ACTIVE,"Throttle Active"
USB_MODE_PRESELECTION,"USB Mode Preselection"
USB_MODE,"USB Mode"
JOYSTICK,"Joystick"
SERIAL,"Serial"
SELECT_MODEL_AT_POWER_ON,"Select model at power on"
LOAD_MODEL,"Load model"
COUNTING_SOURCE,"Proportional timing source"
SEND_FILE,"Send file"
FILE_TRANSFER,"File transfer"
RECEIVE_FILE_HERE,"Receive file here"
WAITING_FOR_CONNECTION,"Waiting for connection"
WAITING_FOR_RECEIVER_CONFIRMATION,"Waiting for receiver confirmation..."
FILE_TRANSFER_FAILED,"File transfer failed"
CONFIRM_RECEIVE_FILE_SSS_IN_FOLDER_SSS_SIZE_IS_SSS,"About to receive file %s to folder %s\nFile size is %s"
CONFIRM_OVERWRITE_FILE_SSS_IN_FOLDER_SSS_SIZE_IS_SSS,"About to overwrite file %s in folder %s\nFile size is %s"
SENDING_SSS,"Sending %s..."
RECEIVING_SSS,"Receiving %s..."
SEND_MODEL,"Send model"
RECEIVE_MODEL,"Receive model"
UNIT_KNOT,"wzł"
UNIT_MILLILITER_PER_PULSE,"ml/p"
UNIT_RPM,"r/m"
ARE_YOU_USING_A_FRSKY_SELF_STAB_RECEIVER,"Are you using a self-stab receiver from FrSky?"
ASSIGN_INPUT_HINT,"Please assign input sources for the following functions"
EMERGENCY,"Emergency"
GAIN_ADJUST,"Gain adj."
CONFIRMATION,"Confirmation"
ENABLE_XXX,"Enable %s?"
DISABLE_XXX,"Disable %s?"
CONFIRMATION_BEFORE_ACTIVE,"Confirmation before active"
CONFIRMATION_BEFORE_INACTIVE,"Confirmation before inactive"
REMOTE_NFC,"Remote NFC"
SWITCH_CHANNEL,"Switch channel"
WIRELESS,"Wireless"
TIMEOUT,"Time out"
NO_ENABLED_MODULE,"Please enable the module you want to bind with NFC"
GET_MODULE_UUID_FAILED,"Failed to get module UUID.\nPlease check your module state!"
BIND_NFC_FAILED,"Failed to bind the NFC with the module!"
PROTOCOL_NOT_SUPPORTED,"The current module protocol is not supported!"
CONFIRM_DELETE_TRIM,"Are you sure you want to delete this extra trim?"
LEFT_STICK,"Left stick"
RIGHT_STICK,"Right stick"
ALL_MOTORS,"All motors"
SELECT,"Select"
SINGLE_MOTOR,"Single motor"
STICK_MOTORS,"Stick motors"
CONFIRM_DELETE_ACTION,"Are you sure you want to remove this action?"
CONFIRM_DELETE_SCREEN,"Are you sure you want to remove this screen?"
CONFIRM_DELETE_SENSOR,"Are you sure you want to remove this sensor?"
FILE_ALREADY_EXISTS,"A file with the same name already exists"
MODEL_RUNTIME,"Model runtime"
RADIO_RUNTIME,"Radio runtime"
INVERTED_CHANNELRADIO_RUNTIME,"Radio runtime"
WAITING_FOR_SIGNAL,"waiting for signal..."
CONFIRM_RESET_RUNTIME,"Runtime will be reset.\nAre you sure you want to continue?"
BANK,"Bank"
POWER_SWITCH,"Power switch"
CURRENT_AND_VOLTAGE_RATE,"Current & voltage rate"
BEC_VOLTAGE_RATE,"BEC voltage rate"
SBEC_VOLTAGE,"SBEC voltage"
BATTERY_MODE,"Battery mode"
SWITCH_VOLTAGE,"Switch voltage"
BALANCE,"Balance"
BACKUP,"Backup"
BALANCE_CHANNELS,"Balance channels"
CHOOSE_ANOTHER_CHANNEL,"Choose another channel"
BALANCE_CURVE,"Balance curve"
