TRANSLATION_NAME,"Português"
TRANSLATION_KEY,"pt"
FORMULA,"Formula"
CALCULATED_SENSOR,"Sensor customizado"
NAME,"Nome"
DECIMALS,"Décimais"
VALUE,"Valor"
SENSOR_LOST_WARNING_DELAY,"Alerta sensores perdidos"
WARNING_DISABLED,"Warning Disabled"
RANGE,"Alcance"
SPACE_WITH_SAMPLES," samples"
RESET,"Reiniciar"
TELEMETRY_SENSOR,"Sensor de telemetria"
UNIT,"Unidade"
WRITE_LOGS,"Escritura de registo"
ID,"ID"
CENTER,"Centro"
SUBTRIM,"Subtrim"
PWM_CENTER,"PWM Center"
NORMAL,"Normal"
EQUAL,"Equal"
UNPLUGGED,"Unplugged"
BEHAVIOUR,"Behaviour"
ADD_NEW_BEHAVIOUR,"Add a new behaviour"
ADD_EXTRA_TRIM,"Add an extra trim"
EXTRA_TRIM,"Extra trim"
SLOW_UP,"Acelerar"
MIN,"Min"
CURVE,"Curva"
MAX,"Max"
CHANNEL,"Canal"
INVERT,"Inverter"
SLOW_DOWN,"Desacelarar"
INVERTED,"Invertido"
FLIGHT_MODES,"Modos de voo"
MIX_FLIGHT_MODES_DESCRIPTION,""
MIX_NAME_DESCRIPTION,""
TRIGGER_ON_CONDITION,"Condição para ON"
COMMENT,"Commentário"
FUNCTION,"Função"
VALUES,"Values"
ADD_NEW_VALUE,"+ Add a new value"
ACTIONS,"Actions"
ADD_NEW_ACTION,"+ Add a new action"
DURATION_HIGH,"Duração ativada"
RISING_EDGE,"Bordo ascendente"
DURING,"Durante"
VALUE1,"Valor 1"
VALUE_X,"Valor (X)"
CHECK_INTERVAL,"Freq. verificação"
ACTIVE_CONDITION,"Condição"
MIN_DURATION,"Duração mínima"
MAX_DURATION,"Max duration"
DURATION_LOW,"Duração desativada"
VALUE2,"Valor 2"
DELAY_BEFORE_ACTIVE,"Atraso antes ON"
DURATION,"Duração"
SOURCE_A,"Fonte (A)"
TRIGGER_OFF_CONDITION,"Condição para  OFF"
DELAY_BEFORE_INACTIVE,"Atraso antes OFF"
DELAY_ON_OFF,"Delay ON / OFF"
SOURCE,"Fonte"
APPLICATION_ID,"ID Aplicação"
PHYSICAL_ID,"ID Fisíco"
ACTION,"Acção"
TRAINER,"Trainer"
TRAINER_MODE,"Modo trainer"
CHANNEL_RANGE,"Canais"
CH,"CH"
OUTPUTS,"Saídas"
LAST_MODIFICATION,"Última modificação"
CLONE,"Duplicar"
MODEL_MATCH,"ID Modelo"
MODEL_DATA_LOAD,"A carregar o modelo"
FILE_SIZE,"Tamanho do ficheiro"
MODEL_SELECT,"Sel. modelo"
NO_MODELS_DIRECTORY,"No models directory!"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_MODEL,"Deseja eliminar este modelo ?"
SUCCESS,"Sucesso!"
CLONE_MODEL_SUCCESSFULLY,"Modelo replicado com sucesso!"
FILENAME_TOO_LONG,"Filename too long!"
RX_STILL_ON_SELECT_ANOTHER_MODEL,"Receiver is still ON, are you sure to switch to this model?"
CONFIRM_SELECT_ANOTHER_MODEL,"Are you sure you want to select another model?"
FILE_NAME,"Nome"
MODEL_TYPE,"Tipo de modelo"
CONFIRM,"Confirmar"
SET_CURRENT_MODEL,"Selecionar modelo"
UNCATEGORIZED,"Uncategorized"
CHANGE_FOLDER,"Change Folder"
OPERATION,"Operation"
OPERATION_FAILED,"Operation failed!"
DELETE_FOLDER,"Delete Folder"
RENAME_FOLDER,"Rename Folder"
CREATE_FOLDER,"Create Folder"
CONFIRM_DELETE_FLIGHT_MODE,"Deseja eliminar este modo de voo ?"
MOVE,"Mover"
EDIT,"Editar"
ADD,"Adicionar"
TELEMETRY_PORT,"Porto Telem."
WARNING,"Aviso"
ERRORS,"Errors"
OPTIONS,"Opções"
CONFIGURE,"Configure"
WAITING_FOR_RECEIVER,"À espera do recetor..."
PIN,"Pin"
TELEMETRY,"Telemetria"
RX_SETTINGS,"Parametros RX"
NO_RESPONSE_FROM_RECEIVER,"Sem resposta do recetor"
SBUS_OUT,"SBUS Out"
SBUS_IN,"SBUS In"
TELEMETRY_25_MW,"Telemetria 25mW"
HIGH_PWM_SPEED,"PWM alta velocidade"
FLIGHT_DATA_RECORDER,"Flight Data Record"
RX_HAS_NO_FLIGHT_DATA_RECORD,"Receiver has no flight data recorder."
SENSOR_CONFIG,"Config. sensor"
CONFIRM_DELETE_TIMER,"Deseja eliminar o temporizador ?"
TIMER,"Temporizador"
MODE,"Modo"
PASTE,"Colar"
TIMERS,"Temporizadores"
COPY,"Copiar"
NO_TIMER_HINT,"Sem temporizador. Pressione '+' para criar um !"
ANTENNA,"Antena"
POWER_HAS_BEEN_CHANGED_PLEASE_REBIND,"A tensão foi alterada, por favor, re-emparelhe!"
NO_RESPONSE_FROM_MODULE,"Sem resposta do módulo !"
POWER,"Potência"
BAUDRATE,"Baudrate"
WAITING_FOR_MODULE,"À espera do módulo..."
TX_SETTINGS,"Parametros TX"
MIXES,"Misturas"
CHANNELS,"Canais"
FLIGHT_MODE,"Modo de voo"
D,"D"
CONFIRM_DELETE_MIX,"Deseja eliminar a mistura ?"
CONFIRM_DELETE_SSS,"Are you sure you want to delete %s"
NONE,"Nenhum"
NO_MIX_HINT,"Sem misturas. Pressione '+' para criar uma !"
TYPE,"Tipo"
SHARE,"Partilhar"
RX,"RX"
RACING_MODE,"Modo corrida"
RANGE_CHECK,"Testar alcance","Alcance"
EXTERNAL_MODULE,"Módulo externo"
BIND_OK,"Emparelhagem OK"
BINDING_3DOTS,"Emparelhamento..."
BIND,"Emparelhar"
FAILSAFE,"Failsafe"
INTERNAL_MODULE,"Módulo interno"
SET_FAILSAFE,"Definir failsafe"
RESET_BIND,"Reiniciar emparelhamento"
FACTORY_RESET,"Factory reset"
RF_SYSTEM,"Sistema RF"
OWNER_REGISTRATION_ID,"Registo ID proprietário"
SELECT_DEVICE,"Selectionar periférico"
REGISTER,"Registar"
VALID_FRAME_RATE,"VFR"
STATE,"Estado"
PROTOCOL,"Protocolo"
RSSI,"RSSI"
ARE_YOU_SURE_TO_RESET_THIS_RECEIVER,"Deseja reiniciar o receptor ?"
SET,"Definir"
EXPO,"Expo"
UNIT_POINTS_COUNT,"Pontos"
WEIGHT,"Peso"
POINTS,"Pontos"
OFFSET,"Desfasamento"
AUTO_OFFSET,"Auto offset"
SMOOTH,"Suavizar"
OFFSET_WHEN_ACTIVE,"Offset when active"
OFFSET_WHEN_INACTIVE,"Offset when inactive"
POINT,"Ponto"
POINTS_COUNT,"Num. de pontos"
EASY_MODE,"Modo simples"
LOGIC_SWITCHES,"Interrup. lógicos","Inter. log."
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_LOGIC_SWITCH,"Deseja eliminar o interruptor lógico ?"
NO_LOGIC_SWITCH_HINT,"Sem interruptores lógicos. Pressione '+' para criar um !"
START_CONDITION,"Start condition"
STOP_CONDITION,"Stop condition"
TIMER_EDIT,"Editar temporizador"
PERSISTENT,"Permanente"
START_VALUE,"Valor de início"
AUDIO_ACTIONS,"Audio actions"
AUDIO_ACTION,"Audio action"
ADD_A_NEW_AUDIO_ACTION,"Add a new audio action"
ALARM_VALUE,"Valor de alarme"
HAPTIC,"Vibração"
COUNTDOWN,"Countdown"
BEEP_COUNTDOWN,"Beep countdown"
START,"Start"
PLAY_FILE,"Play File"
SPACE_WITH_OTHERS," outros..."
CONFIRM_DELETE_CURVE,"Deseja eliminar esta curva ?"
CURVE_USED_BY,"Curva usada pelas seguintes misturas :"
AND_WITH_TWO_SPACES," e "
CURVES,"Curvas"
VARS,"Vars"
NO_VAR_HINT,"No var yet. Please press the add button to create one!"
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_VAR,"Are you sure you want to delete this var?"
NO_CURVE_HINT,"Sem curva. Pressione '+' para criar uma !"
CONFIRM_RESET_MIXES,"Esta mudança irá apagar todas as suas misturas. Continuar ?"
ELEVATORS,"Profundidade"
YAW,"Yaw"
SWASH_PLATE,"Prato"
EDIT_MODEL,"Editar modelo"
PICTURE,"Imagem"
TAIL,"Cauda"
AILERONS,"Ailerons"
PITCH,"Pitch"
THROTTLE,"Acelerador"
FLAPS,"Flaps"
ENGINE,"Motor"
RUDDERS,"Deriva"
ROLL,"Roll"
FUNCTION_SWITCHES,"Inter. de função"
RESET_ALL_MIXES,"Apagar todas as misturas"
CREATE_CALCULATED_SENSOR,"Criar sensor customizado"
CONFIRM_DELETE_SENSORS,"Todos os sensores serão removidos. \n Tem a certeza que deseja continuar?"
ON,"Lig."
OFF,"Desl."
DISCOVER_NEW_SENSORS,"Descoberta de sensores"
DELETE_ALL,"Apagar todos"
CREATE_DIY_SENSOR,"Criar Sensor DIY"
CONFIRM_LOAD_ALL_SWITCH_POSITIONS,"Esta operação substituirá todas as posições de verificação dos interruptores pelas posiçoes atuais. Deseja continuar?"
CHECK_FUNCTION,"Funcão verificação"
LOAD_ALL_SWITCH_POSITIONS,"Carregar todas as posições dos interruptores"
CONFIRM_LOAD_ALL_POT_POSITIONS,"Esta operação substituirá todas as posições de verificação dos potenciómetros pelas posiçoes atuais. Deseja continuar?"
LOAD_ALL_POT_POSITIONS,"Carregar todas as posições dos potenciómetros"
CALIBRATION_FINISH,"Calibração terminada !"
SXR_CALIBRATION,"Calibração SxR"
CLICK_WHEN_DONE,"Validar"
CALIBRATING,"Calibração..."
SXR_CALIBRATION_DESCRIPTION,"Calibração do receptor SxR"
SLAVE_CH,"CH escravo"
PERCENT,"Percentagem"
DESTINATION,"Destino"
ENABLE,"Lig."
NO_FUNCTION_HINT,"Sem função. Pressione '+' para criar uma !"
SPECIAL_FUNCTIONS,"Funções especiais"
SF,"SF"
DISABLE,"Desl."
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_SPECIAL_FUNCTION,"Deseja eliminar a função ?"
REGISTRATION_OK,"Registo OK"
UID,"UID"
REGISTRATION_ID,"ID de registo"
RX_NAME,"Nome RX"
RECEIVER_CONNECTED,"Recetor conectado"
REGISTRATION,"Registo"
TRIMS,"Trims"
FADE_IN,"Fade In"
FADE_OUT,"Fade Out"
AUTO_DETECT,"Auto Detect"
DISPLAY_DECIMALS_AND_UNIT,"Precisão Ecrã / Unidade"
SELECT_SENSOR,"Selecionar Sensor"
DIY_SENSOR,"Sensor DIY"
WAITING,"A aguardar"
BAND,"Banda"
RATIO,"Rácio"
MODULE,"Modulo"
PROTOCOL_DECIMALS_AND_UNIT,"Precisão Protocolo / Unidade"
CROSS_TRIM,"Trims cruzados"
MOVE_TRIM_TO_SUBTRIM,"Move trim to subtrim"
INSTANT_TRIM,"Instant trim"
CONFIRM_MOVE_TRIM_TO_SUBTRIM,"Confirm move trim to subtrim?"
MOVE_TRIMS_TO_SUBTRIMS,"Move trims to subtrims"
CONFIRM_MOVE_TRIMS_TO_SUBTRIMS,"Confirm move trims to subtrims?"
INDEPENDENT_PER_FLIGHT_MODE,"Trim por modo de voo"
STICK,"Stick"
CONFIGURE_SCREENS,"Configurar ecrãs"
TOP_SCREEN,"Top Screen"
CHANGE_LAYOUT,"Change Layout"
FULL_SCREEN,"Full Screen"
WIDGET,"Widget"
SET_MAIN_SCREEN,"Definir ecrã principal"
CONFIGURE_WIDGET,"Configurar widget"
NEW_SCREEN,"Novo ecrã"
SCREEN,"Ecrã"
CHANGE_WIDGET,"Alterar o widget","Alterar"
MOVE_FORWARD,"← Mover para frente"
MOVE_BACKWARD,"→ Mover para trás"
RESET_FLIGHT,"Reset voo"
RESET_TIMERS,"Reset Temporizadores"
RESET_TELEMETRY,"Reset Telemetria"
HOME,"Principal"
ADD_AFTER,"Adicionar após..."
ADD_MIX_FAILED,"Erro a adicionar mistura !"
MAX_MIXES_REACHED,"Número máximo de misturas atingido!"
FIRST_POSITION,"Primeira posição"
MIXES_LIBRARY,"Biblioteca"
LOCAL_ADDRESS,"Endereço local"
WAITING_FOR_DEVICES,"A aguardar por periféricos..."
LOCAL_NAME,"Nome local"
SEARCH_DEVICES,"Procurar periféricos"
BLUETOOTH_DEVICE_CONNECTED,"Periférico bluetooth conectado"
CONNECT_LAST_DEVICE,"Conectar a periférico anterior"
NO_BLUETOOTH_DEVICE_FOUND,"Sem periférico bluetooth detetado !"
SPEAKER_MUTE,"Desativar altifalante"
DISCONNECT,"Desconectar"
WAITING_FOR_DEVICE,"Desconexão em curso"
DIST_ADDRESS,"Endereço distante"
CONNECTING,"Conexão em curso"
RESET_MODULE,"Reiniciar módulo"
HIGH_SPEED,"High Speed"
NORMAL_SPEED,"Normal Speed"
MODEL,"Modelo"
CHECKLIST,"Checklist"
FILE_MANAGER,"Ficheiros"
SOUND,"Som e Vibr."
STICKS,"Sticks"
DATE_TIME,"Data e Hora"
HARDWARE,"Hardware"
INFO,"Info"
SERIAL_NUMBER,"Serial number"
RESET_FACTORY_SETTINGS,"Reset factory settings"
CONFIRM_RESET_FACTORY_SETTINGS,"Reset factory settings?"
SYSTEM,"Sistema"
DISPLAY,"Ecrã"
KEYBOARD,"Keyboard"
ENABLE_SLIDER,"Enable slider"
DISABLE_SLIDER,"Disable slider"
ALERTS,"Alertas"
SPECTRUM_ANALYSER,"Analisador de espectros"
BATTERY,"Bateria"
CHECKLIST_WARNING,"Alerta checklist"
RADIO_IS_IN_SILENT_MODE,"Rádio em modo silêncioso"
RADIO_BATTERY_IS_LOW,"Tensão bateria do rádio baixa"
THROTTLE_IS_NOT_IDLE,"Stick do acelerador alto"
ARE_NOT_IN_SAFE_POSITION," são na posição errada"
IS_NOT_IN_SAFE_POSITION," é na posição errada"
FUNCTION_SWITCHES_ARE_NOT_IN_SAFE_POSITION,"Function switches are not in safe position"
FAILSAFE_IS_NOT_SET,"Failsafe não definido"
RTC_BATTERY_IS_LOW,"Tensão bateria RTC baixa"
ALWAYS_ON,"Sempre ligado"
YES,"Sim"
DIGITAL_RSSI,"RSSI numérico"
GYRO,"Gyro"
LANGUAGE,"Língua"
SWITCHES,"Interruptores"
TOP_TOOLBAR,"Barra superior"
NO,"Não"
BRIGHTNESS,"Luminosidade"
KEYS,"Toques"
WAKE_UP,"Activar"
DIGITAL_VOLTAGE,"Tensão digital"
SLEEP,"Hibernar"
SYSTEM_ALERTS,"Alertas do sistema"
INACTIVITY,"Inactividade"
AUTO_ADJUST_FROM_GPS,"Auto ajuste a partir do GPS"
DATE,"Data"
ADJUST_RTC_SPEED,"Adjust RTC speed"
SHOW_SECONDS,"Mostrar segundos"
IS24HOUR,"Formato horário 24h"
TIME_ZONE,"Fuso horário"
YEAR,"Ano"
MONTH,"Mês"
TIME,"Hora"
NEXT,"Seguinte"
GYRO_CALIBRATION,"Calibração do gyro"
PREV,"Anterior"
MDL_LONG,"MDL Long"
HARDWARE_CHECK,"Verificação hardware"
SWITCHES_SETTINGS,"Configurações dos Interruptores"
ADC_INSPECTOR,"Analógico"
SYS_LONG,"SYS Long"
HOME_KEYMAP,"Home Keymap"
POTS_SLIDERS_SETTINGS,"Configurações dos Pots/Sliders"
SWITCH_MIDDLE_DETECT_DELAY,"Atraso deteção do centro do inter."
DISP_SHORT,"{DISP_LABEL} Short"
DISP_LONG,"{DISP_LABEL} Long"
SWITCH,"Interruptor"
ANALOGS_FILTER,"Filtro Analógico"
ANALOGS_CALIBRATION,"Calibrar entradas"
CONFIRM_CONTINUE,"Continuar ?"
THR_NOT_LOW_WARNING,"Reduza o acelerador !"
CHANNELS_ORDER,"Ordem dos canais"
STICKS_MODE,"Modo"
STICKS_MODE_1,"Sticks mode 1"
STICKS_MODE_2,"Sticks mode 2"
STICKS_MODE_3,"Sticks mode 3"
STICKS_MODE_4,"Sticks mode 4"
FIRST_FOUR_CHANNELS_FIXED,"Primeiros quatro canais fixos"
NO_SD_CARD,"Sem cartão SD"
FLASH_BOOTLOADER,"Flash Bootloader"
FLASH_INTERNAL_MODULE,"Flashar o módulo interno"
PLAY,"Tocar"
CURRENT_VERSION,"Versão atual"
FLASH_RECEIVER_BY_INTERNAL_MODULE_OTA,"Flashar RX por OTA int."
FLASH_RECEIVER_BY_EXTERNAL_MODULE_OTA,"Flash RX by ext. OTA"
OTA_UPDATE,"Atualização OTA"
FLASH_EXTERNAL_DEVICE,"Flashar periférico externo"
OPEN,"Abrir"
FLASH_EXTERNAL_MODULE,"Flashar o modulo externo"
FLASH_EXTERNAL_MULTIMODULE,"Flash external multimodule"
MOVE_HERE,"Mover para aqui"
OTA_UPDATE_ERROR,"Erro a atualizar via OTA"
UNSUPPORTED_RX,"RX não suportado"
MAIN_VOLTAGE,"Tensão Rádio"
DISPLAY_VOLTAGE_RANGE,"Gama de tensão do icone"
LOW_VOLTAGE,"Valor de alarme para bateria fraca"
RTC_VOLTAGE,"Tensão Pilha RTC"
UNKNOWN,"Desconhecido"
FIRMWARE,"Firmware"
FIRMWARE_VERSION,"Versão firmware"
VIDEO_HARDWARE_VERSION,"Video Hardware Version"
RECEIVER,"Receptor"
NON_STABILIZED_RECEIVER,"Non stabilized receiver"
VARIO,"Vario"
MAIN_VOLUME,"Volume principal"
AUDIO_VOLUME,"Volume"
PITCH_AT_ZERO,"Tonalidade a zero"
SEQUENCE,"Sequence"
PITCH_AT_MAX,"Tonalidade máxima"
REPEAT_AT_ZERO,"Repetição"
FIXED_WING,"Avião"
GLIDER,"Planador"
HELI,"Hélicoptero"
MULTI,"Multi"
OTHER,"Outro"
CALIBRATION,"Calibração"
INPUTS,"Entradas"
UPDATE,"Atualizar"
SDCARD,"Cartão SD"
SDCARD_ERROR,"Erro no Cartão SD"
INVALID_DATA,"Dados inválidos"
FILE_BAD_FORMAT,"Ficheiro desconhecido"
NO_FILES_ON_SD,"Sem ficheiros no cartão SD !"
READ_ERROR,"Erro de leitura"
WRITE_ERROR,"Erro de escrita"
WRONG_HEADER,"Cabeçalho errado"
WRONG_FORMAT,"Formato incorreto"
WRONG_CRC,"CRC incorrecto"
WRONG_FILE_SIZE,"Tamanho de ficheiro incorreto"
WRONG_FILE,"Ficheiro incorreto"
ERROR,"Erro"
RUDDER,"Deriva"
ELEVATOR,"Profundidade"
DELETE,"Eliminar"
MODEL_BITMAP,"Imagem do modelo"
TAIL_TYPE,"Tipo de cauda"
TRADITIONAL,"Tradicional"
VTAIL,"Cauda em V"
REVERSE,"Inverter"
RATE,"Rate"
UP,"Cima"
DOWN,"Baixo"
RIGHT,"Right"
LEFT,"Left"
TOP,"Top"
BOTTOM,"Bottom"
TIMER_UP,"Cima"
TIMER_DOWN,"Baixo"
LIMIT,"Limite"
SPEED,"Velocidade"
SET_DATE,"Definir a data"
SET_TIME,"Definir a hora"
SILENT_MODE,"Modo silêncioso"
KEY,"Toque"
ALARM,"Alarme"
TRIM,"Trim"
SETUP_CHANNEL,"Definir canais"
LOGIC_SWITCH,"Interruptores lógicos"
CREATE_MODEL,"Criar modelo"
CANCEL,"Cancelar"
DELAY,"Atraso"
SAVE,"Gravar"
LS,"LS"
FS,"FS"
OP,"OP"
TRAINER_MASTER,"Mestre"
TRAINER_SLAVE,"Escravo"
LINK_MODE,"Ligação"
TRAINEE_CHANNEL,"Canal de treino"
SUNDAY,"Domingo"
MONDAY,"Segunda"
TUESDAY,"Terça"
WEDNESDAY,"Quarta"
THURSDAY,"Quinta"
FRIDAY,"Sexta"
SATURDAY,"Sábado"
JANUARY,"Janeiro"
FEBRUARY,"Fevereiro"
MARCH,"Março"
APRIL,"Abril"
MAY,"Maio"
JUNE,"Junho"
JULY,"Julho"
AUGUST,"Agosto"
SEPTEMBER,"Setembro"
OCTOBER,"Outubro"
NOVEMBER,"Novembro"
DECEMBER,"Dezembro"
RECEIVER_TYPE,"Tipo de recetor"
BACK,"Retroceder"
INTERNAL,"Interno"
EXTERNAL,"Externo"
RF_PROTOCOL,"Protocolo RF"
EXTERNAL_RF,"RF Externo"
LOGIC_SWITCH_RANGE,"Intervalo"
PLAY_SEQUENCE,"Tocar ficheiro"
WAIT_DURATION,"Wait duration"
WAIT_CONDITION,"Wait condition"
CONFIRM_DELETE_LINE,"Are you sure you want to delete this line?"
ADD_A_NEW_LINE_IN_SEQUENCE,"Add a new line in sequence"
PLAY_TEXT,"Play text"
GO_TO_SCREEN,"Go to screen"
LOCK_TOUCHSCREEN,"Lock touchscreen"
BLANK,"Vazio"
CALIBRATE,"Calibrar"
CLICK_CALIBRATE_TO_START,"Pressione 'Calibrar' para começar"
CENTER_STICKS_POTS_SLIDERS_AND_CLICK_NEXT,"Centre os sticks/pots e pressione 'Seguinte'"
MOVE_STICKS_POTS_SLIDERS_AND_CLICK_NEXT,"Mova os sticks/pots em todas as direçoes e pressione 'Seguinte'"
CALIBRATION_COMPLETE_CLICK_CONFIRM_TO_STORE,"Calibração concluída, pressione 'Confirmar' para sair"
BACKLIGHT,"Retro-iluminação"
DARK_MODE,"Dark Mode"
HIGHLIGHT_COLOR,"Highlight Color"
MODEL_NAME,"Nome"
NO_AIRBRAKES,"Sem travões"
SWR,"SWR"
CURRENT,"Corrente"
VFAS,"VFAS"
TEMPERATURE_2,"Temp2"
TEMPERATURE_1,"Temp1"
FUEL,"Combustivel"
ACCX,"AccX"
ACCY,"AccY"
ACCZ,"AccZ"
GPS_ALT,"Alt. GPS"
GPS_SPEED,"Velocidade GPS"
GPS_COURSE,"Curso GPS"
AIR_SPEED,"Velocidade Ar"
BATTERY_1_VOLTAGE,"Bat1 Voltage"
BATTERY_1_CURRENT,"Bat1 Current"
BATTERY_2_VOLTAGE,"Bat2 Voltage"
BATTERY_2_CURRENT,"Bat2 Current"
RBOX_STATE_1,"RBOX S1"
RBOX_STATE_2,"RBOX S2"
BATTERY_1_CONSUMPTION,"Bat1 Cons."
BATTERY_2_CONSUMPTION,"Bat2 Cons."
BATTERY_1_TEMPERATURE,"Bat1 temp."
BATTERY_2_TEMPERATURE,"Bat2 temp."
SD1_CHANNEL,"SD1CH"
ESC_VOLTAGE,"Volt ESC"
ESC_CURRENT,"Corrente ESC"
ESC_RPM,"ESC RPM"
ESC_CONSUMPTION,"Cons. ESC"
ESC_TEMPERATURE,"Temp. ESC"
RB_OUTPUT_STATE,"Output State"
RB_CH1_A,"CH1 Current"
RB_CH2_A,"CH2 Current"
RB_CH3_A,"CH3 Current"
RB_CH4_A,"CH4 Current"
RB_CH5_A,"CH5 Current"
RB_CH6_A,"CH6 Current"
RB_CH7_A,"CH7 Current"
RB_CH8_A,"CH8 Current"
RB_CH9_A,"CH9 Current"
RB_OUTPUT_1_VOLTAGE,"Output1 Voltage"
RB_OUTPUT_2_VOLTAGE,"Output2 Voltage"
GASSUIT_TEMP1,"GASS Temp1"
GASSUIT_TEMP2,"GASS Temp2"
GASSUIT_SPEED,"GASS RPM"
GASSUIT_RES_VOL,"GASS Vol. Res."
GASSUIT_RES_PERC,"GASS Res. %"
GASSUIT_FLOW,"GASS débito"
GASSUIT_MAX_FLOW,"GASS débito máx"
GASSUIT_AVG_FLOW,"GASS débito médio"
BEC_VOLTAGE,"BEC Voltage"
BEC_CURRENT,"BEC Current"
R9M_POWER,"Pot. R9M"
OK,"OK"
FLAP,"Flaps"
AIRBRAKE,"Travões"
FILE,"Ficheiro"
FLASH_SPORT,"Flashar por S.Port"
PLAY_VALUE,"Reproduzir valor"
CATEGORY,"Categoria"
MEMBER,"Fonte"
ANALOGS,"Analogicos"
SWITCHES_POSITIONS,"Inter. de posição"
TRIMS_POSITIONS,"Trims de posição"
CONST_VALUE,"Constante"
SLIDER_LEFT,"Potentiometro esquerdo"
SLIDER_RIGHT,"Potentiometro direito"
RIGHT_HORIZONTAL,"Horizontal direito"
TRIM_RIGHT_HORIZONTAL_LEFT,"Trim DHG"
TRIM_RIGHT_HORIZONTAL_RIGHT,"Trim DHD"
RIGHT_VERTICAL,"Vertical direito"
TRIM_RIGHT_VERTICAL_UP,"Trim DVH"
TRIM_RIGHT_VERTICAL_DOWN,"Trim DVB"
LEFT_VERTICAL,"Vertical esquerdo"
TRIM_LEFT_VERTICAL_UP,"Trim GVH"
