TRANSLATION_NAME,"Português"
TRIM_LEFT_VERTICAL_DOWN,"Trim GVB"
LEFT_HORIZONTAL,"Horizontal esquerdo"
TRIM_LEFT_HORIZONTAL_LEFT,"Trim GHG"
TRIM_LEFT_HORIZONTAL_RIGHT,"Trim GHD"
TRIM_T5_LEFT,"T5 G"
TRIM_T5_RIGHT,"T5 D"
TRIM_T6_LEFT,"T6 G"
TRIM_T6_RIGHT,"T6 D"
TRIM_T5_DOWN,"T5 B"
TRIM_T5_UP,"T5 H"
TRIM_T6_DOWN,"T6 B"
TRIM_T6_UP,"T6 H"
DIFFERENTIAL,"Diferencial"
SLOW,"Slow"
MULTIPLY,"Multiplicação"
WEIGHT_UP,"Peso cima"
WEIGHT_DOWN,"Peso baixo"
OUTPUT,"Saídas"
CLOSE,"Fechar"
FLASHING,"Atualização em curso..."
RESET_DEVICE,"Reiniciar periférico..."
LOW_BATTERY,"Bateria do rádio fraca!"
VOLTAGE_CALIBRATION,"Calibrar a tensão"
STARTING_MODEL_WIZARD,"A iniciar o assistente..."
RADIO_DATA_LOAD,"A carregar os parametros"
DEFAULT_SYSTEM_SETTINGS_RESTORED,"Parametros por defeito carregados."
FLIGHT_MODE_SHORT,"MV"
PREFLIGHT_WARNING,"Avisos pré-voo"
NEW_MODEL,"Novo"
STARTING_CALIBRATION,"A iniciar a calibração..."
NO_SD_CARD_WARNING,"Alerta falta cartão SD"
ADD_CURVE_ERROR,"Falha ao adicionar curva !"
STEP,"Passo"
AILERON,"Aileron"
SPACE_WITH_CHANNEL," canal"
QUESTION_SWAP_SSS_AND_SSS_CHANNELS_SETTINGS,"Trocar os parametros de %s e %s ?"
INPUT,"Entradas"
ELE_TO_AIL,"Prf => Ail"
THR_CURVE,"Curva de aceleração"
PITCH_CURVE,"Curva de pitch"
THROTTLE_CUT,"Corte de acelerador"
AIL_TO_RUD,"Ail => Der"
ELE_TO_CAMBER,"Prf => Camber"
RUD_TO_AIL,"Der => Ail"
RUD_TO_ELE,"Der => Prf"
AIL_TO_FLAPS,"Ail => Flaps"
FLAPS_TO_ELE,"Flaps => Prf"
FREE_MIX,"Mistura livre"
SNAP_ROLL,"Snap Roll"
TEST_MIX,"Mistura de Teste"
DELAY_UP,"Atraso cima"
DELAY_MID,"Atraso médio"
DELAY_DOWN,"Atraso baixo"
NO_DELAY,"Sem atraso"
V_TAIL,"Cauda em V"
DATA_REFUSED,"Dados recusados"
DEVICE_NOT_RESPONDING,"Sem resposta do periférico"
NO_OUTPUT,"Sem saídas"
WEIGHT_RATES,"Batimentos"
OTHERWISE,"Otherwise"
AUTO,"Auto"
TRIM_STEP_FINE,"Fino"
TRIM_STEP_COARSE,"Grosso"
TRIM_STEP_EXPONENTIAL,"Exponencial"
TRIM_STEP_EXTRA_FINE,"Extra fino"
TRIM_STEP_MEDIUM,"Médio"
TRIM_STEP_CUSTOM,"Personalisado"
SCREENSHOT,"Fogografia do ecrã"
SILENT,"Silêncioso"
ALARMS_ONLY,"Alarmes"
OFTEN,"Frequentemente"
ALWAYS,"Sempre"
NEVER,"Never"
WHEN_TELEMETRY_STREAMING,"When telemetry streaming"
VOICE1,"Voice 1 (Main)"
VOICE2,"Voice 2"
VOICE3,"Voice 3"
NEGATIVE,"Negativo"
POSITIVE,"Positivo"
THROTTLE_HOLD,"Manter acelerador"
TRIGGER_VALUE,"Valor disparo"
IDLE_OUTPUT_VALUE,"Valor ralantim"
LOW_POSITION_TRIM,"Trim ralantim"
AND,"E"
OR,"OU"
XOR,"ExOU"
SENSORS,"Sensores"
VARIOMETER,"Vario"
ALARMS,"Alarmes"
SENSOR,"Sensor"
RX_BATT,"RxBatt"
RX_CURRENT,"RxCurrent"
ALTITUDE,"Altitude"
VSPEED,"Vario"
SELECT_LANGUAGE,"Escolha o idioma"
ONCE,"Uma vez"
FLIGHT_DATA,"Dados de voo"
ALL_TIMERS,"Todos os temporizadores"
WHOLE_TELEMETRY,"Toda a telemetria"
REPEAT,"Repetição"
WAV_FILE,"Ficheiro Wav"
BUTTERFLY,"Borbuleta"
CAMBER,"Cambre"
PITCH_TO_RUD,"Pit => Der"
MISSING_BASIC_MIX,"Mistura de base em falta"
MISSING_ENOUGH_CHANNEL,"Número insuficiente de canais disponíveis"
NOT_SUIT_FOR_THIS_MODEL,"Esta mistura não é adequada para o seu modelo"
THR_TO_ELE,"Ace => Prf"
THR_TO_RUD,"Ace => Der"
TEMPERATURE,"Temperatura"
DATA_RATE,"Freq. dados"
GPS,"GPS"
GAS_SUITE,"Gas Suite"
FLOW_RESET,"Flow reset"
CDI_OFF_SPEED_LIMIT,"CDI off speed limit"
FLOW_PULSE,"Pulso de fluxo"
AUTO_RESET,"Auto Reset"
RESET_RESIDUAL_VOLUME,"Reset residual volume"
RESET_MAX_FLOW,"Reset max flow"
RESET_AVERAGE_FLOW,"Reset average flow"
VOLUME_ALARM,"Alarme volume"
MAX_FLOW_ALARM,"Alarme débito máx"
OVER_SPEED_ALARM,"Over speed alarm"
FLOW_TRIGGER,"Disparo do fluxo"
FACTORY_SETTING,"Paramatros de fábrica"
OVER_TEMP1_ALARM,"Over temp1 alarm"
OVER_TEMP2_ALARM,"Over temp2 alarm"
TEMPERATURE_UNIT,"Temp Graus"
AUTO_SAVE,"Auto Save"
GPS_POSITION_DATA_RATE,"Frequencia position GPS"
GPS_ALTITUDE_DATA_RATE,"Frequencia altitude GPS"
GPS_SPEED_DATA_RATE,"Frequencia velocidade GPS"
GPS_COURSE_DATA_RATE,"Frequencia rota GPS"
GPS_TIME_DATA_RATE,"Frequencia hora GPS"
RB_30_40,"RB 30/40"
EW,"EO"
NS,"NS"
DEFAULT_FLIGHT_MODE,"Modo de voo padrão"
SKIP_ON_STARTUP,"Não mostrar no arranque"
LOW_VALUE_WARNING,"Valor baixo"
CRITICAL_VALUE,"Valor critico"
UPGRADE_MODULE,"Atualização do módulo"
AUTHENTICATION_FAILURE,"Erro de autenticação"
MODULE_NEEDS_UPGRADE,"Atualização do módulo necessária"
CLEAR,"Limpar"
MIX_SWITCH_DESCRIPTION,""
MIX_WEIGHT_DESCRIPTION,""
MIX_CURVE_DESCRIPTION,""
MIX_DIFFERENTIAL_DESCRIPTION,""
MIX_OUTPUT_DESCRIPTION,""
MIX_INPUT_DESCRIPTION,""
MIX_OPERATION_DESCRIPTION,""
MIX_REVERSE_DESCRIPTION,""
MIX_OFFSET_DESCRIPTION,""
MIX_WEIGHTUP_DESCRIPTION,""
MIX_WEIGHTDOWN_DESCRIPTION,""
MIX_SPEEDUP_DESCRIPTION,""
MIX_SPEEDDOWN_DESCRIPTION,""
MIX_LOWPOSTRIM_DESCRIPTION,"Trim ativo apenas para marcha lenta"
HELI_PITCH,"Pitch"
HELI_GYRO,"Gyro"
MISSING_THROTTLE,"O modelo não tem motor"
SIX_POSITIONS_SWITCH,"Interruptor 6-POS"
GYRO_X_AXIS,"Eixo Gyro X"
GYRO_Y_AXIS,"Eixo Gyro Y"
AILERON_LETTER,"Ai"
RUDDER_LETTER,"D"
ELEVATOR_LETTER,"P"
THROTTLE_LETTER,"Ac"
NOT,"Não"
STICKY,"Fixo"
EDGE,"Bordo"
MIDDLE,"Meio"
NO_CHECK,"Sem verificação"
CUSTOM,"Person."
HOLD,"Manter"
NO_PULSES,"Sem pulsos"
NOT_SET,"Não definido"
NO_ENGINE,"Sem motor"
NO_FLAPS,"Sem flaps"
NO_RUDDERS,"Sem deriva"
NO_ELEVATORS,"Sem profundidade"
NO_AILERONS,"Sem ailerons"
CHANNELS_1,"1 canal"
CHANNELS_2,"2 canais"
CHANNELS_3,"3 canais"
CHANNELS_4,"4 canais"
BEEP,"Beeps"
IN_RANGE,"Compreendido entre"
REPLACE,"Substituir"
USE_A_SOURCE,"Utilisar uma fonte"
CONVERT_TO_VALUE,"Converter em valor"
SPECIAL,"Especial"
MAXIMUM,"Máximo"
MINIMUM,"Minimo"
MOMENTARY,"Momentary"
TWO_POS,"2-POS"
THREE_POS,"3-POS"
GYRO_CALIBRATION_PLACE_LEVEL,"Coloque o rádio a direito.\nE pressione o botão 'Validar'"
GYRO_CALIBRATION_LEFT,"Vire o rádio para a esquerda.\nE pressione o botão 'Validar'"
GYRO_CALIBRATION_RIGHT,"Vire o rádio para a direita.\nE pressione o botão 'Validar'"
GYRO_CALIBRATION_NOSE_UP,"Vire o rádio para cima.\nE pressione o botão 'Validar'"
GYRO_CALIBRATION_NOSE_DOWN,"Vire o rádio para baixo.\nE pressione o botão 'Validar'"
DEFAULT,"Por defeito"
STRENGTH,"Intensidade"
AM,"AM"
PM,"PM"
PLAY_VARIO,"Tocar vario"
RF_ALWAYS_OFF,"Modo especial, o módulo RF permanecerá Desligado."
STAB_FUNC,"Função de estabilização"
RX_PROTOCOL,"Protocolo RX"
NO_MAP,"Sem mapeamento"
DIRECTION,"Direcção"
CLOCKWISE,"Sentido horário"
ANTICLOCKWISE,"Sentido anti-horário"
PWM_PULSE_TYPE,"Tipo de PWM"
BASIC_CONFIG,"Config. de base"
RX1_MAP,"RX1 Map"
RX2_MAP,"RX2 Map"
RX3_MAP,"RX3 Map"
ALL_FREQUENCY,"Todas as frequências"
STICKS_NAME,"Nome dos Sticks"
CHANNELS_COUNT,"Número de canais"
EXT,"Ext"
INT,"Int"
PLACE_RECEIVE_LEVEL,"Colocar o receptor na horizontal"
PLACE_RECEIVE_LEVEL_REVERSE,"Colocar o receptor voltado para baixo"
PLACE_RECEIVE_LEFT,"Colocar o receptor voltado para a esquerda"
PLACE_RECEIVE_RIGHT,"Colocar o receptor voltado para a direita"
PLACE_RECEIVE_FORWARD,"Colocar o receptor voltado para a cima"
PLACE_RECEIVE_BACKWARD,"Colocar o receptor voltado para a baixo"
ADD_A_NEW_WEIGHT,"+ Novo batimento"
ADD_A_NEW_CURVE,"+ Nova curva"
AUDIO,"Audio"
VOICE,"Voice"
VAR,"Var"
VOLUME,"Volume"
SAVE_TO_FLASH,"Gravar na flash"
SAVE_TO_FLASH_MESSAGE,"Todos os parametros foram corretamente guardados na memória flash !"
TIMER_GENERATOR,"Gerador de temporizador"
CONFIRM_CLEAR_CHANNEL_DDD_NAME,"Canal %d não usado em nenhuma mistura..\nDeseja limpar o seu nome ?"
EDIT_SSS,"Editar %s"
RESET_SSS,"Reiniciar %s"
OPTIONS_3DOTS,"Opçoes..."
QUESTION_COPY_CHANNEL_NAME,"O canal não tem nome.\nAtribuir o nome da mistura ?"
FLY_BAR_LESS,"Flybarless"
WING_RUD_ELE_AIL,"Asa Dir Prf Ail"
WING_FLYING,"Asa Delta Ail/ Asa voadora"
WING_VTAIL_AIL,"Asa de cauda em V Ail"
LEVEL,"Horizontal"
LEVEL_REVERSED,"Invertido"
UPRIGHT,"Upright"
UPRIGHT_REVERSED,"Upright Invertido"
WING_TYPE,"Tipo de asa"
MOUNTING_TYPE,"Posição de montagem"
SXR_ENABLE,"SXR ativo"
AIL_INVERTED,"Ail Invertido"
AIL2_INVERTED,"Ail2 Invertido"
ELE_INVERTED,"Prf Invertido"
ELE2_INVERTED,"Prf2 Invertido"
RUD_INVERTED,"Dir Invertido"
AUX1_ENABLE,"AUX1 ativo"
AUX2_ENABLE,"AUX2 ativo"
QUICK_MODE,"Modo rápido"
SELF_CHECK,"Self Check"
STAB_GAIN_OF_AIL,"Ganho estabilizador Ail"
STAB_GAIN_OF_ELE,"Ganho estabilizador Prf"
STAB_GAIN_OF_RUD,"Ganho estabilizador Der"
AUTO_LEVEL_GAIN_OF_AIL,"Ganho auto nívelado do Ail"
AUTO_LEVEL_GAIN_OF_ELE,"Ganho auto nívelado da Prf"
HOVER_GAIN_OF_ELE,"Ganho do Hover da Prf"
HOVER_GAIN_OF_RUD,"Ganho do Hover da Der"
KNIFE_EDGE_GAIN_OF_AIL,"Ganho Knife-edge do Ail"
KNIFE_EDGE_GAIN_OF_RUD,"Gain Knife-edge da Der"
AUTO_LEVEL_OFFSET_OF_AIL,"Auto Level Offset Angle of Ail"
AUTO_LEVEL_OFFSET_OF_ELE,"Auto Level Offset Angle of Ele"
HOVER_OFFSET_ANGLE_OF_ELE,"Desfazamento angular do Hover Offset para Prf"
HOVER_OFFSET_ANGLE_OF_RUD,"Desfazamento angular do Hover Offset para Der"
KNIFE_EDGE_OFFSET_OF_AIL,"Desfazamento angular Knife-edge do Ail"
KNIFE_EDGE_OFFSET_OF_RUD,"Desfazamento angular Knife-edge do Der"
OUTPUT_VOLTAGE,"Tensão saída"
LIPO_VOLTAGE,"Tensão Lipo"
RB_10_20,"RB 10/20"
ALTITUDE_DATA_RATE,"Freq. dados Alti."
VARIO_DATA_RATE,"Freq. dados Vario"
CURRENT_DATA_RATE,"Freq. dados Intensidade"
VOLTAGE_DATA_RATE,"Freq. dados Tensão"
RPM,"RPM"
POLES_COUNT,"Num. de poles"
NEED_FIRMWARE_UPDATE,"Atualização firmware necessaria"
SYSTEM_VALUE,"Valor do sistema"
GPS_CLOCK,"Hora GPS"
RACING_MODE_ACTIVE,"Modo corrida activo."
RACING_MODE_IS_UNSUPPORTED,"Modo corrida não suportado."
POTS_SLIDERS,"Pots / Sliders"
STICKS_POTS_SLIDERS,"Sticks / Pots / Sliders"
WRITE_INTERVAL,"Freq. escrita"
TX_BATT,"BatTX"
AVERAGE,"Média"
TOTALIZE,"Totalizar"
CELL,"Célula"
CONSUMPTION,"Consumo"
DISTANCE,"Distância"
FALLING_EDGE_OF_SSS_BETWEEN_SSS_AND_SSS,"Bordo↓ de %s entre %s e %s"
RISING_EDGE_OF_SSS_DURING_SSS,"Bordo↑ de %s durante %s"
FALLING_EDGE_OF_SSS_DURING_SSS,"Bordo↓ de %s durante %s"
FALLING_EDGE_OF_SSS,"Bordo↓ de %s"
RISING_EDGE_OF_SSS,"Bordo↑ de %s"
STALL,"Perda"
EDITABLE_SRV_DDD_CURR,"SRV%d Curr"
EDITABLE_SRV_DDD_VOLT,"SRV%d Volt"
EDITABLE_SRV_DDD_TEMP,"SRV%d Temp"
EDITABLE_SRV_DDD_STATUS,"SRV%d Estado"
CONDITION,"Condição"
TIMER_LOGS,"Timer Logs"
SAVE_TO_SD,"Gravar para SD"
CLEAR_LOGS,"Limpar Registos"
TITLE,"Título"
LOWEST,"Mais baixo"
COUNT,"Contar"
HIGHEST,"Mais alto"
BLADES,"Pás"
MAINGEAR_TEETH,"Dentes engrenagem principal"
PINION_TEETH,"Dentes pinhão de ataque"
GEAR,"Engrenagem"
PROPELLER,"Hélice"
FLIGHT_VALUE,"Valor de voo"
CURRENT_FLIGHT_MODE,"Modo voo ativo"
NO_DESTINATION,"Sem destino"
ENT_LONG,"ENT Long"
RX_STILL_ON_TURN_OFF_TRANSMITTER,"Rx ligado. Deseja desligar o rádio ?"
CONFIRM_RESET_SENSOR,"O valor deste sensor será limpo. Deseja continuar?"
LATITUDE,"Latitude"
LONGITUDE,"Longitude"
GPS_MAP,"Mapa GPS"
MAP,"Mapa"
INTERNAL_GPS,"GPS Interno"
CLOCK,"Hora"
TRIP,"Viagem"
SYSTEM_EVENT,"Evento do sistema"
RSSI_LOW,"Rssi fraco"
TRAINER_ACTIVE,"Trainer active"
MULTIPLIER,"Multiplicador"
VERTICAL,"Vertical"
HORIZONTAL,"Horizontal"
TOTAL,"Total"
CELLS,"Celulas"
MULTI_LIPO,"Multi LiPo"
LIPO,"LiPo"
LINE_CHART,"Gráfico de Linha"
LOG_PERIOD,"Periodo do registo"
RESUME,"Continuar"
PAUSE,"Pausar"
AUTO_RANGE,"Distância flexivel"
LOCK,"Lock"
Xx2POS,"{HARDWARE_FUNCTION_SWITCHES} x 2-Pos"
XPOS_WITH_OFF,"{HARDWARE_FUNCTION_SWITCHES}-Pos com OFF"
XPOS,"{HARDWARE_FUNCTION_SWITCHES}-Pos"
2xXPOS,"2 x {HARDWARE_FUNCTION_SWITCHES_PER_SIDE}-Pos"
GLOBAL,"Global"
_2DOTS," : "
SUMMARY,"Sumário"
CONFIRM_STOP_USING_CURVE,"Tem a certeza que deseja parar de usar esta curva?"
CONFIRM_STOP_USING_RATE,"Tem a certeza que deseja parar de usar este batimento?"
PATTERN,"Padrão"
ROLL_ANGLE,"R.Angle"
PITCH_ANGLE,"P.Angle"
HYDRAULIC_PRESSURE,"H.Pressure"
IGNORE_TRAINER_INPUT,"Ignore trainer input"
FULL_RANGE,"Full range"
IGNORE_RANGE,"Ignore range"
HALF_RANGE,"Half range"
LAST_POSITION,"Last position"
SLEEP_BRIGHTNESS,"Sleep Mode brightness"
TOP_LCD_SLEEP,"Top LCD Sleep"
VIEW_PER_CHANNEL,"View per Channel"
VIEW_TABLE,"Table View"
GENERAL,"General"
RX_STILL_ON_TURN_OFF_RF,"Receiver is still connected.\nAre you sure you want to continue?"
LOAD_ALL_FUNCTION_SWITCH_POSITIONS,"Load all function switches positions","Load all FS positions"
CONFIRM_LOAD_ALL_FUNCTION_SWITCH_POSITIONS,"This operation will override all FS positions with the current ones. Are you sure you want to continue?"
STORAGE_LOCATION,"Storage location"
RADIO,"Radio"
MODELS,"Models"
USER_BITMAPS,"User Bitmaps"
SCRIPTS,"Scripts"
LOGS,"Logs"
SCREENSHOTS,"Screenshots"
PRESSURE,"Pressure"
COLOR,"Color"
CONFIRM_CLEAR_CHANNELS_SSS_NAME,"There are no mixers using channel %s. Do you want to clear the name of these channels?"
CHANNEL_SBUS_VALUE_LIMIT_WARNING,"The new channel value is incompatible with SBUS/redundancy use. Are you sure you want to continue?"
VOLTAGE,"Voltage"
SAVE_TO_FILE,"Save to File"
FLASH_VIDEO_COMPONENT,"Flash Video Component"
RX_BAT_VOLTAGE,"RX Battery Voltage"
RX_BAT_2_VOLTAGE,"RX Battery 2 Voltage"
EXT_ADC_VOLTAGE,"Extern ADC Voltage"
BOARD_CURRENT,"Board Current"
POWER_ON_RESET,"Power On Reset"
PIN_RESET,"Pin Reset"
WAKE_UP_RESET,"Wake Up Reset"
WATCHDOG_RESET,"Watchdog Reset"
LOCKUP_RESET,"Lockup Reset"
BROWN_DOWN_DET_RESET,"Brown Down Detection Reset"
RX_RESET_CASE,"RX Reset Case"
OPERATION_ASSIGN,"Assign(=)"
OPERATION_ADD,"Add(+)"
OPERATION_SUBTRACT,"Subtract(-)"
OPERATION_MULTIPLY,"Multiply(*)"
OPERATION_DIVIDE,"Divide(/)"
SQRT,"Sqrt"
REPURPOSE,"Repurpose"
SENSOR_CONFLICT_WARNING,"Sensor Conflict Warning"
NIGHTLY_BUILD_NOT_FOR_FLYING,"Nightly build, not for flying!"
READING_FILE,"Reading file ..."
NOT_ENOUGH_MEMORY,"Not enough memory"
CLEAN_LOGS,"Clean logs"
CONFIRM_CLEAN_LOGS,"This operation will remove all the .csv files under the directory. Are you sure you want to continue?"
CLEANING_LOGS,"Cleaning logs ..."
PAUSE_CONDITION,"Pause condition"
RESET_SETTINGS,"Reset settings"
SWAP_CHANNELS,"Swap channels"
CONFIRM_RESET_SETTINGS,"The settings will be reset to the default values.\nAre you sure you want to continue?"
CONFIRM_SWITCH_EXTERNAL_MODULE,"External module is now used. It will be stopped.\nAre you sure you want to continue?"
CONFIRM_SWITCH_TRAINER,"Trainer is now using the external module. It will be stopped.\nAre you sure you want to continue?"
COMPETITION_OPTION,"Competition (only RSSI and Battery)","Competition (RSSI / Batt)"
CONFIRM_BLUETOOTH_USED_BY_SSS,"Bluetooth is now used by %s. It will be stopped.\nAre you sure you want to continue?"
BOTH_MODULES,"Both modules"
SPORT_CONNECTOR,"S.Port connector"
CONFIRM_SPORT_USED_BY_SSS,"S.Port connector is now used by %s. Are you sure you want to continue?"
TRAINER_CABLE,"Trainer Cable"
BLUETOOTH,"Bluetooth"
SBUS_EXTERNAL_MODULE,"SBUS External Module"
CPPM_EXTERNAL_MODULE,"CPPM External Module"
LUA_TASKS,"Lua Tasks"
LUA_SOURCES,"Lua Sources"
MISSING_SCRIPT_FILE,"Missing script file"
BITMAP,"Bitmap"
BITMAP_TYPE,"Bitmap type"
BITMAP_FILE,"Bitmap file"
FILE_PATH,"File path"
TEXT,"Text"
DOCUMENTS,"Documents"
TELEMETRY_ACTIVE,"Telemetry Active"
FLIGHT_RESET,"Flight reset"
THROTTLE_ACTIVE,"Throttle Active"
USB_MODE_PRESELECTION,"USB Mode Preselection"
USB_MODE,"USB Mode"
JOYSTICK,"Joystick"
SERIAL,"Serial"
SELECT_MODEL_AT_POWER_ON,"Select model at power on"
LOAD_MODEL,"Load model"
COUNTING_SOURCE,"Proportional timing source"
SEND_FILE,"Send file"
FILE_TRANSFER,"File transfer"
RECEIVE_FILE_HERE,"Receive file here"
WAITING_FOR_CONNECTION,"Waiting for connection"
WAITING_FOR_RECEIVER_CONFIRMATION,"Waiting for receiver confirmation..."
FILE_TRANSFER_FAILED,"File transfer failed"
CONFIRM_RECEIVE_FILE_SSS_IN_FOLDER_SSS_SIZE_IS_SSS,"About to receive file %s to folder %s\nFile size is %s"
CONFIRM_OVERWRITE_FILE_SSS_IN_FOLDER_SSS_SIZE_IS_SSS,"About to overwrite file %s in folder %s\nFile size is %s"
SENDING_SSS,"Sending %s..."
RECEIVING_SSS,"Receiving %s..."
SEND_MODEL,"Send model"
RECEIVE_MODEL,"Receive model"
UNIT_KNOT,"knots"
UNIT_MILLILITER_PER_PULSE,"ml/p"
UNIT_RPM,"r/m"
ARE_YOU_USING_A_FRSKY_SELF_STAB_RECEIVER,"Are you using a self-stab receiver from FrSky?"
ASSIGN_INPUT_HINT,"Please assign input sources for the following functions"
EMERGENCY,"Emergency"
GAIN_ADJUST,"Gain adj."
CONFIRMATION,"Confirmation"
ENABLE_XXX,"Enable %s?"
DISABLE_XXX,"Disable %s?"
CONFIRMATION_BEFORE_ACTIVE,"Confirmation before active"
CONFIRMATION_BEFORE_INACTIVE,"Confirmation before inactive"
REMOTE_NFC,"Remote NFC"
SWITCH_CHANNEL,"Switch channel"
WIRELESS,"Wireless"
TIMEOUT,"Time out"
NO_ENABLED_MODULE,"Please enable the module you want to bind with NFC"
GET_MODULE_UUID_FAILED,"Failed to get module UUID.\nPlease check your module state!"
BIND_NFC_FAILED,"Failed to bind the NFC with the module!"
PROTOCOL_NOT_SUPPORTED,"The current module protocol is not supported!"
CONFIRM_DELETE_TRIM,"Are you sure you want to delete this extra trim?"
LEFT_STICK,"Left stick"
RIGHT_STICK,"Right stick"
ALL_MOTORS,"All motors"
SELECT,"Select"
SINGLE_MOTOR,"Single motor"
STICK_MOTORS,"Stick motors"
CONFIRM_DELETE_ACTION,"Are you sure you want to remove this action?"
CONFIRM_DELETE_SCREEN,"Are you sure you want to remove this screen?"
CONFIRM_DELETE_SENSOR,"Are you sure you want to remove this sensor?"
FILE_ALREADY_EXISTS,"A file with the same name already exists"
MODEL_RUNTIME,"Model runtime"
RADIO_RUNTIME,"Radio runtime"
WAITING_FOR_SIGNAL,"waiting for signal..."
CONFIRM_RESET_RUNTIME,"Runtime will be reset.\nAre you sure you want to continue?"
BANK,"Bank"
POWER_SWITCH,"Power switch"
CURRENT_AND_VOLTAGE_RATE,"Current & voltage rate"
BEC_VOLTAGE_RATE,"BEC voltage rate"
SBEC_VOLTAGE,"SBEC voltage"
BATTERY_MODE,"Battery mode"
SWITCH_VOLTAGE,"Switch voltage"
BALANCE,"Balance"
BACKUP,"Backup"
BALANCE_CHANNELS,"Balance channels"
CHOOSE_CHANNELS,"Choose channels"
BALANCE_CURVE,"Balance curve"
CONFIRM_TO_SHARE_RECEIVER,"Are you sure you want to share this receiver?"
CONFIRM_TO_UNBIND_RECEIVER,"Are you sure you want to unbind this receiver?"
